Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,27.990000,28.379999,27.410000,28.139999,27.678215,42000
2017-01-04,28.010000,28.480000,27.910000,28.330000,27.865097,40200
2017-01-05,28.150000,28.260000,27.980000,28.170000,27.707726,35500
2017-01-06,28.170000,28.309999,27.990000,28.139999,27.678215,39600
2017-01-09,28.100000,28.180000,27.940001,28.150000,27.688051,25700
2017-01-10,28.059999,28.879999,28.059999,28.780001,28.307713,38900
2017-01-11,28.709999,28.950001,28.590000,28.920000,28.445415,32800
2017-01-12,28.900000,28.950001,28.570000,28.860001,28.386400,24400
2017-01-13,28.940001,29.280001,28.780001,28.950001,28.474924,60200
2017-01-17,28.990000,29.010000,28.250000,28.330000,27.865097,32000
2017-01-18,28.430000,28.430000,27.900000,28.040001,27.579857,17500
2017-01-19,27.980000,28.049999,27.650000,27.650000,27.196255,16000
2017-01-20,27.580000,27.780001,27.340000,27.510000,27.058554,67900
2017-01-23,27.500000,27.500000,26.590000,26.590000,26.153652,42700
2017-01-24,26.790001,26.820000,26.320000,26.670000,26.232338,41500
2017-01-25,26.750000,26.990000,26.750000,26.910000,26.468401,18900
2017-01-26,28.910000,28.910000,26.809999,27.379999,26.930687,22300
2017-01-27,27.730000,27.730000,27.110001,27.320000,26.871672,30700
2017-01-30,27.160000,27.160000,26.650000,26.650000,26.212667,27200
2017-01-31,26.590000,26.820000,26.360001,26.680000,26.242174,15900
2017-02-01,27.120001,27.389999,26.410000,26.629999,26.341089,48800
2017-02-02,26.510000,26.680000,26.250000,26.510000,26.222393,57500
2017-02-03,26.770000,27.100000,26.400000,27.000000,26.707075,29300
2017-02-06,26.750000,27.160000,26.469999,26.480000,26.192719,37600
2017-02-07,25.969999,26.690001,25.860001,26.360001,26.074020,19600
2017-02-08,26.190001,26.280001,25.959999,25.980000,25.698143,28000
2017-02-09,26.100000,26.490000,26.100000,26.389999,26.103695,14000
2017-02-10,26.580000,26.620001,26.320000,26.590000,26.301523,37900
2017-02-13,26.500000,26.990000,26.480000,26.969999,26.677401,30400
2017-02-14,26.990000,27.360001,26.820000,27.260000,26.964254,29000
