Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,9.900000,10.100000,9.900000,9.900000,9.900000,2000
2017-01-04,9.950000,10.300000,9.850000,10.000000,10.000000,13000
2017-01-05,10.100000,10.100000,9.850000,9.850000,9.850000,3500
2017-01-06,10.050000,10.200000,10.050000,10.050000,10.050000,1500
2017-01-09,10.100000,10.150000,9.990000,10.100000,10.100000,30300
2017-01-10,10.150000,10.200000,10.100000,10.100000,10.100000,37300
2017-01-11,10.150000,10.150000,10.050000,10.050000,10.050000,37000
2017-01-12,10.050000,10.150000,10.050000,10.100000,10.100000,70400
2017-01-13,10.150000,10.150000,10.050000,10.050000,10.050000,39900
2017-01-17,10.100000,10.200000,10.070000,10.200000,10.200000,40400
2017-01-18,10.150000,10.200000,10.150000,10.200000,10.200000,28700
2017-01-19,10.200000,10.300000,10.200000,10.250000,10.250000,34700
2017-01-20,10.200000,10.300000,10.200000,10.200000,10.200000,2200
2017-01-23,10.300000,10.300000,10.200000,10.200000,10.200000,16100
2017-01-24,10.250000,10.300000,10.200000,10.200000,10.200000,25500
2017-01-25,10.200000,10.250000,10.200000,10.200000,10.200000,5600
2017-01-26,10.250000,10.300000,10.240000,10.300000,10.300000,37100
2017-01-27,10.300000,10.300000,10.200000,10.250000,10.250000,62600
2017-01-30,10.300000,10.350000,10.250000,10.250000,10.250000,21800
2017-01-31,10.250000,10.300000,10.200000,10.200000,10.200000,7400
2017-02-01,10.300000,10.300000,10.250000,10.250000,10.250000,4000
2017-02-02,10.250000,10.300000,10.210000,10.300000,10.300000,48100
2017-02-03,10.300000,10.300000,10.200000,10.250000,10.250000,6200
2017-02-06,10.250000,10.250000,10.200000,10.250000,10.250000,27200
2017-02-07,10.250000,10.300000,10.250000,10.280000,10.280000,12100
2017-02-08,10.250000,10.350000,10.200000,10.200000,10.200000,33900
2017-02-09,10.350000,10.350000,10.200000,10.250000,10.250000,38900
2017-02-10,10.250000,10.250000,10.200000,10.250000,10.250000,20800
