Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,6.890000,6.940000,6.830000,6.900000,6.608129,3066600
2017-01-04,6.870000,6.880000,6.750000,6.860000,6.569821,7189100
2017-01-05,6.900000,6.960000,6.890000,6.950000,6.656014,2291100
2017-01-06,6.920000,6.990000,6.900000,6.970000,6.675168,2438300
2017-01-09,6.810000,6.870000,6.770000,6.840000,6.630576,3250300
2017-01-10,6.750000,6.790000,6.730000,6.730000,6.523944,3677200
2017-01-11,6.480000,6.550000,6.430000,6.550000,6.349455,3896500
2017-01-12,6.590000,6.610000,6.520000,6.560000,6.359149,2950500
2017-01-13,6.680000,6.710000,6.600000,6.630000,6.427006,2661000
2017-01-17,6.590000,6.610000,6.550000,6.550000,6.349455,2242200
2017-01-18,6.560000,6.590000,6.510000,6.550000,6.349455,1995200
2017-01-19,6.570000,6.580000,6.490000,6.540000,6.339762,2228100
2017-01-20,6.540000,6.590000,6.520000,6.560000,6.359149,1786100
2017-01-23,6.540000,6.610000,6.520000,6.590000,6.388231,3027300
2017-01-24,6.720000,6.800000,6.700000,6.760000,6.553026,2816500
2017-01-25,6.950000,7.020000,6.930000,6.980000,6.766290,7185700
2017-01-26,6.860000,6.900000,6.830000,6.840000,6.630576,2741600
2017-01-27,6.800000,6.840000,6.780000,6.820000,6.611189,1577300
2017-01-30,6.760000,6.780000,6.720000,6.760000,6.553026,3257500
2017-01-31,6.830000,6.840000,6.780000,6.810000,6.601495,2765900
2017-02-01,6.630000,6.690000,6.600000,6.640000,6.436700,2528300
2017-02-02,6.590000,6.660000,6.580000,6.640000,6.436700,4356900
2017-02-03,6.680000,6.710000,6.650000,6.690000,6.485169,2371800
2017-02-06,6.580000,6.610000,6.550000,6.550000,6.349455,3428300
2017-02-07,6.560000,6.580000,6.520000,6.560000,6.359149,1751100
2017-02-08,6.420000,6.470000,6.340000,6.430000,6.233130,3847200
2017-02-09,6.430000,6.510000,6.420000,6.500000,6.300986,3680000
2017-02-10,6.340000,6.410000,6.340000,6.400000,6.204048,2572400
2017-02-13,6.430000,6.470000,6.420000,6.450000,6.252517,1962200
2017-02-14,6.570000,6.650000,6.570000,6.630000,6.427006,3228300
2017-02-15,6.780000,6.840000,6.770000,6.810000,6.601495,2902900
2017-02-16,6.750000,6.780000,6.710000,6.780000,6.572413,2140900
2017-02-17,6.620000,6.670000,6.600000,6.670000,6.465781,1781200
2017-02-21,6.600000,6.640000,6.580000,6.620000,6.417312,2180000
2017-02-22,6.460000,6.570000,6.440000,6.570000,6.368843,3700400
2017-02-23,6.550000,6.550000,6.480000,6.530000,6.330068,2854600
2017-02-24,6.400000,6.460000,6.390000,6.440000,6.242823,2278600
2017-02-27,6.490000,6.550000,6.490000,6.550000,6.349455,1694700
2017-02-28,6.550000,6.590000,6.520000,6.540000,6.339762,1604200
2017-03-01,6.660000,6.780000,6.660000,6.750000,6.543332,3493300
2017-03-02,6.740000,6.760000,6.690000,6.700000,6.494862,3018100
2017-03-03,6.910000,7.040000,6.900000,7.020000,6.805065,4764700
2017-03-06,6.970000,7.010000,6.960000,7.000000,6.785677,4243300
2017-03-07,6.900000,7.000000,6.900000,6.980000,6.766290,8037400
2017-03-08,7.060000,7.080000,6.970000,6.970000,6.756596,2797200
2017-03-09,7.270000,7.320000,7.210000,7.310000,7.086186,4664600
2017-03-10,7.260000,7.400000,7.250000,7.360000,7.134655,3397900
2017-03-13,7.310000,7.350000,7.310000,7.330000,7.105574,2912900
2017-03-14,7.290000,7.290000,7.200000,7.210000,6.989248,2059700
2017-03-15,7.290000,7.320000,7.240000,7.260000,7.037717,2687000
2017-03-16,7.550000,7.630000,7.520000,7.630000,7.396389,4202400
2017-03-17,7.640000,7.660000,7.570000,7.580000,7.347919,3003400
2017-03-20,7.610000,7.670000,7.560000,7.580000,7.347919,1816800
2017-03-21,7.780000,7.800000,7.610000,7.630000,7.396389,3643900
2017-03-22,7.730000,7.800000,7.680000,7.680000,7.444858,3263900
2017-03-23,7.740000,7.780000,7.700000,7.720000,7.483633,2832200
2017-03-24,7.720000,7.780000,7.720000,7.770000,7.532102,3314400
2017-03-27,7.750000,7.840000,7.720000,7.830000,7.590265,3400100
2017-03-28,7.850000,7.900000,7.830000,7.870000,7.629040,2324500
2017-03-29,7.700000,7.770000,7.660000,7.760000,7.522408,2548800
2017-03-30,7.670000,7.750000,7.640000,7.710000,7.473939,2877700
2017-03-31,7.560000,7.650000,7.550000,7.610000,7.514424,1687500
2017-04-03,7.480000,7.500000,7.350000,7.450000,7.356433,2584800
2017-04-04,7.410000,7.470000,7.380000,7.460000,7.366308,2175600
2017-04-05,7.560000,7.590000,7.460000,7.460000,7.366308,2645900
2017-04-06,7.550000,7.620000,7.540000,7.560000,7.465052,2126400
2017-04-07,7.530000,7.560000,7.510000,7.530000,7.435429,1503000
2017-04-10,7.450000,7.490000,7.440000,7.460000,7.366308,2240900
2017-04-11,7.490000,7.510000,7.410000,7.500000,7.405806,1941000
2017-04-12,7.390000,7.410000,7.360000,7.390000,7.297187,1807400
2017-04-13,7.280000,7.330000,7.250000,7.290000,7.198443,2138400
2017-04-17,7.330000,7.400000,7.320000,7.380000,7.287313,2319900
2017-04-18,7.280000,7.310000,7.220000,7.300000,7.208318,2063900
2017-04-19,7.420000,7.480000,7.400000,7.410000,7.316936,2074800
2017-04-20,7.610000,7.630000,7.540000,7.540000,7.445303,2811100
2017-04-21,7.600000,7.630000,7.560000,7.610000,7.514424,2638100
2017-04-24,8.200000,8.270000,8.200000,8.240000,8.136512,5682100
2017-04-25,8.340000,8.380000,8.270000,8.320000,8.215507,3503700
2017-04-26,8.250000,8.270000,8.170000,8.180000,8.077266,3808100
2017-04-27,8.000000,8.140000,7.970000,8.040000,7.939023,8164800
2017-04-28,8.060000,8.060000,7.990000,8.000000,7.899526,6686700
2017-05-01,8.070000,8.080000,8.020000,8.060000,7.958773,2958100
2017-05-02,8.120000,8.140000,8.090000,8.140000,8.037768,2846700
2017-05-03,8.180000,8.260000,8.170000,8.230000,8.126637,8137600
2017-05-04,8.360000,8.440000,8.350000,8.440000,8.334000,4095100
2017-05-05,8.570000,8.700000,8.550000,8.700000,8.590734,3932700
2017-05-08,8.490000,8.540000,8.470000,8.470000,8.363624,3816500
2017-05-09,8.410000,8.430000,8.250000,8.280000,8.176009,4767100
2017-05-10,8.180000,8.250000,8.180000,8.240000,8.136512,2744800
2017-05-11,8.110000,8.120000,8.040000,8.070000,7.968647,2992500
2017-05-12,8.040000,8.120000,8.020000,8.100000,7.998271,2054500
2017-05-15,8.150000,8.190000,8.150000,8.170000,8.067391,1748700
2017-05-16,8.300000,8.310000,8.240000,8.290000,8.185884,2823300
2017-05-17,8.110000,8.190000,8.060000,8.070000,7.968647,3640100
2017-05-18,8.040000,8.160000,8.020000,8.080000,7.978521,4878600
2017-05-19,8.240000,8.360000,8.230000,8.310000,8.205633,2612600
2017-05-22,8.270000,8.310000,8.220000,8.240000,8.136512,1813900
