Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,10.170000,10.270000,10.160000,10.180000,10.084863,32400
2017-01-04,10.220000,10.220000,9.990000,10.090000,9.995703,53300
2017-01-05,10.000000,10.370000,10.000000,10.240000,10.144300,47500
2017-01-06,10.310000,10.450000,10.190000,10.210000,10.114581,18200
2017-01-09,10.150000,10.260000,10.050000,10.070000,9.975889,19200
2017-01-10,10.130000,10.360000,9.940000,10.300000,10.203741,20800
2017-01-11,10.190000,10.350000,10.050000,10.160000,10.065048,44800
2017-01-12,10.190000,10.350000,9.980000,10.110000,10.015516,18800
2017-01-13,10.180000,10.300000,10.180000,10.240000,10.144300,17000
2017-01-17,10.260000,10.340000,10.010000,10.050000,9.956077,32100
2017-01-18,10.120000,10.170000,10.050000,10.060000,9.965983,19600
2017-01-19,10.120000,10.210000,10.000000,10.000000,9.906545,13100
2017-01-20,10.100000,10.350000,10.070000,10.250000,10.154207,30500
2017-01-23,10.190000,10.190000,9.950000,10.080000,9.985796,20900
2017-01-24,10.200000,10.210000,10.000000,10.050000,9.956077,76400
2017-01-25,10.140000,10.150000,10.030000,10.150000,10.055141,16500
2017-01-26,10.190000,10.260000,10.080000,10.130000,10.035330,14100
2017-01-27,10.160000,10.180000,10.030000,10.110000,10.015516,18600
2017-01-30,10.080000,10.160000,9.970000,9.990000,9.926091,36200
2017-01-31,9.970000,10.150000,9.950000,10.070000,10.005579,26500
2017-02-01,10.140000,10.160000,9.930000,9.960000,9.896284,13200
2017-02-02,10.010000,10.010000,9.650000,9.660000,9.598202,18000
2017-02-03,9.760000,9.870000,9.640000,9.820000,9.757178,10800
2017-02-06,9.850000,9.880000,9.570000,9.710000,9.647882,16600
2017-02-07,9.760000,9.760000,9.400000,9.440000,9.379610,12000
2017-02-08,9.440000,9.480000,8.850000,9.160000,9.101401,26400
2017-02-09,9.180000,9.410000,8.960000,9.370000,9.310058,14500
2017-02-10,9.450000,9.850000,9.150000,9.820000,9.757178,21500
2017-02-13,9.890000,9.910000,9.680000,9.880000,9.816795,11700
2017-02-14,9.830000,9.940000,9.720000,9.770000,9.707500,11800
2017-02-15,9.730000,9.730000,9.650000,9.680000,9.618075,7600
2017-02-16,9.630000,9.780000,9.610000,9.610000,9.548522,6200
2017-02-17,9.670000,9.670000,9.530000,9.650000,9.588266,20600
2017-02-21,9.710000,9.790000,9.580000,9.670000,9.608139,9900
2017-02-22,9.760000,9.760000,9.580000,9.640000,9.578331,4400
2017-02-23,9.680000,9.700000,9.460000,9.600000,9.538587,5200
2017-02-24,9.510000,9.980000,9.470000,9.900000,9.836667,24700
2017-02-27,9.900000,10.180000,9.800000,9.960000,9.896284,51200
2017-02-28,10.030000,10.030000,9.440000,9.520000,9.459099,22200
2017-03-01,9.710000,9.710000,9.380000,9.440000,9.379610,16800
2017-03-02,9.530000,9.700000,9.310000,9.410000,9.349802,25900
2017-03-03,9.630000,9.640000,9.460000,9.530000,9.469034,13100
2017-03-06,9.500000,9.820000,9.490000,9.680000,9.618075,16600
2017-03-07,9.520000,9.780000,9.520000,9.660000,9.598202,11300
2017-03-08,9.720000,9.760000,9.480000,9.500000,9.439227,22400
2017-03-09,9.710000,9.850000,9.560000,9.640000,9.578331,62100
2017-03-10,9.710000,9.750000,9.510000,9.530000,9.469034,26900
2017-03-13,9.510000,9.630000,9.480000,9.540000,9.478971,10300
2017-03-14,9.530000,9.590000,9.470000,9.570000,9.508779,15100
2017-03-15,9.560000,9.750000,9.440000,9.500000,9.439227,30000
2017-03-16,9.510000,9.620000,9.500000,9.580000,9.518715,18400
2017-03-17,9.500000,9.740000,9.240000,9.380000,9.319994,137400
2017-03-20,9.400000,9.500000,9.360000,9.430000,9.369674,14600
2017-03-21,9.440000,9.450000,9.040000,9.100000,9.041786,41100
2017-03-22,9.100000,9.110000,8.800000,8.940000,8.882809,24500
2017-03-23,8.990000,9.350000,8.990000,9.240000,9.180889,20200
2017-03-24,9.460000,9.460000,9.030000,9.200000,9.141145,9900
2017-03-27,9.110000,9.220000,9.060000,9.180000,9.121274,7200
2017-03-28,9.120000,9.290000,8.980000,9.210000,9.151082,22900
2017-03-29,9.160000,9.400000,9.050000,9.350000,9.290186,10500
2017-03-30,9.450000,9.500000,9.340000,9.440000,9.379610,17800
2017-03-31,9.450000,9.590000,9.370000,9.400000,9.339866,22100
2017-04-03,9.460000,9.670000,9.320000,9.620000,9.558458,9700
2017-04-04,9.500000,9.530000,9.320000,9.340000,9.280251,30500
2017-04-05,9.400000,9.420000,9.070000,9.100000,9.041786,22700
2017-04-06,9.120000,9.340000,9.040000,9.270000,9.210698,27300
2017-04-07,9.210000,9.400000,9.210000,9.350000,9.290186,7800
2017-04-10,9.500000,9.500000,9.130000,9.220000,9.161018,13700
2017-04-11,9.200000,9.350000,9.200000,9.300000,9.240506,7500
2017-04-12,9.290000,9.290000,9.080000,9.180000,9.121274,21000
2017-04-13,9.140000,9.200000,9.120000,9.130000,9.071593,11200
2017-04-17,9.190000,9.190000,9.090000,9.150000,9.091465,12700
2017-04-18,9.090000,9.150000,9.010000,9.080000,9.021913,27300
2017-04-19,9.020000,9.050000,8.950000,8.970000,8.912617,36500
2017-04-20,9.010000,9.360000,9.010000,9.310000,9.250442,39300
2017-04-21,9.300000,9.640000,9.190000,9.440000,9.379610,30300
2017-04-24,9.580000,9.580000,9.310000,9.370000,9.310058,19000
2017-04-25,9.470000,9.640000,9.470000,9.500000,9.439227,24300
2017-04-26,9.450000,9.500000,9.400000,9.460000,9.399483,36400
2017-04-27,9.460000,9.500000,9.380000,9.450000,9.419417,10100
2017-04-28,9.410000,9.550000,9.310000,9.380000,9.349645,16000
2017-05-01,9.430000,9.430000,9.260000,9.280000,9.249968,11700
2017-05-02,9.520000,9.520000,9.210000,9.250000,9.220065,11300
2017-05-03,9.200000,9.340000,9.200000,9.260000,9.230033,11800
2017-05-04,9.300000,9.450000,9.230000,9.290000,9.259935,4300
2017-05-05,9.390000,9.390000,9.310000,9.310000,9.279871,4200
2017-05-08,9.370000,9.400000,9.270000,9.290000,9.259935,6000
2017-05-09,9.330000,9.370000,9.170000,9.200000,9.170226,7900
2017-05-10,9.170000,9.370000,9.160000,9.220000,9.190163,8600
2017-05-11,9.170000,9.280000,9.160000,9.200000,9.170226,5400
2017-05-12,9.140000,9.140000,8.860000,8.880000,8.851262,8600
2017-05-15,8.940000,9.140000,8.900000,9.050000,9.020712,21400
2017-05-16,8.980000,9.010000,8.930000,9.000000,8.970874,9400
2017-05-17,8.870000,8.930000,8.750000,8.760000,8.731650,26500
2017-05-18,8.800000,9.050000,8.800000,8.990000,8.960906,15900
2017-05-19,8.930000,9.040000,8.700000,8.740000,8.711715,23600
2017-05-22,8.660000,8.920000,8.660000,8.850000,8.821360,12300
2017-05-23,8.890000,8.890000,8.750000,8.880000,8.851262,9600
2017-05-24,8.950000,8.950000,8.750000,8.830000,8.801424,5100
2017-05-25,8.790000,8.820000,8.750000,8.800000,8.771522,21500
2017-05-26,8.940000,8.950000,8.770000,8.880000,8.851262,29200
2017-05-30,8.830000,8.860000,8.700000,8.710000,8.681812,24500
2017-05-31,8.700000,8.890000,8.700000,8.740000,8.711715,14200
2017-06-01,8.810000,9.050000,8.700000,8.990000,8.960906,20100
2017-06-02,9.000000,9.340000,9.000000,9.190000,9.160258,20500
2017-06-05,9.190000,9.200000,8.900000,8.940000,8.911068,11900
2017-06-06,8.900000,8.920000,8.850000,8.870000,8.841294,14400
2017-06-07,8.970000,9.040000,8.900000,9.020000,8.990809,16300
2017-06-08,9.160000,9.450000,9.000000,9.290000,9.259935,22000
2017-06-09,9.390000,9.860000,9.390000,9.490000,9.459288,64000
2017-06-12,9.530000,9.530000,9.310000,9.340000,9.309773,42400
2017-06-13,9.330000,9.380000,9.320000,9.350000,9.319741,38100
2017-06-14,9.360000,9.910000,9.190000,9.830000,9.798188,49400
2017-06-15,9.710000,9.940000,9.370000,9.470000,9.439353,40200
