Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,31.040001,31.200001,30.530001,30.799999,30.068129,102500
2017-01-04,30.770000,31.420000,30.770000,31.290001,30.546488,122700
2017-01-05,31.340000,31.340000,30.430000,30.660000,29.931456,66400
2017-01-06,30.590000,30.809999,30.400000,30.650000,29.921696,71600
2017-01-09,30.430000,30.590000,30.139999,30.299999,29.580009,180400
2017-01-10,30.299999,31.100000,30.129999,31.030001,30.292664,174600
2017-01-11,31.070000,31.340000,30.660000,31.309999,30.566010,102900
2017-01-12,31.040001,31.059999,30.370001,30.840000,30.107178,111100
2017-01-13,31.090000,31.540001,30.879999,30.969999,30.234091,104600
2017-01-17,30.860001,30.860001,29.980000,30.299999,29.580009,150500
2017-01-18,30.559999,30.559999,29.510000,30.420000,29.697159,107300
2017-01-19,30.459999,30.469999,29.879999,30.020000,29.306665,106100
2017-01-20,30.020000,30.610001,30.020000,30.260000,29.540960,110200
2017-01-23,30.260000,30.400000,29.830000,30.049999,29.335953,91100
2017-01-24,30.240000,30.799999,29.990000,30.740000,30.009554,97200
2017-01-25,30.879999,31.010000,30.600000,30.690001,30.137215,71600
2017-01-26,30.820000,30.990000,30.540001,30.809999,30.255051,62700
2017-01-27,29.740000,30.450001,28.940001,30.270000,29.724779,162800
2017-01-30,30.080000,30.090000,29.240000,29.350000,28.821352,136100
2017-01-31,29.150000,29.430000,28.870001,29.250000,28.723150,111300
2017-02-01,29.420000,29.770000,28.959999,29.010000,28.487473,65200
2017-02-02,29.040001,29.200001,28.889999,29.170000,28.644592,73500
2017-02-03,29.410000,29.740000,29.260000,29.620001,29.086487,92800
2017-02-06,29.549999,29.670000,29.290001,29.330000,28.801708,61600
2017-02-07,29.370001,29.559999,29.000000,29.080000,28.556213,149300
2017-02-08,29.080000,29.230000,28.910000,29.150000,28.624950,191700
2017-02-09,29.139999,29.719999,29.139999,29.690001,29.155226,106800
2017-02-10,29.770000,29.930000,29.629999,29.900000,29.361443,104600
2017-02-13,30.030001,30.350000,29.990000,30.160000,29.616758,72400
2017-02-14,29.980000,30.719999,29.980000,30.629999,30.078293,88200
2017-02-15,30.500000,30.700001,30.299999,30.510000,29.960457,68600
2017-02-16,30.299999,30.770000,30.299999,30.750000,30.196133,126100
2017-02-17,30.750000,31.100000,30.559999,31.059999,30.500547,172600
2017-02-21,31.150000,31.200001,31.020000,31.180000,30.618387,107900
2017-02-22,31.030001,31.389999,30.980000,31.330000,30.765686,52300
2017-02-23,31.379999,31.709999,30.920000,31.430000,30.863884,88800
2017-02-24,31.010000,31.350000,30.990000,31.320000,30.755865,92100
2017-02-27,31.100000,31.389999,31.100000,31.260000,30.696949,80400
