Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,44.430000,44.730000,43.490002,43.990002,43.062229,66100
2017-01-04,43.910000,44.950001,43.900002,44.820000,43.874722,66900
2017-01-05,44.470001,44.759998,43.209999,43.779999,42.856659,86600
2017-01-06,43.660000,43.939999,43.590000,43.740002,42.817509,39300
2017-01-09,43.419998,43.439999,43.090000,43.200001,42.288895,65200
2017-01-10,42.919998,43.689999,42.860001,43.639999,42.719612,129500
2017-01-11,43.849998,44.450001,43.040001,44.369999,43.434216,89500
2017-01-12,43.869999,44.139999,42.349998,42.680000,41.997562,34900
2017-01-13,42.599998,43.900002,42.599998,43.410000,42.715889,51700
2017-01-17,43.009998,43.009998,41.889999,41.939999,41.269394,63600
2017-01-18,42.080002,42.490002,41.970001,42.459999,41.781078,39600
2017-01-19,42.470001,42.689999,41.709999,42.119999,41.446518,31200
2017-01-20,41.910000,42.439999,41.820000,42.389999,41.712200,65500
2017-01-23,42.090000,42.480000,42.029999,42.340000,41.662998,33800
2017-01-24,42.410000,43.230000,42.139999,43.040001,42.351807,56300
2017-01-25,43.139999,43.790001,43.139999,43.419998,42.725731,26700
2017-01-26,43.459999,43.669998,43.270000,43.610001,42.912693,25300
2017-01-27,43.849998,43.860001,42.869999,43.419998,42.725731,22400
2017-01-30,42.939999,43.349998,41.820000,42.090000,41.417000,52500
2017-01-31,42.000000,42.000000,40.910000,41.480000,40.816750,77200
2017-02-01,41.779999,41.849998,41.400002,41.480000,40.816750,52500
2017-02-02,41.200001,41.799999,40.889999,41.180000,40.521545,36000
2017-02-03,41.439999,41.980000,41.220001,41.880001,41.210358,25000
2017-02-06,41.720001,41.830002,41.110001,41.150002,40.492027,30800
2017-02-07,41.450001,41.470001,40.419998,40.820000,40.167301,25400
2017-02-08,40.590000,40.590000,39.720001,40.139999,39.498177,28900
2017-02-09,40.270000,40.709999,39.970001,40.310001,39.665459,20200
2017-02-10,40.450001,40.759998,40.169998,40.709999,40.059059,24800
2017-02-13,40.889999,41.250000,40.730000,40.820000,40.167301,17200
2017-02-14,40.910000,41.540001,40.470001,41.330002,40.669147,31300
2017-02-15,41.380001,41.799999,41.099998,41.700001,41.033234,13100
2017-02-16,41.599998,41.900002,41.509998,41.869999,41.200516,21500
2017-02-17,41.799999,42.110001,41.580002,42.070000,41.397316,34300
2017-02-21,41.950001,42.450001,41.849998,42.279999,41.603958,17100
2017-02-22,41.959999,42.470001,41.849998,42.310001,41.633480,18100
2017-02-23,42.290001,42.770000,41.900002,42.500000,41.820442,23400
2017-02-24,42.009998,42.580002,42.009998,42.450001,41.771240,40100
2017-02-27,42.610001,42.830002,42.270000,42.500000,41.820442,35100
2017-02-28,42.439999,43.060001,42.200001,42.459999,41.781078,71300
2017-03-01,43.099998,43.759998,42.380001,43.509998,42.814289,38200
2017-03-02,43.389999,43.630001,41.410000,42.730000,42.046764,46600
2017-03-03,42.779999,43.270000,42.240002,42.669998,41.987720,32700
2017-03-06,42.619999,42.619999,41.750000,42.139999,41.466198,15000
2017-03-07,42.000000,42.669998,42.000000,42.150002,41.476036,25700
2017-03-08,42.549999,42.549999,41.889999,41.980000,41.308754,42200
2017-03-09,42.099998,42.660000,41.750000,41.959999,41.289074,31800
2017-03-10,42.130001,42.270000,41.599998,42.060001,41.387482,45400
2017-03-13,42.240002,42.990002,42.180000,42.509998,41.830276,24100
2017-03-14,42.240002,43.259998,42.209999,43.090000,42.401009,31300
2017-03-15,43.310001,43.549999,42.549999,42.660000,41.977879,34300
2017-03-16,42.400002,43.250000,42.400002,43.110001,42.420689,33600
2017-03-17,42.910000,43.919998,42.790001,43.820000,43.119335,71600
2017-03-20,43.759998,43.860001,43.009998,43.070000,42.381325,20200
2017-03-21,43.049999,43.549999,41.700001,41.970001,41.298916,84800
2017-03-22,41.849998,42.230000,40.779999,41.090000,40.432987,45000
2017-03-23,40.750000,41.889999,40.700001,41.290001,40.629791,28600
2017-03-24,41.480000,42.230000,41.200001,41.660000,40.993870,22000
2017-03-27,41.060001,42.259998,41.060001,42.200001,41.525242,29700
2017-03-28,42.029999,42.830002,41.509998,42.709999,42.027084,30700
2017-03-29,42.529999,43.220001,42.419998,43.119999,42.430527,34600
2017-03-30,43.250000,44.660000,42.720001,44.520000,43.808140,42700
2017-03-31,44.480000,44.610001,43.820000,44.040001,43.335819,89900
2017-04-03,43.889999,44.150002,42.860001,43.060001,42.371490,35800
2017-04-04,42.459999,43.520000,40.619999,43.160000,42.469883,118000
2017-04-05,43.459999,43.779999,41.650002,41.799999,41.131630,153700
2017-04-06,41.750000,42.639999,41.419998,42.389999,41.712200,117400
2017-04-07,42.220001,42.380001,41.919998,42.310001,41.633480,32300
2017-04-10,42.529999,43.299999,41.820000,42.049999,41.377636,100800
2017-04-11,41.680000,42.830002,41.549999,42.820000,42.367058,44900
2017-04-12,42.770000,42.880001,42.299999,42.869999,42.416527,66400
2017-04-13,42.549999,42.580002,41.080002,41.099998,40.665253,37200
2017-04-17,41.410000,41.849998,40.840000,41.810001,41.367744,29800
2017-04-18,41.389999,41.799999,41.389999,41.740002,41.298485,23600
2017-04-19,41.750000,42.169998,41.740002,41.990002,41.545837,32600
2017-04-20,42.099998,43.000000,42.099998,43.000000,42.545155,40500
2017-04-21,42.790001,43.480000,42.790001,43.049999,42.594624,85600
2017-04-24,43.750000,44.139999,43.560001,44.090000,43.623623,66800
2017-04-25,44.180000,44.959999,43.950001,44.119999,43.653305,97700
2017-04-26,44.430000,44.660000,43.959999,44.060001,43.593941,66100
2017-04-27,44.070000,44.070000,42.889999,43.080002,42.624310,28600
2017-04-28,42.990002,43.330002,42.410000,42.750000,42.297798,74700
2017-05-01,43.110001,43.549999,42.540001,43.299999,42.841980,29600
2017-05-02,44.349998,44.349998,43.009998,43.270000,42.812298,28300
2017-05-03,43.020000,43.650002,42.900002,43.610001,43.148701,30600
2017-05-04,43.900002,43.970001,43.080002,43.779999,43.316902,26500
2017-05-05,43.610001,43.840000,43.459999,43.790001,43.326801,40700
2017-05-08,43.770000,44.240002,43.750000,44.009998,43.544468,23800
2017-05-09,44.070000,44.400002,43.369999,43.810001,43.346588,40200
2017-05-10,43.709999,43.720001,43.139999,43.450001,42.990395,28700
2017-05-11,43.349998,43.400002,42.799999,42.820000,42.367058,22400
2017-05-12,42.639999,42.639999,41.419998,41.480000,41.041233,46300
2017-05-15,41.599998,42.810001,41.599998,42.740002,42.287907,27800
2017-05-16,43.099998,43.099998,42.160000,42.680000,42.228539,19700
2017-05-17,41.790001,42.270000,40.230000,40.689999,40.259586,49500
2017-05-18,40.570000,41.660000,40.439999,41.020000,40.586098,35900
2017-05-19,41.040001,41.470001,40.560001,40.730000,40.299164,34600
2017-05-22,41.150002,41.200001,40.279999,40.810001,40.378319,65500
2017-05-23,40.930000,41.560001,40.470001,41.369999,40.932392,44600
2017-05-24,41.450001,41.450001,40.840000,41.020000,40.586098,59000
2017-05-25,41.119999,41.669998,40.490002,40.639999,40.210117,30500
2017-05-26,40.750000,40.939999,40.099998,40.820000,40.388214,26200
2017-05-30,40.520000,40.990002,40.080002,40.500000,40.071602,21900
2017-05-31,40.500000,40.500000,39.700001,40.200001,39.774773,63700
2017-06-01,40.150002,41.139999,39.980000,41.099998,40.665253,25600
2017-06-02,40.990002,42.419998,40.910000,41.330002,40.892818,56300
2017-06-05,41.500000,41.500000,40.180000,40.770000,40.338741,21200
2017-06-06,40.330002,40.860001,40.230000,40.580002,40.150753,26500
2017-06-07,41.099998,41.099998,40.360001,40.689999,40.259586,22000
2017-06-08,41.099998,42.049999,40.950001,41.709999,41.268799,45600
2017-06-09,42.029999,43.799999,41.889999,43.200001,42.743042,51800
2017-06-12,43.160000,43.560001,42.020000,42.730000,42.278008,33000
2017-06-13,42.730000,42.959999,42.040001,42.720001,42.268116,15800
2017-06-14,42.330002,42.790001,41.830002,42.669998,42.218643,27900
2017-06-15,42.130001,42.709999,42.130001,42.340000,41.892136,32600
2017-06-16,42.049999,42.529999,41.639999,42.310001,41.862453,83400
2017-06-19,42.549999,42.790001,41.869999,42.139999,41.694248,43300
2017-06-20,42.160000,42.630001,40.930000,40.980000,40.546520,27100
2017-06-21,41.119999,41.360001,40.619999,40.759998,40.328846,66100
2017-06-22,40.750000,41.500000,40.020000,40.419998,39.992443,19700
2017-06-23,40.410000,41.919998,40.410000,41.500000,41.061020,103000
2017-06-26,41.439999,42.200001,40.029999,42.000000,41.555729,50900
2017-06-27,42.000000,42.650002,41.799999,42.389999,41.941608,52800
2017-06-28,42.590000,43.709999,42.520000,43.330002,42.871662,33500
2017-06-29,43.810001,43.810001,43.220001,43.680000,43.217960,35400
2017-06-30,43.910000,43.910000,42.680000,42.910000,42.456104,30700
2017-07-03,43.040001,44.400002,43.040001,44.029999,43.564259,19200
2017-07-05,44.009998,44.009998,42.910000,43.639999,43.178383,13900
2017-07-06,43.639999,44.009998,43.500000,43.730000,43.267433,49600
2017-07-07,43.889999,44.540001,43.790001,44.400002,43.930347,179500
2017-07-10,44.119999,44.250000,43.080002,43.110001,42.653992,23100
2017-07-11,42.200001,43.110001,42.130001,42.509998,42.060337,26400
2017-07-12,42.419998,43.230000,42.419998,43.020000,42.564945,20200
2017-07-13,42.919998,42.959999,42.639999,42.910000,42.684311,44300
2017-07-14,42.389999,42.910000,42.290001,42.410000,42.186943,51100
2017-07-17,42.189999,42.610001,42.000000,42.000000,41.779099,35900
2017-07-18,41.650002,42.029999,41.560001,41.810001,41.590099,20700
2017-07-19,41.990002,42.150002,41.490002,41.720001,41.500572,28600
2017-07-20,41.709999,41.930000,41.560001,41.740002,41.520466,15400
2017-07-21,42.230000,42.230000,41.250000,41.549999,41.331463,34800
2017-07-24,41.509998,41.750000,40.619999,41.700001,41.480675,31200
2017-07-25,41.750000,43.740002,40.900002,42.500000,42.276466,157400
2017-07-26,42.490002,43.099998,41.290001,41.509998,41.291672,36300
2017-07-27,41.570000,42.459999,41.299999,41.959999,41.739307,34900
2017-07-28,42.009998,42.009998,41.250000,41.349998,41.132515,37800
2017-07-31,41.700001,42.500000,41.340000,42.000000,41.779099,44600
2017-08-01,42.360001,42.360001,41.560001,41.560001,41.341412,36800
2017-08-02,41.360001,41.560001,40.810001,41.189999,40.973358,22400
2017-08-03,40.950001,41.730000,40.520000,41.570000,41.351360,45500
2017-08-04,41.430000,41.930000,41.270000,41.340000,41.122570,13400
2017-08-07,41.330002,41.330002,40.590000,40.709999,40.495880,17000
2017-08-08,40.529999,41.799999,40.480000,40.880001,40.664989,25000
2017-08-09,40.759998,40.759998,39.770000,39.799999,39.590668,44100
2017-08-10,39.639999,39.900002,39.110001,39.340000,39.133087,36000
2017-08-11,39.549999,39.639999,38.279999,38.540001,38.337296,30300
2017-08-14,39.020000,40.750000,39.020000,40.590000,40.376514,152800
2017-08-15,40.680000,40.689999,39.169998,39.169998,38.963982,20500
2017-08-16,39.939999,40.430000,39.110001,39.470001,39.262405,38100
2017-08-17,39.209999,39.310001,38.230000,38.439999,38.237820,30500
2017-08-18,38.160000,39.470001,38.139999,39.090000,38.884403,43300
2017-08-21,38.919998,39.610001,38.509998,39.330002,39.123142,26500
2017-08-22,39.400002,39.400002,38.779999,38.860001,38.655613,34100
2017-08-23,38.630001,39.500000,38.580002,39.160000,38.954037,36600
2017-08-24,39.240002,39.340000,39.029999,39.169998,38.963982,17300
2017-08-25,38.549999,39.490002,38.549999,39.369999,39.162930,17700
2017-08-28,38.919998,39.279999,38.570000,39.119999,38.914246,20100
2017-08-29,38.680000,39.180000,38.450001,38.980000,38.774982,22400
2017-08-30,38.970001,40.189999,38.910000,39.259998,39.053509,39600
2017-08-31,39.310001,39.650002,38.970001,39.000000,38.794876,26400
2017-09-01,38.900002,39.220001,38.889999,39.189999,38.983875,10600
2017-09-05,38.880001,38.880001,38.290001,38.340000,38.138348,27100
2017-09-06,38.400002,38.730000,38.299999,38.360001,38.158245,39400
2017-09-07,38.119999,38.119999,37.099998,37.330002,37.133663,51900
2017-09-08,37.549999,38.910000,37.490002,38.290001,38.088612,46600
2017-09-11,38.480000,39.189999,38.480000,39.000000,38.794876,56000
2017-09-12,38.610001,39.689999,38.610001,39.570000,39.361877,18300
2017-09-13,39.270000,40.000000,38.020000,39.799999,39.590668,30600
2017-09-14,39.869999,39.869999,38.880001,39.290001,39.083351,38300
2017-09-15,39.380001,40.459999,39.349998,40.009998,39.799564,117200
