Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,6.420000,6.850000,6.300000,6.640000,6.640000,67600
2017-01-04,6.370000,6.990000,6.320000,6.410000,6.410000,108800
2017-01-05,6.440000,6.940000,6.430000,6.750000,6.750000,38100
2017-01-06,6.760000,7.450000,6.590000,7.000000,7.000000,129800
2017-01-09,6.970000,7.380000,6.950000,7.050000,7.050000,11700
2017-01-10,6.940000,7.100000,6.850000,6.850000,6.850000,4800
2017-01-11,7.030000,7.030000,6.840000,6.850000,6.850000,500
2017-01-12,6.850000,6.850000,6.850000,6.850000,6.850000,0
2017-01-13,6.850000,6.850000,6.850000,6.850000,6.850000,0
2017-01-17,6.840000,6.840000,6.840000,6.840000,6.840000,600
2017-01-18,6.610000,6.980000,6.610000,6.980000,6.980000,900
2017-01-19,6.850000,7.100000,6.820000,6.940000,6.940000,31900
2017-01-20,7.140000,7.140000,6.940000,6.940000,6.940000,13100
2017-01-23,7.050000,7.480000,6.980000,7.200000,7.200000,74200
2017-01-24,7.260000,7.410000,6.820000,7.160000,7.160000,14300
2017-01-25,7.000000,7.250000,7.000000,7.250000,7.250000,2500
2017-01-26,7.250000,7.250000,7.250000,7.250000,7.250000,0
2017-01-27,7.240000,7.240000,7.240000,7.240000,7.240000,600
2017-01-30,6.920000,6.920000,6.920000,6.920000,6.920000,100
2017-01-31,6.920000,6.930000,6.890000,6.920000,6.920000,7100
2017-02-01,6.820000,7.050000,6.820000,7.050000,7.050000,7100
2017-02-02,7.050000,7.050000,7.050000,7.050000,7.050000,0
2017-02-03,7.040000,7.040000,7.000000,7.010000,7.010000,1300
2017-02-06,7.030000,7.030000,6.880000,6.880000,6.880000,1100
2017-02-07,6.870000,7.500000,6.840000,7.500000,7.500000,51900
2017-02-08,7.150000,7.250000,6.910000,7.200000,7.200000,20900
2017-02-09,7.240000,7.240000,7.160000,7.240000,7.240000,1500
2017-02-10,7.500000,7.500000,7.500000,7.500000,7.500000,300
2017-02-13,7.500000,7.500000,7.450000,7.450000,7.450000,400
2017-02-14,7.440000,7.440000,7.440000,7.440000,7.440000,200
2017-02-15,7.450000,7.650000,7.450000,7.650000,7.650000,300
2017-02-16,7.700000,8.200000,7.700000,8.200000,8.200000,800
2017-02-17,8.200000,8.870000,7.890000,8.250000,8.250000,3700
2017-02-21,9.900000,12.000000,9.090000,9.450000,9.450000,6300
2017-02-22,9.400000,9.490000,9.000000,9.490000,9.490000,1300
2017-02-23,9.200000,9.200000,9.200000,9.200000,9.200000,400
2017-02-24,9.040000,9.450000,8.200000,9.450000,9.450000,5200
2017-02-27,9.360000,9.400000,8.970000,9.400000,9.400000,1400
2017-02-28,9.260000,9.260000,8.010000,8.600000,8.600000,2000
2017-03-01,8.750000,9.120000,8.750000,8.940000,8.940000,1200
2017-03-02,9.000000,9.000000,8.940000,8.940000,8.940000,1500
2017-03-03,8.840000,9.170000,8.840000,8.950000,8.950000,2100
2017-03-06,8.900000,8.910000,8.900000,8.910000,8.910000,2000
2017-03-07,8.950000,8.950000,8.810000,8.810000,8.810000,1000
2017-03-08,8.870000,8.870000,8.870000,8.870000,8.870000,100
2017-03-09,8.800000,8.810000,8.040000,8.310000,8.310000,1600
2017-03-10,8.940000,8.940000,8.400000,8.400000,8.400000,1200
2017-03-13,8.630000,8.690000,8.320000,8.320000,8.320000,400
2017-03-14,8.270000,8.680000,8.200000,8.200000,8.200000,800
2017-03-15,8.200000,8.200000,8.200000,8.200000,8.200000,400
2017-03-16,8.340000,8.340000,8.220000,8.220000,8.220000,700
2017-03-17,8.200000,8.300000,8.150000,8.150000,8.150000,2500
2017-03-20,8.150000,8.150000,8.150000,8.150000,8.150000,0
2017-03-21,8.410000,8.410000,8.250000,8.250000,8.250000,900
2017-03-22,8.250000,8.250000,8.250000,8.250000,8.250000,0
2017-03-23,8.010000,8.110000,8.000000,8.110000,8.110000,900
2017-03-24,8.290000,8.290000,8.100000,8.100000,8.100000,1100
2017-03-27,8.060000,8.070000,7.980000,7.980000,7.980000,500
