Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,1.090000,1.160000,1.090000,1.110000,1.110000,9900
2017-01-04,1.180000,1.270000,1.130000,1.230000,1.230000,45900
2017-01-05,1.240000,1.250000,1.140000,1.200000,1.200000,16700
2017-01-06,1.210000,1.240000,1.150000,1.160000,1.160000,13100
2017-01-09,1.200000,1.200000,1.100000,1.130000,1.130000,10900
2017-01-10,1.130000,1.270000,1.130000,1.180000,1.180000,45300
2017-01-11,1.190000,1.490000,1.180000,1.430000,1.430000,125100
2017-01-12,1.520000,1.580000,1.210000,1.260000,1.260000,178200
2017-01-13,1.300000,1.320000,1.230000,1.280000,1.280000,18500
2017-01-17,1.290000,1.390000,1.270000,1.320000,1.320000,3800
2017-01-18,1.370000,1.370000,1.200000,1.300000,1.300000,10300
2017-01-19,1.300000,1.330000,1.270000,1.270000,1.270000,21700
2017-01-20,1.270000,1.300000,1.200000,1.260000,1.260000,32100
2017-01-23,1.230000,1.300000,1.170000,1.240000,1.240000,22900
2017-01-24,1.210000,1.260000,1.170000,1.210000,1.210000,6500
2017-01-25,1.180000,1.240000,1.150000,1.200000,1.200000,6900
2017-01-26,1.170000,1.220000,1.150000,1.190000,1.190000,14800
2017-01-27,1.200000,1.200000,1.150000,1.170000,1.170000,9900
2017-01-30,1.180000,1.190000,1.070000,1.150000,1.150000,12800
2017-01-31,1.150000,1.180000,1.100000,1.140000,1.140000,15200
2017-02-01,1.120000,1.150000,1.110000,1.130000,1.130000,6500
2017-02-02,1.110000,1.370000,1.110000,1.120000,1.120000,322100
2017-02-03,1.120000,1.220000,1.120000,1.180000,1.180000,67000
2017-02-06,1.190000,1.250000,1.150000,1.170000,1.170000,49100
2017-02-07,1.180000,1.190000,1.110000,1.140000,1.140000,31800
2017-02-08,1.160000,1.190000,1.120000,1.120000,1.120000,12400
2017-02-09,1.130000,1.170000,1.130000,1.130000,1.130000,10200
2017-02-10,1.190000,1.190000,1.130000,1.180000,1.180000,8400
2017-02-13,1.180000,1.180000,1.100000,1.150000,1.150000,21200
2017-02-14,1.160000,1.220000,1.120000,1.180000,1.180000,19700
2017-02-15,1.220000,1.220000,1.140000,1.160000,1.160000,22300
2017-02-16,1.150000,1.240000,1.120000,1.170000,1.170000,30300
2017-02-17,1.140000,1.170000,1.130000,1.130000,1.130000,14400
2017-02-21,1.130000,1.160000,1.090000,1.100000,1.100000,22600
2017-02-22,1.090000,1.140000,1.060000,1.070000,1.070000,21900
2017-02-23,1.070000,1.070000,1.020000,1.030000,1.030000,33600
2017-02-24,1.040000,1.090000,1.040000,1.070000,1.070000,18700
2017-02-27,1.080000,1.080000,1.040000,1.040000,1.040000,16700
2017-02-28,1.080000,1.080000,1.050000,1.050000,1.050000,8600
2017-03-01,1.030000,1.030000,1.030000,1.030000,1.030000,5800
2017-03-02,1.030000,1.060000,1.030000,1.040000,1.040000,3100
2017-03-03,1.040000,1.040000,1.010000,1.020000,1.020000,13700
2017-03-06,1.040000,1.040000,0.980000,0.990000,0.990000,82000
2017-03-07,1.000000,1.100000,0.890000,1.020000,1.020000,91000
2017-03-08,1.020000,1.060000,0.980000,1.060000,1.060000,24300
2017-03-09,1.060000,1.060000,1.000000,1.040000,1.040000,20000
2017-03-10,1.090000,1.090000,1.000000,1.050000,1.050000,18100
2017-03-13,1.100000,1.100000,1.020000,1.030000,1.030000,2500
2017-03-14,1.040000,1.040000,1.010000,1.030000,1.030000,11900
2017-03-15,1.020000,1.080000,1.010000,1.080000,1.080000,19000
2017-03-16,1.050000,1.090000,1.020000,1.040000,1.040000,22300
2017-03-17,1.020000,1.070000,1.000000,1.050000,1.050000,13300
2017-03-20,1.050000,1.100000,1.020000,1.060000,1.060000,23900
2017-03-21,1.050000,1.140000,1.050000,1.050000,1.050000,26600
2017-03-22,1.050000,1.070000,1.050000,1.050000,1.050000,2200
2017-03-23,1.020000,1.070000,1.010000,1.070000,1.070000,20200
2017-03-24,1.040000,1.050000,1.010000,1.020000,1.020000,10300
2017-03-27,1.020000,1.020000,1.000000,1.010000,1.010000,11400
2017-03-28,1.010000,1.090000,0.930000,1.010000,1.010000,52000
2017-03-29,1.080000,1.080000,0.990000,1.030000,1.030000,32400
2017-03-30,1.030000,1.050000,1.000000,1.000000,1.000000,11200
2017-03-31,1.050000,1.050000,1.000000,1.040000,1.040000,43500
2017-04-03,1.050000,1.050000,1.000000,1.030000,1.030000,12500
2017-04-04,1.070000,1.070000,1.000000,1.010000,1.010000,7500
2017-04-05,1.030000,1.030000,1.000000,1.000000,1.000000,7000
2017-04-06,1.000000,1.040000,1.000000,1.020000,1.020000,7100
2017-04-07,1.020000,2.750000,1.020000,2.360000,2.360000,7275300
2017-04-10,2.020000,2.230000,1.710000,1.920000,1.920000,1423900
2017-04-11,2.000000,2.000000,1.450000,1.560000,1.560000,470300
2017-04-12,1.540000,1.560000,1.420000,1.460000,1.460000,199500
2017-04-13,1.450000,1.650000,1.310000,1.450000,1.450000,602700
2017-04-17,1.440000,1.550000,1.360000,1.490000,1.490000,105200
2017-04-18,1.460000,1.600000,1.410000,1.470000,1.470000,173900
2017-04-19,1.460000,1.540000,1.380000,1.400000,1.400000,76000
2017-04-20,1.400000,1.490000,1.400000,1.440000,1.440000,62000
2017-04-21,1.410000,1.450000,1.320000,1.390000,1.390000,61000
2017-04-24,1.440000,1.440000,1.340000,1.410000,1.410000,49500
2017-04-25,1.420000,2.230000,1.380000,1.820000,1.820000,5234600
2017-04-26,1.700000,1.990000,1.580000,1.650000,1.650000,936000
2017-04-27,1.620000,2.450000,1.570000,1.910000,1.910000,2825500
2017-04-28,1.950000,2.400000,1.950000,2.090000,2.090000,2446600
2017-05-01,2.120000,2.700000,2.120000,2.510000,2.510000,6134900
2017-05-02,2.500000,3.080000,2.370000,2.750000,2.750000,4766100
2017-05-03,2.850000,2.950000,2.440000,2.690000,2.690000,1451500
2017-05-04,2.580000,2.610000,2.170000,2.250000,2.250000,691400
2017-05-05,2.180000,2.420000,2.120000,2.300000,2.300000,361000
2017-05-08,2.240000,2.600000,2.240000,2.360000,2.360000,1090700
2017-05-09,2.390000,2.490000,2.150000,2.270000,2.270000,588900
2017-05-10,2.270000,2.270000,1.980000,2.080000,2.080000,442500
2017-05-11,2.090000,2.090000,1.950000,2.060000,2.060000,207000
2017-05-12,2.060000,2.070000,1.980000,2.030000,2.030000,101600
2017-05-15,2.080000,2.080000,1.900000,1.930000,1.930000,187500
2017-05-16,2.000000,2.060000,1.930000,2.000000,2.000000,239800
2017-05-17,2.080000,2.840000,2.050000,2.190000,2.190000,3123100
2017-05-18,2.200000,2.600000,2.200000,2.540000,2.540000,1139300
2017-05-19,2.650000,2.990000,2.550000,2.830000,2.830000,3172900
2017-05-22,2.770000,2.770000,2.310000,2.350000,2.350000,1195300
2017-05-23,2.390000,2.540000,2.220000,2.370000,2.370000,714000
2017-05-24,2.350000,2.360000,2.250000,2.300000,2.300000,150400
2017-05-25,2.310000,2.550000,2.250000,2.420000,2.420000,486600
2017-05-26,2.380000,2.590000,2.270000,2.360000,2.360000,417600
2017-05-30,2.360000,2.500000,2.360000,2.500000,2.500000,285800
2017-05-31,2.530000,2.560000,2.370000,2.390000,2.390000,153500
2017-06-01,2.370000,2.490000,2.350000,2.430000,2.430000,118200
2017-06-02,2.400000,2.500000,2.370000,2.390000,2.390000,116800
2017-06-05,2.390000,2.390000,2.320000,2.370000,2.370000,129000
2017-06-06,2.350000,2.370000,2.220000,2.320000,2.320000,177000
