Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,1.740000,1.750000,1.660000,1.680000,1.680000,46000
2017-01-04,1.660000,1.740000,1.660000,1.660000,1.660000,46000
2017-01-05,1.660000,1.690000,1.620000,1.630000,1.630000,52500
2017-01-06,1.620000,1.700000,1.550000,1.670000,1.670000,29700
2017-01-09,1.640000,1.700000,1.640000,1.680000,1.680000,43700
2017-01-10,1.690000,1.700000,1.630000,1.630000,1.630000,13500
2017-01-11,1.670000,1.680000,1.630000,1.670000,1.670000,10600
2017-01-12,1.640000,1.690000,1.640000,1.690000,1.690000,1900
2017-01-13,1.660000,1.730000,1.660000,1.710000,1.710000,29400
2017-01-17,1.710000,1.760000,1.690000,1.720000,1.720000,84700
2017-01-18,1.720000,1.730000,1.710000,1.710000,1.710000,24600
2017-01-19,1.730000,1.750000,1.710000,1.750000,1.750000,4200
2017-01-20,1.750000,1.750000,1.730000,1.730000,1.730000,3700
2017-01-23,1.730000,1.730000,1.680000,1.680000,1.680000,17100
2017-01-24,1.680000,1.730000,1.680000,1.710000,1.710000,29600
2017-01-25,1.700000,1.900000,1.700000,1.890000,1.890000,160100
2017-01-26,1.880000,2.180000,1.870000,2.040000,2.040000,70300
2017-01-27,2.000000,2.130000,1.910000,2.050000,2.050000,86300
2017-01-30,2.150000,2.890000,2.050000,2.200000,2.200000,145600
2017-01-31,2.240000,2.450000,2.230000,2.280000,2.280000,76400
2017-02-01,2.310000,2.310000,2.020000,2.230000,2.230000,47200
2017-02-02,2.240000,2.390000,2.180000,2.270000,2.270000,62000
2017-02-03,2.280000,3.190000,2.280000,3.100000,3.100000,580600
2017-02-06,3.100000,3.640000,2.700000,2.720000,2.720000,1016900
2017-02-07,2.680000,2.680000,2.300000,2.400000,2.400000,314500
2017-02-08,2.420000,2.460000,2.360000,2.390000,2.390000,118000
2017-02-09,2.420000,2.600000,2.420000,2.570000,2.570000,98500
2017-02-10,2.600000,2.600000,2.460000,2.510000,2.510000,115100
2017-02-13,2.510000,2.590000,2.370000,2.400000,2.400000,93900
2017-02-14,2.380000,2.450000,2.380000,2.390000,2.390000,145000
2017-02-15,2.380000,2.420000,2.360000,2.360000,2.360000,49500
2017-02-16,2.340000,2.370000,2.250000,2.300000,2.300000,70200
2017-02-17,2.300000,2.390000,2.290000,2.300000,2.300000,44000
2017-02-21,2.320000,2.320000,2.090000,2.170000,2.170000,98500
2017-02-22,2.220000,2.220000,1.930000,1.930000,1.930000,169700
2017-02-23,1.900000,2.000000,1.840000,1.870000,1.870000,105000
2017-02-24,1.810000,1.930000,1.800000,1.880000,1.880000,145500
2017-02-27,1.840000,2.040000,1.800000,1.880000,1.880000,87800
2017-02-28,1.890000,1.910000,1.800000,1.840000,1.840000,56800
2017-03-01,1.910000,1.910000,1.820000,1.870000,1.870000,25700
2017-03-02,1.810000,1.880000,1.800000,1.840000,1.840000,72900
2017-03-03,1.830000,1.830000,1.760000,1.800000,1.800000,126000
2017-03-06,1.790000,1.830000,1.790000,1.810000,1.810000,49400
2017-03-07,1.820000,1.880000,1.800000,1.860000,1.860000,38500
2017-03-08,1.870000,1.980000,1.860000,1.950000,1.950000,89700
2017-03-09,2.000000,2.000000,1.920000,1.920000,1.920000,43700
2017-03-10,1.950000,2.180000,1.900000,1.950000,1.950000,151300
2017-03-13,2.150000,2.150000,1.860000,1.940000,1.940000,176100
2017-03-14,1.950000,1.950000,1.900000,1.940000,1.940000,35700
2017-03-15,1.930000,2.010000,1.930000,1.950000,1.950000,22000
2017-03-16,1.960000,2.050000,1.960000,2.050000,2.050000,68800
2017-03-17,2.050000,2.190000,2.050000,2.190000,2.190000,86600
2017-03-20,2.200000,2.200000,2.110000,2.140000,2.140000,16900
2017-03-21,2.150000,2.160000,2.100000,2.110000,2.110000,28800
2017-03-22,2.100000,2.120000,2.100000,2.100000,2.100000,21600
2017-03-23,2.120000,2.130000,2.060000,2.060000,2.060000,27100
2017-03-24,2.090000,2.160000,2.090000,2.160000,2.160000,10300
2017-03-27,2.100000,2.170000,2.100000,2.140000,2.140000,41300
2017-03-28,2.110000,2.160000,2.110000,2.110000,2.110000,21300
2017-03-29,2.110000,2.150000,2.110000,2.130000,2.130000,10900
2017-03-30,2.140000,2.190000,2.140000,2.160000,2.160000,10400
2017-03-31,2.160000,2.160000,2.130000,2.140000,2.140000,8800
2017-04-03,2.130000,2.150000,2.070000,2.080000,2.080000,17300
2017-04-04,2.080000,2.110000,2.070000,2.070000,2.070000,20100
2017-04-05,2.070000,2.300000,2.070000,2.210000,2.210000,131200
2017-04-06,2.210000,2.240000,2.160000,2.200000,2.200000,53700
2017-04-07,2.230000,2.400000,2.160000,2.390000,2.390000,58600
2017-04-10,2.390000,2.400000,2.220000,2.370000,2.370000,34700
2017-04-11,2.380000,2.380000,2.220000,2.220000,2.220000,14700
2017-04-12,2.220000,2.280000,2.210000,2.220000,2.220000,14200
2017-04-13,2.250000,2.250000,2.120000,2.140000,2.140000,20700
2017-04-17,2.120000,2.300000,2.120000,2.210000,2.210000,32900
2017-04-18,2.210000,2.270000,2.150000,2.220000,2.220000,33300
2017-04-19,2.290000,2.290000,2.210000,2.270000,2.270000,35900
2017-04-20,2.250000,2.280000,2.210000,2.210000,2.210000,14400
2017-04-21,2.200000,2.210000,2.130000,2.160000,2.160000,32100
2017-04-24,2.200000,2.280000,2.200000,2.260000,2.260000,22000
2017-04-25,2.270000,2.280000,2.270000,2.270000,2.270000,26200
2017-04-26,2.260000,2.370000,2.230000,2.290000,2.290000,24200
2017-04-27,2.310000,2.360000,2.170000,2.260000,2.260000,26500
2017-04-28,2.340000,2.440000,2.270000,2.320000,2.320000,50500
2017-05-01,2.290000,2.300000,2.190000,2.300000,2.300000,34700
2017-05-02,2.290000,2.290000,2.220000,2.220000,2.220000,5300
2017-05-03,2.210000,2.280000,2.200000,2.230000,2.230000,27100
2017-05-04,2.230000,2.230000,2.190000,2.200000,2.200000,16600
2017-05-05,2.200000,2.210000,2.180000,2.210000,2.210000,9100
2017-05-08,2.170000,2.210000,2.020000,2.100000,2.100000,101600
2017-05-09,2.090000,2.090000,1.850000,2.030000,2.030000,140400
2017-05-10,2.050000,2.070000,2.040000,2.070000,2.070000,15700
2017-05-11,2.050000,2.070000,2.010000,2.040000,2.040000,19900
2017-05-12,2.040000,2.070000,2.020000,2.050000,2.050000,69400
2017-05-15,2.050000,2.070000,2.030000,2.070000,2.070000,4800
2017-05-16,2.080000,2.080000,2.010000,2.010000,2.010000,16800
2017-05-17,2.010000,2.050000,2.010000,2.020000,2.020000,20100
2017-05-18,2.010000,2.080000,2.010000,2.080000,2.080000,35000
2017-05-19,2.080000,2.200000,2.060000,2.180000,2.180000,48400
2017-05-22,2.250000,2.250000,2.040000,2.050000,2.050000,38800
2017-05-23,2.070000,2.070000,2.040000,2.050000,2.050000,6400
2017-05-24,2.050000,2.060000,2.050000,2.050000,2.050000,2200
2017-05-25,2.070000,2.070000,2.040000,2.040000,2.040000,4700
2017-05-26,2.040000,2.060000,2.000000,2.020000,2.020000,12900
2017-05-30,2.110000,2.110000,1.950000,1.950000,1.950000,21100
2017-05-31,1.950000,2.200000,1.950000,2.200000,2.200000,35500
2017-06-01,2.190000,2.190000,2.040000,2.040000,2.040000,12400
2017-06-02,2.050000,2.080000,2.050000,2.080000,2.080000,7200
2017-06-05,2.110000,2.190000,2.080000,2.160000,2.160000,23300
2017-06-06,2.180000,2.250000,2.130000,2.240000,2.240000,37200
2017-06-07,2.240000,2.250000,2.180000,2.250000,2.250000,25100
2017-06-08,2.260000,2.350000,2.220000,2.300000,2.300000,19200
2017-06-09,2.330000,2.400000,2.240000,2.310000,2.310000,82300
2017-06-12,2.370000,2.370000,2.140000,2.250000,2.250000,28100
2017-06-13,2.320000,2.320000,2.100000,2.290000,2.290000,37300
2017-06-14,2.210000,2.300000,2.170000,2.190000,2.190000,19000
2017-06-15,2.190000,2.300000,2.190000,2.230000,2.230000,29200
2017-06-16,2.200000,2.340000,2.050000,2.150000,2.150000,105200
2017-06-19,2.170000,2.180000,2.080000,2.090000,2.090000,35000
2017-06-20,2.080000,2.380000,2.080000,2.160000,2.160000,19200
2017-06-21,2.140000,2.160000,2.100000,2.130000,2.130000,26200
2017-06-22,2.110000,2.200000,2.110000,2.110000,2.110000,14800
2017-06-23,2.110000,2.130000,2.060000,2.100000,2.100000,95600
2017-06-26,2.100000,2.110000,2.040000,2.070000,2.070000,10100
2017-06-27,2.090000,2.090000,2.070000,2.070000,2.070000,7100
2017-06-28,2.070000,2.090000,2.040000,2.040000,2.040000,23400
2017-06-29,2.050000,2.090000,2.050000,2.090000,2.090000,13500
2017-06-30,2.080000,2.080000,2.050000,2.080000,2.080000,8400
2017-07-03,2.050000,2.080000,2.010000,2.020000,2.020000,9800
2017-07-05,2.000000,2.050000,2.000000,2.040000,2.040000,16400
2017-07-06,2.040000,2.050000,2.030000,2.040000,2.040000,3400
2017-07-07,2.040000,2.160000,2.040000,2.150000,2.150000,15600
2017-07-10,2.140000,2.140000,2.050000,2.100000,2.100000,19700
2017-07-11,2.100000,2.130000,2.050000,2.050000,2.050000,13600
2017-07-12,2.060000,2.160000,2.060000,2.150000,2.150000,17100
2017-07-13,2.140000,2.150000,2.060000,2.150000,2.150000,12400
2017-07-14,2.150000,2.250000,2.140000,2.220000,2.220000,9100
2017-07-17,2.220000,2.220000,2.150000,2.220000,2.220000,5400
2017-07-18,2.200000,2.240000,2.060000,2.240000,2.240000,19100
2017-07-19,2.230000,2.230000,2.190000,2.200000,2.200000,2000
2017-07-20,2.210000,2.230000,2.140000,2.150000,2.150000,11200
2017-07-21,2.100000,2.140000,2.070000,2.070000,2.070000,17800
2017-07-24,2.130000,2.200000,2.100000,2.130000,2.130000,21200
2017-07-25,2.130000,2.190000,2.080000,2.080000,2.080000,10500
2017-07-26,2.110000,2.150000,2.100000,2.150000,2.150000,6800
2017-07-27,2.120000,2.200000,2.120000,2.190000,2.190000,9600
2017-07-28,2.190000,2.250000,2.150000,2.250000,2.250000,18300
2017-07-31,2.250000,2.290000,2.180000,2.290000,2.290000,19900
2017-08-01,2.270000,2.300000,2.210000,2.230000,2.230000,9600
2017-08-02,2.260000,2.270000,2.150000,2.150000,2.150000,6100
2017-08-03,2.180000,2.230000,2.150000,2.230000,2.230000,4300
2017-08-04,2.210000,2.210000,2.100000,2.180000,2.180000,26500
2017-08-07,2.180000,2.190000,2.150000,2.180000,2.180000,2500
2017-08-08,2.210000,2.230000,2.140000,2.230000,2.230000,9500
2017-08-09,2.200000,2.230000,2.150000,2.170000,2.170000,13300
2017-08-10,2.120000,2.160000,2.100000,2.100000,2.100000,19200
2017-08-11,2.100000,2.190000,2.100000,2.150000,2.150000,24800
2017-08-14,2.140000,2.200000,2.140000,2.200000,2.200000,8700
2017-08-15,2.190000,2.250000,2.180000,2.220000,2.220000,20200
2017-08-16,2.200000,2.200000,2.160000,2.200000,2.200000,4800
2017-08-17,2.220000,2.220000,2.150000,2.190000,2.190000,6000
2017-08-18,2.190000,2.240000,2.150000,2.230000,2.230000,4200
2017-08-21,2.220000,2.220000,2.150000,2.160000,2.160000,6300
2017-08-22,2.210000,2.220000,2.160000,2.160000,2.160000,12000
2017-08-23,2.190000,2.200000,2.180000,2.200000,2.200000,2100
2017-08-24,2.220000,2.250000,2.160000,2.200000,2.200000,17700
2017-08-25,2.240000,2.240000,2.200000,2.220000,2.220000,14200
2017-08-28,2.220000,2.220000,2.200000,2.200000,2.200000,2600
2017-08-29,2.200000,2.290000,2.200000,2.240000,2.240000,17200
2017-08-30,2.240000,2.350000,2.240000,2.340000,2.340000,28900
2017-08-31,2.360000,2.480000,2.340000,2.370000,2.370000,55400
2017-09-01,2.380000,2.490000,2.360000,2.420000,2.420000,49400
2017-09-05,2.440000,2.500000,2.350000,2.450000,2.450000,29900
2017-09-06,2.420000,2.450000,2.370000,2.400000,2.400000,12200
2017-09-07,2.460000,2.460000,2.370000,2.440000,2.440000,7100
2017-09-08,2.460000,2.560000,2.460000,2.490000,2.490000,52800
2017-09-11,2.530000,2.560000,2.440000,2.490000,2.490000,8700
2017-09-12,2.470000,2.560000,2.470000,2.560000,2.560000,17000
2017-09-13,2.560000,2.750000,2.560000,2.670000,2.670000,32600
2017-09-14,2.720000,2.740000,2.560000,2.640000,2.640000,24600
2017-09-15,2.650000,2.710000,2.510000,2.510000,2.510000,19500
2017-09-18,2.520000,2.700000,2.520000,2.580000,2.580000,5900
2017-09-19,2.570000,2.620000,2.530000,2.600000,2.600000,22200
2017-09-20,2.550000,2.670000,2.540000,2.620000,2.620000,173400
2017-09-21,2.610000,2.640000,2.520000,2.560000,2.560000,5300
2017-09-22,2.590000,2.640000,2.490000,2.600000,2.600000,23000
2017-09-25,2.560000,2.580000,2.490000,2.510000,2.510000,4300
2017-09-26,2.510000,2.630000,2.510000,2.600000,2.600000,9900
2017-09-27,2.670000,2.670000,2.620000,2.620000,2.620000,8500
2017-09-28,2.600000,2.630000,2.460000,2.600000,2.600000,24300
2017-09-29,2.550000,2.550000,2.420000,2.420000,2.420000,16500
2017-10-02,2.420000,2.500000,2.410000,2.450000,2.450000,49700
2017-10-03,2.450000,2.520000,2.430000,2.460000,2.460000,4100
2017-10-04,2.470000,2.480000,2.430000,2.440000,2.440000,10400
2017-10-05,2.450000,2.450000,2.410000,2.430000,2.430000,7600
2017-10-06,2.410000,2.500000,2.410000,2.490000,2.490000,8200
2017-10-09,2.500000,2.520000,2.500000,2.520000,2.520000,5900
2017-10-10,2.490000,2.580000,2.490000,2.500000,2.500000,2000
2017-10-11,2.530000,2.650000,2.500000,2.500000,2.500000,27200
2017-10-12,2.520000,2.600000,2.520000,2.550000,2.550000,12200
2017-10-13,2.550000,2.640000,2.430000,2.460000,2.460000,103700
2017-10-16,2.490000,2.490000,2.460000,2.480000,2.480000,3500
2017-10-17,2.480000,2.480000,2.410000,2.450000,2.450000,10900
2017-10-18,2.450000,2.480000,2.400000,2.420000,2.420000,10100
2017-10-19,2.410000,2.420000,2.410000,2.420000,2.420000,4200
2017-10-20,2.460000,2.460000,2.390000,2.420000,2.420000,10100
2017-10-23,2.450000,2.460000,2.370000,2.440000,2.440000,11600
2017-10-24,2.460000,2.460000,2.400000,2.400000,2.400000,3800
2017-10-25,2.420000,2.480000,2.410000,2.450000,2.450000,12400
2017-10-26,2.480000,2.500000,2.460000,2.500000,2.500000,2900
2017-10-27,2.490000,2.500000,2.440000,2.480000,2.480000,10500
2017-10-30,2.450000,2.450000,2.390000,2.390000,2.390000,10100
