Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,6.410000,6.410000,6.030000,6.030000,5.972162,700
2017-01-04,6.030000,6.030000,6.030000,6.030000,5.972162,0
2017-01-05,6.030000,6.030000,6.030000,6.030000,5.972162,1100
2017-01-06,6.020000,6.030000,5.310000,5.310000,5.259068,1400
2017-01-09,5.310000,5.310000,5.310000,5.310000,5.259068,0
2017-01-10,5.600000,5.600000,5.600000,5.600000,5.546286,300
2017-01-11,5.600000,5.600000,5.600000,5.600000,5.546286,0
2017-01-12,5.600000,5.600000,5.600000,5.600000,5.546286,0
2017-01-13,5.600000,5.600000,5.600000,5.600000,5.546286,0
2017-01-17,5.610000,5.610000,5.610000,5.610000,5.556190,100
2017-01-18,5.610000,5.610000,5.610000,5.610000,5.556190,0
2017-01-19,5.610000,5.610000,5.610000,5.610000,5.556190,0
2017-01-20,5.610000,5.610000,5.610000,5.610000,5.556190,0
2017-01-23,5.610000,5.610000,5.610000,5.610000,5.556190,100
2017-01-24,5.610000,5.610000,5.610000,5.610000,5.556190,0
2017-01-25,5.610000,5.610000,5.610000,5.610000,5.556190,0
2017-01-26,5.962000,5.962000,5.962000,5.962000,5.904813,200
2017-01-27,5.920000,5.920000,5.920000,5.920000,5.863216,500
2017-01-30,5.920000,5.920000,5.920000,5.920000,5.863216,0
2017-01-31,5.600000,5.837000,5.600000,5.837000,5.781013,400
2017-02-01,5.837000,5.837000,5.837000,5.837000,5.781013,0
2017-02-02,6.062000,6.062000,5.830000,5.830000,5.774080,300
2017-02-03,5.830000,5.830000,5.830000,5.830000,5.774080,0
2017-02-06,5.850000,5.850000,5.850000,5.850000,5.793888,1400
2017-02-07,5.837000,5.840000,5.800000,5.840000,5.783984,3000
2017-02-08,6.140000,6.140000,6.140000,6.140000,6.081106,200
2017-02-09,6.290000,6.290000,6.290000,6.290000,6.229668,300
2017-02-10,6.290000,6.290000,6.290000,6.290000,6.229668,0
2017-02-13,6.780000,7.808000,6.780000,7.808000,7.733107,2300
2017-02-14,8.301000,8.301000,6.990000,7.250000,7.180459,5600
2017-02-15,7.350000,7.350000,7.350000,7.350000,7.279500,100
2017-02-16,6.900000,6.900000,6.609000,6.747000,6.682284,500
2017-02-17,7.825000,7.825000,6.010000,6.600000,6.536694,12100
2017-02-21,7.010000,7.035000,6.670000,6.950000,6.883337,1700
2017-02-22,6.950000,6.950000,6.950000,6.950000,6.883337,0
2017-02-23,6.850000,6.938000,6.290000,6.290000,6.229668,3300
2017-02-24,6.590000,6.600000,6.414000,6.480000,6.417845,8800
2017-02-27,6.650000,6.670000,6.650000,6.670000,6.606023,3800
2017-02-28,6.640000,7.030000,6.590000,6.590000,6.526790,12900
