Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,25.490000,25.500000,24.790001,25.020000,24.901161,203600
2017-01-04,25.020000,25.549999,25.010000,25.280001,25.159925,220500
2017-01-05,25.309999,25.530001,24.730000,25.070000,24.950924,165100
2017-01-06,25.190001,25.309999,24.860001,25.129999,25.010637,191600
2017-01-09,25.040001,25.049999,24.660000,24.809999,24.692158,164800
2017-01-10,24.250000,24.879999,24.150000,24.730000,24.612537,1391900
2017-01-11,24.750000,25.360001,24.090000,25.350000,25.229593,723300
2017-01-12,25.230000,25.389999,24.570000,24.830000,24.712063,275200
2017-01-13,24.969999,25.370001,24.680000,24.900000,24.781731,232500
2017-01-17,24.750000,24.809999,24.410000,24.490000,24.373678,320200
2017-01-18,24.549999,24.629999,24.320000,24.610001,24.493109,208500
2017-01-19,24.620001,24.950001,24.360001,24.510000,24.393583,236400
2017-01-20,24.530001,25.040001,24.530001,24.830000,24.712063,351000
2017-01-23,24.740000,24.969999,24.709999,24.930000,24.811588,236400
2017-01-24,24.959999,25.520000,24.940001,25.430000,25.309212,272800
2017-01-25,25.500000,25.790001,25.059999,25.200001,25.080307,464800
2017-01-26,25.290001,26.299999,24.620001,25.510000,25.388832,405800
2017-01-27,25.379999,25.490000,24.770000,24.910000,24.791683,333400
2017-01-30,24.690001,24.780001,24.330000,24.540001,24.423441,324400
2017-01-31,24.469999,24.840000,24.200001,24.389999,24.274153,410600
2017-02-01,24.530001,24.959999,23.900000,24.209999,24.095007,198300
2017-02-02,24.100000,24.200001,23.900000,24.070000,23.955673,180600
2017-02-03,24.330000,24.950001,24.330000,24.889999,24.771778,281900
2017-02-06,24.850000,25.020000,24.490000,24.540001,24.423441,296000
2017-02-07,24.559999,24.650000,24.299999,24.420000,24.304010,192500
2017-02-08,24.320000,24.420000,23.799999,24.129999,24.015387,245800
2017-02-09,24.150000,24.510000,23.889999,24.469999,24.353773,293100
2017-02-10,24.590000,24.900000,24.540001,24.790001,24.672255,210700
2017-02-13,24.879999,25.110001,24.580000,24.969999,24.851398,228600
2017-02-14,25.000000,25.360001,24.620001,25.250000,25.130068,170600
2017-02-15,25.110001,25.450001,25.110001,25.420000,25.299261,186900
2017-02-16,25.379999,25.459999,25.090000,25.450001,25.329119,203800
2017-02-17,25.430000,25.450001,25.150000,25.360001,25.239546,222400
2017-02-21,25.400000,25.620001,25.049999,25.290001,25.169878,180000
2017-02-22,25.280001,25.670000,25.020000,25.469999,25.349022,238100
2017-02-23,25.459999,25.459999,24.950001,25.240000,25.120115,178700
2017-02-24,24.980000,25.129999,24.889999,25.049999,24.931019,214000
2017-02-27,25.049999,25.150000,24.850000,25.000000,24.881256,256000
2017-02-28,24.930000,25.000000,24.480000,24.709999,24.592632,237400
2017-03-01,25.120001,25.420000,25.049999,25.330000,25.209686,251400
2017-03-02,25.280001,25.400000,24.750000,24.950001,24.831495,217000
2017-03-03,24.850000,25.370001,24.389999,25.180000,25.060400,331100
2017-03-06,25.150000,25.629999,24.889999,25.459999,25.339069,371000
2017-03-07,25.410000,25.639999,25.139999,25.420000,25.299261,251000
2017-03-08,25.610001,25.830000,25.350000,25.360001,25.239546,253300
