Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,27.352381,27.476191,26.371429,26.561905,26.059160,13900
2017-01-04,26.571428,26.799999,26.047619,26.457144,25.956383,17200
2017-01-05,26.323809,26.438095,25.647619,25.876190,25.386425,20500
2017-01-06,25.961905,26.352381,25.409523,26.323809,25.825571,18800
2017-01-09,26.114286,26.228571,24.657143,26.171429,25.676075,8000
2017-01-10,26.066668,26.171429,24.790476,26.161905,25.666731,11900
2017-01-11,24.866667,26.847618,24.866667,26.190475,25.694761,22100
2017-01-12,25.200001,27.076191,24.409523,25.799999,25.311672,15500
2017-01-13,23.857143,25.714285,23.828571,25.523809,25.040712,10000
2017-01-17,23.933332,25.761906,23.933332,25.485714,25.003340,17300
2017-01-18,25.561905,25.714285,24.161905,25.000000,24.526815,10300
2017-01-19,25.180952,25.533333,24.761906,24.771429,24.302572,10200
2017-01-20,24.190475,24.914286,24.133333,24.152382,23.818871,9100
2017-01-23,23.961905,24.276190,23.828571,23.828571,23.499529,3900
2017-01-24,24.000000,24.819048,24.000000,24.790476,24.448151,6500
2017-01-25,25.190475,25.228571,24.752380,25.171429,24.823845,3900
2017-01-26,25.561905,25.714285,25.361904,25.666666,25.312243,7900
2017-01-27,26.000000,26.000000,24.514286,25.600000,25.246498,3500
2017-01-30,25.666666,25.666666,24.971428,25.114286,24.767490,6200
2017-01-31,25.428572,25.476191,24.390476,24.447618,24.110027,20500
2017-02-01,25.190475,25.190475,24.609524,24.980953,24.635998,5800
2017-02-02,25.333334,25.333334,24.657143,24.657143,24.316660,2800
2017-02-03,24.971428,25.038095,24.695238,24.952381,24.607822,8100
2017-02-06,24.847618,25.799999,24.847618,25.685715,25.331028,24800
2017-02-07,25.799999,25.799999,24.980953,25.571428,25.218319,7600
2017-02-08,25.552382,25.552382,24.676191,25.142857,24.795666,10800
2017-02-09,24.914286,25.361904,24.876190,25.238094,24.889589,4900
2017-02-10,25.485714,25.514286,24.342857,25.238094,24.889589,8800
2017-02-13,25.466667,25.619047,25.276190,25.580952,25.227713,5300
2017-02-14,25.600000,25.799999,25.285715,25.647619,25.293459,9000
2017-02-15,25.666666,25.752380,24.695238,25.485714,25.133789,4900
2017-02-16,25.142857,25.799999,25.142857,25.638096,25.284067,6800
2017-02-17,25.752380,25.799999,25.238094,25.666666,25.312243,12100
2017-02-21,25.580952,25.666666,25.171429,25.666666,25.312243,3600
2017-02-22,25.504763,25.619047,25.142857,25.333334,24.983513,5600
2017-02-23,25.190475,25.314285,25.123810,25.161905,24.814453,2900
2017-02-24,24.771429,25.285715,24.771429,25.257143,24.908375,4900
2017-02-27,25.542856,25.571428,24.961905,25.152382,24.805059,5100
2017-02-28,25.276190,25.523809,24.761906,24.771429,24.429369,11700
2017-03-01,25.171429,25.409523,24.771429,25.152382,24.805059,4600
2017-03-02,25.342857,25.342857,24.761906,24.923809,24.579643,3200
2017-03-03,24.638096,24.895239,24.590477,24.895239,24.551468,3700
2017-03-06,24.838095,25.057142,24.761906,24.895239,24.551468,5100
2017-03-07,25.009523,25.047619,24.761906,24.771429,24.429369,12900
2017-03-08,24.790476,25.180952,24.761906,24.761906,24.419975,6400
2017-03-09,24.761906,24.809525,24.666666,24.685715,24.344837,7900
2017-03-10,24.742857,25.047619,24.666666,24.790476,24.448151,6700
2017-03-13,24.847618,25.095238,24.838095,25.095238,24.748705,6400
2017-03-14,25.380953,25.380953,24.857143,24.866667,24.523291,7400
2017-03-15,25.400000,25.400000,24.857143,24.885714,24.542072,5700
2017-03-16,24.857143,25.152382,24.857143,24.952381,24.607822,7700
2017-03-17,24.771429,25.704762,24.771429,25.695238,25.340420,68700
2017-03-20,25.542856,25.809525,25.542856,25.695238,25.340420,8100
2017-03-21,25.695238,25.695238,25.209524,25.238094,24.889589,10500
2017-03-22,25.257143,25.400000,24.619047,24.647619,24.307266,18900
2017-03-23,24.666666,25.371429,24.638096,24.638096,24.297876,5600
2017-03-24,24.676191,25.000000,24.638096,24.761906,24.419975,6900
2017-03-27,24.866667,25.104761,24.666666,24.761906,24.419975,2800
2017-03-28,24.676191,24.942858,24.609524,24.923809,24.579643,7800
2017-03-29,24.761906,25.066668,24.761906,24.876190,24.532682,4200
2017-03-30,24.838095,25.047619,24.542856,25.000000,24.654783,11000
2017-03-31,25.047619,25.047619,24.628571,24.676191,24.335445,15000
2017-04-03,24.742857,25.180952,24.742857,24.790476,24.448151,6500
2017-04-04,24.666666,25.076191,24.619047,24.752380,24.410583,8000
2017-04-05,24.790476,24.895239,24.619047,24.619047,24.279089,11900
2017-04-06,24.676191,24.761906,24.476191,24.619047,24.279089,21300
2017-04-07,24.609524,25.047619,24.333334,24.933332,24.589035,23600
2017-04-10,24.952381,24.952381,24.790476,24.914286,24.570251,2600
2017-04-11,24.819048,25.066668,24.676191,24.790476,24.448151,19800
2017-04-12,24.771429,24.771429,24.285715,24.314285,23.978537,9200
2017-04-13,24.571428,24.761906,24.285715,24.361904,24.025497,19300
2017-04-17,24.761906,24.847618,24.333334,24.628571,24.288483,11200
2017-04-18,24.476191,24.952381,24.161905,24.685715,24.344837,12800
2017-04-19,25.009523,25.819048,24.904762,25.542856,25.190142,6700
2017-04-20,26.066668,26.428572,25.609524,26.095238,25.734896,11400
2017-04-21,25.761906,26.247620,25.304762,26.180952,25.947268,11100
2017-04-24,26.371429,27.323809,25.447618,27.133333,26.891150,10300
2017-04-25,27.142857,27.466667,25.085714,27.390476,27.145998,10900
2017-04-26,25.952381,27.809525,25.952381,27.552382,27.306458,11900
2017-04-27,27.771429,28.152382,26.285715,27.780952,27.532988,8100
2017-04-28,27.514286,27.847618,27.238094,27.609524,27.363089,10000
2017-05-01,27.799999,27.799999,25.904762,27.790476,27.542427,11900
2017-05-02,27.761906,27.857143,26.400000,27.371429,27.127121,6800
2017-05-03,27.447618,27.447618,25.019047,26.761906,26.523037,10100
2017-05-04,26.904762,27.276190,26.904762,27.161905,26.919466,1600
2017-05-05,27.238094,27.238094,26.904762,26.952381,26.711811,5300
2017-05-08,26.914286,27.523809,26.914286,27.209524,26.966660,4400
2017-05-09,27.371429,27.371429,26.904762,27.047619,26.806200,6300
2017-05-10,27.142857,27.142857,26.904762,26.923809,26.683496,7200
2017-05-11,26.657143,26.657143,25.723810,25.847618,25.616911,5900
2017-05-12,25.847618,25.942858,25.714285,25.885714,25.654667,3800
2017-05-15,26.209524,26.285715,25.876190,26.028572,25.796247,3000
2017-05-16,25.923809,25.923809,25.761906,25.885714,25.654667,5000
2017-05-17,25.752380,25.780952,24.485714,24.666666,24.446499,12100
2017-05-18,25.523809,25.933332,24.885714,25.047619,24.824051,9900
2017-05-19,24.933332,24.961905,24.076191,24.171429,23.955683,14000
2017-05-22,24.228571,24.609524,24.104761,24.542856,24.323793,10800
2017-05-23,24.704762,25.047619,24.504763,24.704762,24.484255,3400
2017-05-24,24.704762,25.295238,24.704762,25.133333,24.909000,13900
2017-05-25,25.190475,25.942858,24.019047,24.809525,24.588081,6800
2017-05-26,24.933332,25.695238,24.933332,24.971428,24.748541,6300
2017-05-30,24.904762,25.219048,24.495237,24.542856,24.323793,3800
2017-05-31,24.504763,24.914286,24.314285,24.571428,24.352112,6600
2017-06-01,24.628571,25.409523,24.580952,25.238094,25.012827,6300
2017-06-02,25.914286,26.133333,25.438095,25.676191,25.447014,12000
2017-06-05,25.857143,25.857143,25.495237,25.571428,25.343185,18300
2017-06-06,25.342857,25.504763,25.085714,25.085714,24.861807,15600
2017-06-07,25.200001,25.571428,25.047619,25.238094,25.012827,6300
2017-06-08,25.685715,25.685715,25.238094,25.238094,25.012827,9600
2017-06-09,25.180952,25.657143,25.095238,25.657143,25.428135,17300
2017-06-12,25.685715,25.714285,25.228571,25.238094,25.012827,22100
2017-06-13,25.266666,25.542856,25.095238,25.400000,25.173286,11100
2017-06-14,25.285715,25.619047,25.095238,25.266666,25.041143,6900
2017-06-15,25.400000,25.523809,25.152382,25.238094,25.012827,7800
2017-06-16,25.066668,25.704762,25.066668,25.447618,25.220480,26500
2017-06-19,25.666666,25.914286,25.619047,25.799999,25.569715,16800
2017-06-20,25.866667,25.933332,25.638096,25.819048,25.588594,15600
2017-06-21,25.952381,25.952381,25.561905,25.809525,25.579157,17700
2017-06-22,25.914286,25.952381,25.590477,25.714285,25.484768,39600
2017-06-23,25.714285,25.952381,25.714285,25.761906,25.531963,51900
2017-06-26,25.866667,25.923809,25.628571,25.714285,25.484768,28100
2017-06-27,25.923809,25.923809,25.733334,25.733334,25.503647,7000
2017-06-28,25.714285,26.666666,25.714285,26.666666,26.428648,10600
2017-06-29,26.780952,27.133333,26.780952,27.047619,26.806200,6600
2017-06-30,27.133333,27.133333,26.857143,27.047619,26.806200,11400
2017-07-03,27.142857,27.161905,26.942858,27.000000,26.759007,4700
2017-07-05,26.942858,27.133333,26.771429,26.961905,26.721251,3900
2017-07-06,26.847618,27.180952,26.666666,27.104761,26.862831,8300
2017-07-07,27.180952,27.380953,27.133333,27.380953,27.136559,6900
2017-07-10,27.180952,27.733334,27.180952,27.447618,27.202629,3800
2017-07-11,27.419048,27.809525,26.990477,27.323809,27.079924,5100
2017-07-12,27.285715,27.361904,27.123810,27.123810,26.881710,7900
2017-07-13,27.276190,27.276190,26.323809,26.838095,26.598545,4700
2017-07-14,26.590477,26.933332,26.276190,26.714285,26.475842,6300
2017-07-17,26.666666,26.733334,26.190475,26.476191,26.239872,13100
2017-07-18,26.828571,27.085714,26.419048,27.085714,26.843954,9700
2017-07-19,26.952381,27.133333,26.895239,26.895239,26.655180,4700
2017-07-20,26.933332,27.076191,26.666666,26.666666,26.428648,3300
2017-07-21,26.923809,27.142857,26.476191,26.790476,26.679985,13200
2017-07-24,26.714285,26.885714,26.523809,26.571428,26.461842,10500
2017-07-25,27.123810,27.123810,26.628571,26.628571,26.518749,6900
2017-07-26,26.828571,26.857143,26.542856,26.733334,26.623079,4600
2017-07-27,26.876190,26.904762,26.476191,26.657143,26.547203,7600
2017-07-28,26.619047,26.619047,26.476191,26.476191,26.366997,3900
2017-07-31,26.571428,26.857143,26.571428,26.628571,26.518749,15500
