Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,21.750000,21.930000,21.000000,21.500000,21.228205,33000
2017-01-04,21.500000,22.320000,21.020000,21.350000,21.080101,24800
2017-01-05,21.400000,22.000000,21.000000,21.000000,20.734524,12400
2017-01-06,21.049999,22.180000,20.100000,20.100000,19.845901,7500
2017-01-09,20.100000,21.020000,18.100000,18.700001,18.463600,68900
2017-01-10,18.650000,19.150000,18.549999,18.750000,18.512968,20100
2017-01-11,18.750000,18.770000,17.799999,18.450001,18.216761,31400
2017-01-12,18.400000,18.400000,17.799999,18.000000,17.772449,24500
2017-01-13,18.100000,19.549999,18.100000,19.100000,18.858543,33800
2017-01-17,19.200001,20.000000,19.080000,19.650000,19.401590,24200
2017-01-18,19.600000,19.950001,19.299999,19.950001,19.697798,9000
2017-01-19,19.799999,19.799999,18.750000,19.799999,19.549692,7800
2017-01-20,19.750000,19.750000,19.240000,19.350000,19.105383,6100
2017-01-23,19.100000,19.750000,18.450001,18.950001,18.710440,9900
2017-01-24,19.250000,19.500000,18.410000,19.440001,19.194246,6300
2017-01-25,19.350000,19.350000,18.910000,19.000000,18.759806,10400
2017-01-26,19.000000,19.000000,18.500000,18.850000,18.611704,7200
2017-01-27,18.900000,18.900000,18.250000,18.850000,18.611704,4900
2017-01-30,18.850000,21.250000,18.850000,20.200001,19.944637,22600
2017-01-31,20.250000,21.250000,20.250000,20.900000,20.635786,17600
2017-02-01,21.350000,21.549999,19.680000,19.799999,19.549692,19800
2017-02-02,19.900000,21.350000,19.719999,20.450001,20.191477,7900
2017-02-03,20.700001,21.250000,19.920000,21.250000,20.981363,17900
2017-02-06,21.500000,21.500000,20.900000,21.049999,20.783892,16300
2017-02-07,21.350000,21.590000,21.030001,21.590000,21.317066,3200
2017-02-08,21.650000,21.900000,20.799999,20.850000,20.662985,8500
2017-02-09,21.290001,21.400000,20.430000,21.299999,21.108948,8200
2017-02-10,21.500000,21.500000,20.799999,21.299999,21.108948,11000
2017-02-13,21.299999,21.299999,20.700001,20.799999,20.613434,5600
2017-02-14,20.750000,21.000000,20.530001,20.799999,20.613434,9400
2017-02-15,20.750000,21.110001,20.709999,20.900000,20.712536,4600
2017-02-16,20.900000,21.299999,19.350000,20.790001,20.603523,18900
2017-02-17,20.850000,20.900000,19.799999,20.490000,20.306215,13100
2017-02-21,20.400000,20.799999,20.100000,20.100000,19.919714,13800
2017-02-22,19.299999,20.200001,19.299999,20.000000,19.820610,27700
2017-02-23,20.000000,20.850000,19.580000,20.250000,20.068369,8800
2017-02-24,19.950001,20.450001,19.370001,20.049999,19.870161,8200
2017-02-27,20.100000,20.450001,19.290001,20.250000,20.068369,8000
2017-02-28,20.100000,20.100000,19.330000,19.700001,19.523302,5400
2017-03-01,19.950001,20.000000,19.480000,19.799999,19.622404,15300
2017-03-02,19.400000,19.650000,19.400000,19.549999,19.374645,3900
2017-03-03,19.500000,19.600000,19.020000,19.500000,19.325094,11200
2017-03-06,19.350000,19.980000,19.150000,19.350000,19.176441,8200
2017-03-07,19.450001,20.100000,19.250000,19.350000,19.176441,9900
2017-03-08,19.549999,19.950001,19.500000,19.900000,19.721506,8200
2017-03-09,19.790001,19.900000,19.150000,19.700001,19.523302,7200
2017-03-10,19.700001,19.700001,19.200001,19.299999,19.126888,7600
2017-03-13,19.500000,20.600000,19.250000,19.750000,19.572853,12600
2017-03-14,19.700001,19.750000,19.350000,19.500000,19.325094,13600
2017-03-15,19.650000,20.250000,19.400000,20.000000,19.820610,17400
2017-03-16,20.000000,20.450001,20.000000,20.000000,19.820610,4800
2017-03-17,20.000000,20.350000,20.000000,20.100000,19.919714,9700
2017-03-20,20.100000,20.690001,19.330000,20.400000,20.217020,15600
2017-03-21,20.250000,20.750000,19.750000,20.100000,19.919714,6600
2017-03-22,20.000000,20.900000,20.000000,20.000000,19.820610,4400
2017-03-23,19.900000,20.650000,19.900000,20.150000,19.969265,3900
2017-03-24,19.650000,19.950001,19.650000,19.840000,19.662045,1700
2017-03-27,19.500000,20.200001,19.500000,19.900000,19.721506,3900
2017-03-28,19.600000,20.299999,19.549999,20.000000,19.820610,30000
2017-03-29,20.049999,20.750000,19.950001,20.100000,19.919714,43400
2017-03-30,20.049999,20.299999,19.500000,19.950001,19.771059,27700
2017-03-31,19.750000,20.549999,19.750000,19.900000,19.721506,31600
2017-04-03,20.150000,20.350000,19.580000,19.850000,19.671957,3300
2017-04-04,19.750000,20.000000,19.549999,19.549999,19.374645,3400
2017-04-05,19.549999,19.799999,19.450001,19.500000,19.325094,6000
2017-04-06,19.450001,19.750000,18.900000,19.299999,19.126888,7500
2017-04-07,19.150000,19.700001,19.000000,19.080000,18.908861,7500
2017-04-10,19.049999,19.299999,18.250000,18.900000,18.730476,25800
2017-04-11,18.900000,19.100000,18.750000,19.000000,18.829578,5700
2017-04-12,19.299999,19.600000,17.780001,18.700001,18.532270,15800
2017-04-13,18.549999,18.900000,18.000000,18.100000,17.937653,5100
2017-04-17,18.250000,18.250000,17.500000,17.799999,17.640343,13400
2017-04-18,17.799999,18.799999,17.799999,17.850000,17.689896,5500
2017-04-19,17.799999,18.100000,17.799999,17.850000,17.689896,5700
2017-04-20,17.900000,18.250000,17.900000,18.250000,18.086306,1100
2017-04-21,18.200001,18.750000,18.100000,18.549999,18.383614,6700
2017-04-24,18.549999,18.650000,17.549999,18.299999,18.135857,20800
