Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,1.060000,1.190000,1.040000,1.080000,1.080000,90500
2017-01-04,1.110000,1.150000,1.050000,1.070000,1.070000,54400
2017-01-05,1.120000,1.190000,1.060000,1.120000,1.120000,114200
2017-01-06,1.100000,1.250000,1.100000,1.210000,1.210000,216700
2017-01-09,1.240000,1.240000,1.180000,1.180000,1.180000,21600
2017-01-10,1.170000,1.210000,1.130000,1.160000,1.160000,51700
2017-01-11,1.190000,1.190000,1.120000,1.150000,1.150000,1600
2017-01-12,1.130000,1.180000,1.090000,1.160000,1.160000,19100
2017-01-13,1.200000,1.200000,1.140000,1.150000,1.150000,12800
2017-01-17,1.150000,1.180000,1.080000,1.140000,1.140000,43700
2017-01-18,1.110000,1.160000,1.080000,1.140000,1.140000,27200
2017-01-19,1.100000,1.150000,1.100000,1.150000,1.150000,27600
2017-01-20,1.130000,1.190000,1.130000,1.190000,1.190000,8900
2017-01-23,1.150000,1.200000,1.140000,1.200000,1.200000,25900
2017-01-24,1.210000,1.250000,1.170000,1.240000,1.240000,18700
2017-01-25,1.200000,1.330000,1.180000,1.190000,1.190000,45000
2017-01-26,1.220000,1.250000,1.200000,1.250000,1.250000,9000
2017-01-27,1.300000,1.560000,1.150000,1.540000,1.540000,386400
2017-01-30,1.650000,1.740000,1.380000,1.500000,1.500000,262800
2017-01-31,1.430000,1.600000,1.420000,1.590000,1.590000,106200
2017-02-01,1.600000,1.630000,1.510000,1.630000,1.630000,51000
2017-02-02,1.670000,1.670000,1.550000,1.600000,1.600000,11400
2017-02-03,1.640000,1.640000,1.530000,1.610000,1.610000,9200
2017-02-06,1.580000,1.590000,1.450000,1.580000,1.580000,16500
2017-02-07,1.580000,1.580000,1.470000,1.480000,1.480000,5300
2017-02-08,1.450000,1.490000,1.440000,1.460000,1.460000,16600
2017-02-09,1.430000,1.520000,1.380000,1.440000,1.440000,80600
2017-02-10,1.450000,1.550000,1.400000,1.420000,1.420000,49500
2017-02-13,1.470000,1.480000,1.400000,1.470000,1.470000,31700
2017-02-14,1.530000,1.570000,1.480000,1.490000,1.490000,46200
2017-02-15,1.500000,1.530000,1.490000,1.530000,1.530000,7400
2017-02-16,1.470000,1.520000,1.440000,1.510000,1.510000,25300
2017-02-17,1.510000,1.510000,1.380000,1.490000,1.490000,30200
2017-02-21,1.540000,1.620000,1.430000,1.550000,1.550000,39000
2017-02-22,1.550000,1.550000,1.430000,1.540000,1.540000,35800
2017-02-23,1.550000,1.550000,1.410000,1.440000,1.440000,40500
2017-02-24,1.490000,1.520000,1.430000,1.450000,1.450000,22800
2017-02-27,1.520000,1.530000,1.420000,1.480000,1.480000,42100
2017-02-28,1.470000,1.470000,1.380000,1.380000,1.380000,11800
2017-03-01,1.400000,1.490000,1.390000,1.390000,1.390000,18400
2017-03-02,1.420000,1.430000,1.420000,1.420000,1.420000,10700
2017-03-03,1.420000,1.460000,1.400000,1.420000,1.420000,8600
2017-03-06,1.420000,1.430000,1.300000,1.390000,1.390000,38200
2017-03-07,1.370000,1.450000,1.360000,1.400000,1.400000,34700
2017-03-08,1.420000,1.480000,1.280000,1.340000,1.340000,22500
2017-03-09,1.320000,1.440000,1.300000,1.300000,1.300000,19300
2017-03-10,1.360000,1.390000,1.310000,1.320000,1.320000,6900
2017-03-13,1.370000,1.550000,1.330000,1.330000,1.330000,13700
2017-03-14,1.350000,1.350000,1.250000,1.260000,1.260000,17300
2017-03-15,1.210000,1.360000,1.030000,1.200000,1.200000,38200
2017-03-16,1.200000,1.280000,1.170000,1.260000,1.260000,20300
2017-03-17,1.310000,1.520000,1.240000,1.440000,1.440000,97300
2017-03-20,1.450000,1.470000,1.400000,1.410000,1.410000,6600
2017-03-21,1.420000,1.420000,1.280000,1.400000,1.400000,31600
2017-03-22,1.400000,1.480000,1.350000,1.360000,1.360000,25600
2017-03-23,1.400000,1.440000,1.360000,1.420000,1.420000,29300
2017-03-24,1.420000,1.420000,1.420000,1.420000,1.420000,300
2017-03-27,1.350000,1.510000,1.330000,1.420000,1.420000,86500
2017-03-28,1.450000,1.510000,1.330000,1.390000,1.390000,38600
