Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,2.750000,2.850000,2.560000,2.800000,2.800000,595300
2017-01-04,2.840000,2.840000,2.640000,2.790000,2.790000,241300
2017-01-05,2.730000,2.900000,2.610000,2.840000,2.840000,414400
2017-01-06,2.850000,2.900000,2.670000,2.720000,2.720000,245700
2017-01-09,2.730000,2.780000,2.600000,2.660000,2.660000,237400
2017-01-10,2.620000,2.720000,2.610000,2.650000,2.650000,79700
2017-01-11,2.670000,2.690000,2.500000,2.640000,2.640000,273200
2017-01-12,2.590000,2.630000,2.520000,2.550000,2.550000,74600
2017-01-13,2.560000,2.610000,2.530000,2.580000,2.580000,67900
2017-01-17,2.590000,2.670000,2.540000,2.560000,2.560000,123200
2017-01-18,2.560000,2.630000,2.360000,2.430000,2.430000,164200
2017-01-19,2.430000,2.500000,2.250000,2.270000,2.270000,135500
2017-01-20,2.270000,2.360000,2.240000,2.250000,2.250000,143000
2017-01-23,2.250000,2.300000,2.190000,2.250000,2.250000,146800
2017-01-24,2.260000,2.360000,2.260000,2.360000,2.360000,91600
2017-01-25,2.400000,2.520000,2.350000,2.420000,2.420000,62100
2017-01-26,2.400000,2.480000,2.320000,2.380000,2.380000,130800
2017-01-27,2.360000,2.440000,2.360000,2.400000,2.400000,56300
2017-01-30,2.390000,2.410000,2.290000,2.350000,2.350000,107200
2017-01-31,2.360000,2.480000,2.340000,2.450000,2.450000,79600
2017-02-01,2.470000,2.540000,2.400000,2.430000,2.430000,54700
2017-02-02,2.380000,2.600000,2.380000,2.570000,2.570000,164000
2017-02-03,2.600000,2.750000,2.530000,2.740000,2.740000,218400
2017-02-06,2.740000,2.850000,2.590000,2.600000,2.600000,137700
2017-02-07,2.560000,2.650000,2.550000,2.560000,2.560000,148000
2017-02-08,2.550000,2.730000,2.500000,2.550000,2.550000,138500
2017-02-09,2.540000,2.740000,2.500000,2.680000,2.680000,126500
2017-02-10,2.710000,2.810000,2.620000,2.780000,2.780000,103300
2017-02-13,2.810000,2.840000,2.680000,2.690000,2.690000,109600
2017-02-14,2.720000,2.780000,2.580000,2.670000,2.670000,124100
2017-02-15,2.630000,2.790000,2.600000,2.760000,2.760000,109900
2017-02-16,2.770000,2.900000,2.720000,2.840000,2.840000,115400
2017-02-17,2.840000,2.950000,2.750000,2.850000,2.850000,299700
2017-02-21,2.890000,2.890000,2.680000,2.750000,2.750000,190200
2017-02-22,2.780000,2.990000,2.700000,2.860000,2.860000,141700
2017-02-23,2.890000,3.000000,2.850000,2.960000,2.960000,127700
2017-02-24,2.880000,3.000000,2.880000,2.940000,2.940000,50600
2017-02-27,2.950000,3.140000,2.910000,3.100000,3.100000,187700
2017-02-28,3.130000,3.140000,3.010000,3.090000,3.090000,133000
2017-03-01,3.180000,3.370000,3.110000,3.290000,3.290000,341800
2017-03-02,3.250000,3.470000,3.200000,3.250000,3.250000,206000
2017-03-03,3.270000,3.390000,3.250000,3.360000,3.360000,113200
2017-03-06,3.300000,3.570000,3.250000,3.370000,3.370000,192000
2017-03-07,3.330000,3.480000,3.300000,3.360000,3.360000,127500
2017-03-08,3.410000,3.540000,3.350000,3.410000,3.410000,126900
2017-03-09,3.380000,3.620000,3.350000,3.490000,3.490000,170700
2017-03-10,3.530000,3.600000,3.450000,3.550000,3.550000,197900
2017-03-13,3.500000,3.610000,3.500000,3.570000,3.570000,86300
2017-03-14,3.550000,3.550000,3.430000,3.490000,3.490000,150900
2017-03-15,3.430000,3.700000,3.420000,3.650000,3.650000,278000
2017-03-16,3.680000,3.710000,3.600000,3.610000,3.610000,92800
2017-03-17,3.570000,4.140000,3.500000,3.910000,3.910000,814200
2017-03-20,3.850000,3.940000,3.670000,3.760000,3.760000,150600
2017-03-21,3.780000,3.780000,3.420000,3.430000,3.430000,166700
2017-03-22,3.680000,3.680000,3.350000,3.460000,3.460000,263800
2017-03-23,3.400000,3.500000,3.400000,3.460000,3.460000,71000
2017-03-24,3.480000,3.620000,3.440000,3.600000,3.600000,93300
2017-03-27,3.520000,3.900000,3.520000,3.840000,3.840000,126500
2017-03-28,3.840000,4.020000,3.820000,3.880000,3.880000,259400
2017-03-29,3.910000,3.980000,3.820000,3.880000,3.880000,84100
2017-03-30,3.850000,3.860000,3.780000,3.820000,3.820000,50300
2017-03-31,3.800000,3.840000,3.650000,3.700000,3.700000,222100
2017-04-03,3.740000,3.740000,3.400000,3.430000,3.430000,280700
2017-04-04,3.420000,3.510000,3.310000,3.370000,3.370000,181200
2017-04-05,3.510000,3.690000,3.360000,3.430000,3.430000,388400
2017-04-06,3.450000,3.460000,3.330000,3.370000,3.370000,185800
2017-04-07,3.340000,3.490000,3.330000,3.350000,3.350000,80700
2017-04-10,3.340000,3.470000,3.340000,3.350000,3.350000,38500
2017-04-11,3.350000,3.450000,3.330000,3.410000,3.410000,35800
2017-04-12,3.410000,3.470000,3.330000,3.370000,3.370000,74200
2017-04-13,3.350000,3.400000,3.200000,3.280000,3.280000,172500
2017-04-17,3.270000,3.340000,3.230000,3.280000,3.280000,170900
2017-04-18,3.220000,3.290000,3.150000,3.220000,3.220000,96100
2017-04-19,3.250000,3.340000,3.180000,3.210000,3.210000,61600
2017-04-20,3.240000,3.320000,3.200000,3.260000,3.260000,75000
2017-04-21,3.270000,3.310000,3.130000,3.150000,3.150000,148900
2017-04-24,3.200000,3.300000,3.130000,3.280000,3.280000,79900
2017-04-25,3.300000,3.600000,3.290000,3.570000,3.570000,256900
2017-04-26,3.550000,3.840000,3.520000,3.780000,3.780000,241000
2017-04-27,3.820000,3.830000,3.700000,3.730000,3.730000,97800
2017-04-28,3.720000,3.730000,3.580000,3.640000,3.640000,71400
2017-05-01,3.690000,3.700000,3.630000,3.660000,3.660000,60300
2017-05-02,3.670000,3.920000,3.630000,3.880000,3.880000,299000
2017-05-03,3.820000,3.880000,3.550000,3.710000,3.710000,147300
2017-05-04,3.650000,3.700000,3.650000,3.660000,3.660000,66500
2017-05-05,3.670000,3.680000,3.540000,3.570000,3.570000,122000
2017-05-08,3.570000,3.630000,3.570000,3.600000,3.600000,112400
2017-05-09,3.580000,3.720000,3.530000,3.560000,3.560000,227400
2017-05-10,3.550000,3.670000,3.550000,3.620000,3.620000,175600
2017-05-11,3.600000,3.820000,3.550000,3.790000,3.790000,229800
2017-05-12,3.810000,4.050000,3.660000,3.950000,3.950000,702000
2017-05-15,3.960000,4.040000,3.800000,3.860000,3.860000,211300
2017-05-16,3.870000,3.940000,3.740000,3.810000,3.810000,185600
2017-05-17,3.800000,4.050000,3.800000,3.960000,3.960000,258100
2017-05-18,3.970000,4.290000,3.950000,4.160000,4.160000,897600
2017-05-19,4.300000,4.420000,4.190000,4.230000,4.230000,378000
2017-05-22,4.310000,4.330000,3.800000,3.840000,3.840000,300900
2017-05-23,3.850000,3.940000,3.790000,3.840000,3.840000,156800
2017-05-24,3.840000,3.920000,3.800000,3.830000,3.830000,73500
2017-05-25,3.850000,3.880000,3.800000,3.840000,3.840000,81500
2017-05-26,3.820000,3.990000,3.800000,3.950000,3.950000,76900
2017-05-30,3.950000,3.970000,3.870000,3.880000,3.880000,128400
2017-05-31,3.890000,3.970000,3.590000,3.610000,3.610000,312700
2017-06-01,3.610000,3.890000,3.610000,3.830000,3.830000,101900
2017-06-02,3.800000,4.050000,3.710000,4.020000,4.020000,164800
2017-06-05,4.020000,4.180000,4.020000,4.080000,4.080000,263000
2017-06-06,4.050000,4.200000,4.050000,4.190000,4.190000,190800
2017-06-07,4.200000,4.500000,4.200000,4.370000,4.370000,378400
2017-06-08,4.400000,4.650000,4.370000,4.450000,4.450000,415500
2017-06-09,4.450000,4.680000,4.380000,4.430000,4.430000,267600
2017-06-12,4.440000,4.780000,4.410000,4.470000,4.470000,218200
2017-06-13,4.480000,4.480000,4.150000,4.320000,4.320000,220300
2017-06-14,4.320000,4.650000,4.230000,4.420000,4.420000,146700
2017-06-15,4.440000,4.450000,4.160000,4.340000,4.340000,276300
2017-06-16,4.260000,4.450000,4.170000,4.430000,4.430000,407800
2017-06-19,4.500000,4.750000,4.360000,4.620000,4.620000,365100
2017-06-20,4.630000,4.870000,4.350000,4.840000,4.840000,281500
2017-06-21,4.860000,5.040000,4.710000,4.790000,4.790000,273800
2017-06-22,4.790000,4.980000,4.690000,4.820000,4.820000,251800
2017-06-23,4.800000,4.920000,4.720000,4.870000,4.870000,420000
2017-06-26,4.890000,5.030000,4.710000,4.980000,4.980000,319400
2017-06-27,5.050000,5.050000,4.670000,4.810000,4.810000,479200
2017-06-28,4.860000,4.980000,4.800000,4.900000,4.900000,296000
2017-06-29,4.910000,4.980000,4.690000,4.980000,4.980000,317500
2017-06-30,4.980000,4.980000,4.750000,4.750000,4.750000,187300
2017-07-03,4.770000,4.780000,4.440000,4.700000,4.700000,139900
2017-07-05,4.640000,4.650000,4.490000,4.610000,4.610000,188500
2017-07-06,4.630000,4.720000,4.520000,4.610000,4.610000,182500
2017-07-07,4.610000,4.750000,4.540000,4.710000,4.710000,199500
2017-07-10,4.690000,4.690000,4.510000,4.530000,4.530000,113500
2017-07-11,4.720000,4.780000,4.530000,4.540000,4.540000,194700
2017-07-12,4.580000,4.740000,4.510000,4.700000,4.700000,148300
2017-07-13,4.660000,4.660000,4.350000,4.470000,4.470000,242500
2017-07-14,4.440000,4.620000,4.410000,4.550000,4.550000,73100
2017-07-17,4.570000,4.790000,4.520000,4.660000,4.660000,153200
2017-07-18,4.640000,4.770000,4.550000,4.600000,4.600000,192700
2017-07-19,4.620000,4.840000,4.620000,4.750000,4.750000,131300
2017-07-20,4.800000,4.930000,4.660000,4.670000,4.670000,196300
2017-07-21,4.800000,5.070000,4.760000,4.870000,4.870000,633300
2017-07-24,4.840000,4.930000,4.790000,4.800000,4.800000,117200
2017-07-25,4.830000,4.850000,4.540000,4.640000,4.640000,174700
2017-07-26,4.620000,4.710000,4.520000,4.650000,4.650000,154900
2017-07-27,4.700000,4.780000,4.450000,4.480000,4.480000,129700
2017-07-28,4.420000,4.530000,4.410000,4.470000,4.470000,66800
2017-07-31,4.450000,4.560000,4.390000,4.440000,4.440000,111800
2017-08-01,4.460000,4.460000,4.150000,4.300000,4.300000,226300
2017-08-02,4.220000,4.330000,4.080000,4.190000,4.190000,151800
2017-08-03,4.210000,4.320000,4.050000,4.140000,4.140000,95500
2017-08-04,4.140000,4.220000,4.030000,4.140000,4.140000,171600
2017-08-07,4.190000,4.320000,4.180000,4.220000,4.220000,57700
2017-08-08,4.220000,4.320000,4.120000,4.200000,4.200000,52600
2017-08-09,4.130000,4.270000,4.050000,4.050000,4.050000,55600
2017-08-10,3.950000,4.080000,3.800000,3.830000,3.830000,134000
2017-08-11,3.780000,3.900000,3.780000,3.860000,3.860000,83100
2017-08-14,3.900000,4.030000,3.790000,3.930000,3.930000,100000
2017-08-15,3.960000,4.480000,3.850000,4.390000,4.390000,212000
2017-08-16,4.330000,4.600000,4.250000,4.370000,4.370000,120700
2017-08-17,4.320000,4.540000,4.250000,4.290000,4.290000,119200
2017-08-18,4.240000,4.300000,4.240000,4.250000,4.250000,114400
2017-08-21,4.250000,4.530000,4.240000,4.450000,4.450000,119600
2017-08-22,4.390000,4.510000,4.200000,4.290000,4.290000,277900
2017-08-23,4.270000,4.420000,4.230000,4.370000,4.370000,114200
2017-08-24,4.420000,4.460000,4.350000,4.400000,4.400000,128100
2017-08-25,4.440000,4.480000,4.250000,4.400000,4.400000,178400
2017-08-28,4.420000,4.770000,4.330000,4.710000,4.710000,255200
2017-08-29,4.700000,4.750000,4.510000,4.580000,4.580000,204700
2017-08-30,4.600000,5.130000,4.480000,4.850000,4.850000,750400
2017-08-31,4.900000,4.920000,4.600000,4.750000,4.750000,233600
2017-09-01,4.780000,4.960000,4.700000,4.810000,4.810000,120100
2017-09-05,4.830000,4.900000,4.650000,4.730000,4.730000,113000
2017-09-06,4.780000,4.900000,4.730000,4.890000,4.890000,93800
2017-09-07,4.920000,4.950000,4.650000,4.690000,4.690000,186700
2017-09-08,4.700000,4.870000,4.520000,4.850000,4.850000,203000
2017-09-11,4.820000,4.900000,4.680000,4.810000,4.810000,81500
2017-09-12,4.830000,4.920000,4.720000,4.860000,4.860000,95600
2017-09-13,4.850000,4.880000,4.630000,4.630000,4.630000,237400
2017-09-14,4.630000,4.740000,4.560000,4.630000,4.630000,165200
2017-09-15,4.640000,4.720000,4.390000,4.480000,4.480000,368300
2017-09-18,4.500000,4.650000,4.450000,4.460000,4.460000,146300
2017-09-19,4.500000,4.630000,4.330000,4.450000,4.450000,128800
2017-09-20,4.410000,4.560000,4.300000,4.510000,4.510000,147900
2017-09-21,4.470000,4.570000,4.350000,4.520000,4.520000,118600
2017-09-22,4.550000,4.670000,4.320000,4.400000,4.400000,171000
2017-09-25,4.410000,4.460000,4.250000,4.370000,4.370000,171900
2017-09-26,4.350000,4.420000,4.300000,4.320000,4.320000,42400
2017-09-27,4.360000,4.550000,4.290000,4.470000,4.470000,207200
2017-09-28,4.460000,4.500000,4.310000,4.420000,4.420000,108000
2017-09-29,4.490000,4.490000,4.330000,4.420000,4.420000,93300
2017-10-02,4.460000,4.660000,4.460000,4.650000,4.650000,103200
2017-10-03,4.650000,4.690000,4.530000,4.590000,4.590000,64900
2017-10-04,4.610000,4.670000,4.440000,4.570000,4.570000,132000
2017-10-05,4.610000,4.780000,4.540000,4.700000,4.700000,208700
2017-10-06,4.650000,4.750000,4.600000,4.720000,4.720000,58000
2017-10-09,4.700000,4.750000,4.610000,4.720000,4.720000,64700
2017-10-10,4.750000,4.860000,4.660000,4.840000,4.840000,183000
2017-10-11,4.900000,4.910000,4.780000,4.800000,4.800000,204500
2017-10-12,4.800000,4.880000,4.500000,4.660000,4.660000,210800
2017-10-13,4.690000,4.690000,4.470000,4.530000,4.530000,97000
2017-10-16,4.500000,4.550000,4.370000,4.420000,4.420000,120400
2017-10-17,4.400000,4.440000,4.330000,4.430000,4.430000,89000
2017-10-18,4.430000,4.500000,4.370000,4.410000,4.410000,69700
2017-10-19,4.430000,4.430000,4.250000,4.290000,4.290000,169700
2017-10-20,4.360000,4.360000,3.950000,3.980000,3.980000,268900
2017-10-23,3.950000,4.040000,3.850000,3.940000,3.940000,110000
2017-10-24,3.950000,4.010000,3.870000,3.880000,3.880000,78500
2017-10-25,3.880000,3.900000,3.590000,3.620000,3.620000,139700
2017-10-26,3.610000,3.730000,3.500000,3.620000,3.620000,122500
2017-10-27,3.630000,3.830000,3.620000,3.800000,3.800000,73900
2017-10-30,3.700000,3.840000,3.680000,3.770000,3.770000,76800
