Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,7.670000,7.850000,7.500000,7.800000,7.616232,4300
2017-01-04,7.800000,7.800000,7.800000,7.800000,7.616232,200
2017-01-05,7.800000,7.800000,7.800000,7.800000,7.616232,0
2017-01-06,7.520000,7.700000,7.500000,7.680000,7.499059,8000
2017-01-09,7.700000,7.700000,7.700000,7.700000,7.518587,300
2017-01-10,7.700000,7.700000,7.700000,7.700000,7.518587,0
2017-01-11,7.750000,7.750000,7.750000,7.750000,7.567410,500
2017-01-12,7.850000,7.850000,7.850000,7.850000,7.665054,200
2017-01-13,7.950000,7.950000,7.950000,7.950000,7.762698,400
2017-01-17,7.950000,7.950000,7.950000,7.950000,7.762698,0
2017-01-18,7.850000,7.850000,7.850000,7.850000,7.665054,800
2017-01-19,7.850000,7.850000,7.850000,7.850000,7.665054,0
2017-01-20,7.800000,7.950000,7.710000,7.950000,7.762698,4400
2017-01-23,8.000000,8.050000,7.940000,7.940000,7.752934,3700
2017-01-24,8.000000,8.000000,7.950000,8.000000,7.811520,1300
2017-01-25,8.000000,8.000000,8.000000,8.000000,7.811520,0
2017-01-26,8.000000,8.000000,8.000000,8.000000,7.811520,0
2017-01-27,8.100000,8.190000,8.060000,8.190000,7.997043,800
2017-01-30,8.200000,8.200000,8.200000,8.200000,8.006808,200
2017-01-31,8.200000,8.200000,8.200000,8.200000,8.006808,500
2017-02-01,8.100000,8.100000,8.030000,8.030000,7.879248,3000
2017-02-02,8.100000,8.150000,8.100000,8.150000,7.996995,1900
2017-02-03,8.150000,8.150000,8.100000,8.100000,7.947935,600
2017-02-06,8.150000,8.250000,8.110000,8.150000,7.996995,4500
2017-02-07,8.150000,8.150000,7.700000,7.990000,7.839999,6000
2017-02-08,7.960000,8.050000,7.960000,8.000000,7.849812,2100
2017-02-09,8.000000,8.000000,8.000000,8.000000,7.849812,0
2017-02-10,8.100000,8.250000,7.750000,7.750000,7.604505,5300
2017-02-13,7.850000,7.900000,7.850000,7.900000,7.751689,5600
2017-02-14,7.900000,7.950000,7.900000,7.950000,7.800750,900
2017-02-15,7.950000,7.950000,7.950000,7.950000,7.800750,0
2017-02-16,7.950000,7.950000,7.950000,7.950000,7.800750,0
2017-02-17,8.100000,8.100000,8.100000,8.100000,7.947935,100
2017-02-21,8.040000,8.040000,8.000000,8.000000,7.849812,300
2017-02-22,7.970000,7.970000,7.900000,7.900000,7.751689,900
2017-02-23,7.900000,8.500000,7.900000,8.500000,8.340425,20000
2017-02-24,8.500000,8.500000,8.400000,8.400000,8.242302,1000
2017-02-27,8.300000,8.550000,8.300000,8.400000,8.242302,13400
2017-02-28,8.400000,8.400000,8.050000,8.050000,7.898872,1000
2017-03-01,8.050000,8.050000,8.050000,8.050000,7.898872,0
2017-03-02,8.060000,8.090000,7.950000,8.050000,7.898872,2600
2017-03-03,8.000000,8.000000,8.000000,8.000000,7.849812,700
2017-03-06,7.910000,7.910000,7.900000,7.900000,7.751689,1200
2017-03-07,7.900000,7.940000,7.900000,7.940000,7.790938,500
2017-03-08,7.940000,7.940000,7.940000,7.940000,7.790938,0
2017-03-09,7.940000,7.940000,7.940000,7.940000,7.790938,0
2017-03-10,7.940000,7.940000,7.940000,7.940000,7.790938,100
2017-03-13,7.920000,7.920000,7.900000,7.900000,7.751689,200
2017-03-14,7.920000,7.920000,7.920000,7.920000,7.771314,100
2017-03-15,7.940000,7.960000,7.940000,7.950000,7.800750,2700
2017-03-16,7.950000,8.000000,7.950000,8.000000,7.849812,5500
2017-03-17,7.940000,7.950000,7.940000,7.950000,7.800750,500
2017-03-20,8.000000,8.000000,8.000000,8.000000,7.849812,2000
2017-03-21,8.000000,8.000000,8.000000,8.000000,7.849812,0
2017-03-22,7.940000,7.940000,7.940000,7.940000,7.790938,100
2017-03-23,7.900000,7.900000,7.900000,7.900000,7.751689,1000
2017-03-24,7.950000,8.000000,7.950000,8.000000,7.849812,1200
2017-03-27,8.000000,8.000000,8.000000,8.000000,7.849812,0
2017-03-28,7.850000,7.850000,7.800000,7.800000,7.653567,1500
2017-03-29,7.700000,7.800000,7.700000,7.800000,7.653567,3800
2017-03-30,7.800000,7.800000,7.800000,7.800000,7.653567,0
2017-03-31,7.800000,7.800000,7.800000,7.800000,7.653567,0
2017-04-03,7.800000,7.800000,7.800000,7.800000,7.653567,0
2017-04-04,7.880000,7.900000,7.600000,7.600000,7.457321,17500
2017-04-05,7.600000,7.600000,7.600000,7.600000,7.457321,0
2017-04-06,7.750000,7.890000,7.750000,7.890000,7.741876,300
2017-04-07,7.650000,7.650000,7.610000,7.610000,7.467134,500
2017-04-10,7.650000,7.950000,7.600000,7.850000,7.702627,2200
2017-04-11,7.800000,7.800000,7.800000,7.800000,7.653567,300
2017-04-12,7.950000,7.950000,7.950000,7.950000,7.800750,200
2017-04-13,7.950000,7.950000,7.950000,7.950000,7.800750,0
2017-04-17,7.830000,7.830000,7.800000,7.800000,7.653567,300
2017-04-18,7.800000,7.800000,7.800000,7.800000,7.653567,0
2017-04-19,7.950000,7.950000,7.950000,7.950000,7.800750,500
2017-04-20,7.910000,7.970000,7.910000,7.970000,7.820374,2100
2017-04-21,7.900000,8.000000,7.900000,7.900000,7.751689,12300
2017-04-24,7.990000,7.990000,7.990000,7.990000,7.839999,1100
2017-04-25,7.900000,7.900000,7.900000,7.900000,7.751689,500
2017-04-26,7.900000,8.000000,7.900000,8.000000,7.899810,400
2017-04-27,8.000000,8.000000,8.000000,8.000000,7.899810,0
2017-04-28,8.010000,8.050000,7.950000,8.050000,7.949184,900
2017-05-01,8.050000,8.050000,8.050000,8.050000,7.949184,0
2017-05-02,8.050000,8.050000,8.050000,8.050000,7.949184,0
2017-05-03,8.050000,8.050000,8.050000,8.050000,7.949184,0
2017-05-04,8.050000,8.050000,8.050000,8.050000,7.949184,100
2017-05-05,8.050000,8.050000,8.050000,8.050000,7.949184,100
2017-05-08,7.850000,7.850000,7.850000,7.850000,7.751689,500
2017-05-09,8.000000,8.000000,8.000000,8.000000,7.899810,200
2017-05-10,7.890000,7.890000,7.850000,7.850000,7.751689,300
2017-05-11,7.850000,7.850000,7.850000,7.850000,7.751689,0
2017-05-12,7.850000,7.850000,7.850000,7.850000,7.751689,0
2017-05-15,7.850000,7.850000,7.850000,7.850000,7.751689,0
2017-05-16,7.850000,7.850000,7.850000,7.850000,7.751689,0
2017-05-17,7.890000,7.890000,7.850000,7.850000,7.751689,1200
2017-05-18,7.800000,7.950000,7.800000,7.950000,7.850436,1700
2017-05-19,7.800000,7.800000,7.750000,7.770000,7.672691,4100
2017-05-22,7.830000,7.850000,7.830000,7.850000,7.751689,600
2017-05-23,7.750000,7.850000,7.750000,7.850000,7.751689,1200
2017-05-24,7.880000,7.900000,7.880000,7.900000,7.801063,400
2017-05-25,7.900000,7.900000,7.900000,7.900000,7.801063,0
2017-05-26,7.880000,8.010000,7.880000,8.010000,7.909685,2800
2017-05-30,8.010000,8.010000,8.010000,8.010000,7.909685,0
2017-05-31,8.010000,8.010000,8.010000,8.010000,7.909685,0
2017-06-01,7.960000,8.000000,7.960000,8.000000,7.899810,1500
2017-06-02,8.030000,8.030000,8.000000,8.000000,7.899810,1400
2017-06-05,7.960000,8.000000,7.960000,8.000000,7.899810,2100
2017-06-06,8.000000,8.000000,7.930000,8.000000,7.899810,2200
