Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,34.419998,34.419998,32.740002,33.250000,32.932293,11300
2017-01-04,33.340000,33.990002,33.000000,33.720001,33.397804,9000
2017-01-05,33.840000,33.990002,32.680000,32.860001,32.546021,12000
2017-01-06,32.990002,33.230000,32.509998,32.990002,32.674778,12400
2017-01-09,32.849998,33.650002,32.400002,32.709999,32.397453,10600
2017-01-10,32.910000,32.959999,32.000000,32.689999,32.377644,16700
2017-01-11,32.830002,33.360001,32.480000,32.950001,32.635159,22100
2017-01-12,32.500000,33.000000,31.600000,32.340000,32.030987,4500
2017-01-13,32.810001,32.810001,31.250000,32.240002,31.931946,15400
2017-01-17,32.119999,32.119999,31.070000,31.309999,31.010830,10200
2017-01-18,31.100000,31.480000,30.940001,31.209999,30.911785,13400
2017-01-19,31.299999,31.440001,30.459999,30.709999,30.416561,11500
2017-01-20,30.580000,31.250000,30.389999,31.120001,30.822645,12100
2017-01-23,31.120001,31.230000,30.600000,31.010000,30.713697,9700
2017-01-24,31.020000,31.240000,30.280001,31.070000,30.773123,17700
2017-01-25,31.059999,31.450001,28.370001,31.430000,31.129683,9500
2017-01-26,31.430000,31.790001,29.180000,31.790001,31.486244,14300
2017-01-27,31.540001,32.599998,31.320000,31.430000,31.129683,8300
2017-01-30,31.430000,31.770000,31.219999,31.280001,30.981117,11400
2017-01-31,31.290001,31.860001,31.290001,31.510000,31.208920,17500
2017-02-01,31.549999,31.900000,31.400000,31.400000,31.099970,18200
2017-02-02,31.590000,31.590000,31.120001,31.200001,30.901882,11500
2017-02-03,31.889999,32.419998,31.549999,32.250000,31.941849,13300
2017-02-06,32.040001,32.849998,32.040001,32.509998,32.199364,8800
2017-02-07,32.330002,32.860001,32.259998,32.459999,32.149841,10900
2017-02-08,32.500000,32.990002,31.750000,31.980000,31.674427,17500
2017-02-09,32.110001,32.549999,32.090000,32.240002,31.931946,15000
2017-02-10,31.860001,32.849998,31.809999,32.380001,32.070606,7500
2017-02-13,32.689999,32.990002,32.049999,32.980000,32.664871,5300
2017-02-14,32.990002,33.000000,31.820000,32.919998,32.605446,10600
2017-02-15,32.820000,33.310001,32.439999,33.049999,32.734203,32900
2017-02-16,32.529999,33.240002,32.529999,32.770000,32.456879,11900
2017-02-17,32.840000,33.240002,32.330002,33.130001,32.813442,12200
2017-02-21,33.060001,33.389999,32.970001,33.200001,32.882771,3700
2017-02-22,32.119999,33.340000,32.119999,33.169998,32.853054,5100
2017-02-23,32.740002,33.990002,32.740002,33.209999,32.892673,11600
2017-02-24,32.980000,33.560001,32.980000,33.459999,33.140285,8500
2017-02-27,33.459999,33.490002,33.000000,33.160000,32.843151,8500
2017-02-28,32.990002,33.430000,32.980000,33.080002,32.763920,16900
2017-03-01,33.509998,33.860001,32.889999,32.990002,32.674778,17600
2017-03-02,33.080002,33.700001,33.080002,33.500000,33.179905,15300
2017-03-03,33.700001,33.959999,33.290001,33.779999,33.457226,24900
2017-03-06,33.650002,33.900002,33.490002,33.740002,33.417614,13900
2017-03-07,33.880001,33.900002,33.619999,33.810001,33.486942,8700
2017-03-08,33.889999,33.900002,33.459999,33.790001,33.467133,13900
2017-03-09,33.900002,33.900002,33.700001,33.860001,33.536465,10500
2017-03-10,33.900002,33.900002,33.680000,33.680000,33.358185,8600
2017-03-13,33.709999,33.860001,33.689999,33.720001,33.397804,4200
2017-03-14,32.820000,33.669998,32.799999,32.840000,32.526211,11200
2017-03-15,33.139999,33.230000,32.770000,32.840000,32.526211,9600
2017-03-16,32.930000,33.080002,32.810001,32.930000,32.615353,12600
2017-03-17,32.840000,33.180000,32.770000,32.849998,32.536114,35300
2017-03-20,33.200001,33.200001,32.849998,32.849998,32.536114,8900
2017-03-21,33.099998,33.099998,32.020000,32.049999,31.743759,13500
2017-03-22,32.220001,32.380001,31.120001,31.450001,31.149492,5900
2017-03-23,31.490000,31.760000,31.230000,31.559999,31.258440,16600
2017-03-24,32.439999,32.500000,31.790001,31.920000,31.615002,9600
2017-03-27,31.670000,32.150002,31.129999,32.000000,31.694237,11600
2017-03-28,31.770000,33.189999,31.750000,32.689999,32.377644,15500
2017-03-29,32.740002,33.500000,32.740002,33.419998,33.100666,43900
2017-03-30,33.340000,34.150002,33.340000,34.000000,33.675125,64800
2017-03-31,34.000000,34.099998,33.529999,33.840000,33.516655,64100
2017-04-03,34.020000,34.250000,33.590000,33.740002,33.417614,13700
2017-04-04,32.560001,33.759998,32.560001,33.689999,33.368088,8700
2017-04-05,33.700001,34.240002,33.290001,33.439999,33.120476,22700
2017-04-06,32.150002,33.799999,32.150002,32.849998,32.536114,6800
2017-04-07,32.900002,32.900002,32.259998,32.330002,32.021084,12000
2017-04-10,32.529999,32.529999,32.230000,32.259998,31.951752,9200
2017-04-11,32.340000,33.230000,31.730000,32.950001,32.635159,5200
2017-04-12,32.610001,33.209999,32.369999,32.410000,32.100319,7800
