Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,8.400000,8.400000,7.350000,7.450000,7.450000,1749700
2017-01-04,7.400000,7.500000,6.850000,7.200000,7.200000,803400
2017-01-05,7.100000,7.200000,6.800000,6.850000,6.850000,403000
2017-01-06,6.950000,7.100000,6.750000,6.800000,6.800000,435300
2017-01-09,6.750000,6.900000,6.550000,6.700000,6.700000,365300
2017-01-10,6.650000,6.750000,6.400000,6.550000,6.550000,408000
2017-01-11,6.500000,6.550000,6.200000,6.250000,6.250000,689800
2017-01-12,6.200000,6.200000,5.850000,6.050000,6.050000,503500
2017-01-13,6.100000,6.400000,6.000000,6.150000,6.150000,273400
2017-01-17,6.150000,6.150000,5.950000,5.950000,5.950000,424800
2017-01-18,6.000000,6.050000,5.650000,5.750000,5.750000,581064
2017-01-19,6.000000,6.500000,5.750000,6.100000,6.100000,645700
2017-01-20,6.100000,6.150000,5.900000,6.100000,6.100000,353100
2017-01-23,6.050000,6.140000,5.800000,5.850000,5.850000,338900
2017-01-24,5.950000,6.150000,5.600000,6.100000,6.100000,349300
2017-01-25,6.150000,6.250000,6.000000,6.250000,6.250000,341900
2017-01-26,6.350000,6.500000,5.950000,6.050000,6.050000,361700
2017-01-27,6.000000,6.350000,5.900000,6.300000,6.300000,271500
2017-01-30,6.250000,6.250000,5.900000,5.950000,5.950000,315600
2017-01-31,5.700000,5.700000,3.600000,4.000000,4.000000,3550700
2017-02-01,4.050000,4.250000,3.800000,3.850000,3.850000,1591500
2017-02-02,3.850000,3.900000,3.300000,3.700000,3.700000,943900
2017-02-03,3.850000,4.050000,3.750000,3.800000,3.800000,719000
2017-02-06,4.150000,4.450000,3.900000,4.000000,4.000000,1592900
2017-02-07,4.000000,4.050000,3.700000,3.700000,3.700000,784300
2017-02-08,3.700000,3.750000,3.450000,3.550000,3.550000,827900
2017-02-09,3.550000,4.100000,3.450000,4.050000,4.050000,1074100
2017-02-10,4.050000,4.350000,3.950000,4.000000,4.000000,581400
2017-02-13,4.100000,4.150000,3.800000,3.900000,3.900000,331200
2017-02-14,3.900000,4.500000,3.800000,4.500000,4.500000,954800
2017-02-15,4.450000,5.100000,4.400000,5.050000,5.050000,878483
2017-02-16,5.150000,5.190000,4.900000,5.000000,5.000000,457400
2017-02-17,5.000000,5.000000,4.700000,4.750000,4.750000,339600
2017-02-21,4.750000,4.850000,4.700000,4.750000,4.750000,319000
2017-02-22,4.700000,4.750000,4.500000,4.700000,4.700000,231600
2017-02-23,4.650000,4.700000,4.550000,4.700000,4.700000,319800
2017-02-24,4.600000,4.950000,4.550000,4.750000,4.750000,265400
2017-02-27,4.700000,4.900000,4.600000,4.800000,4.800000,188300
2017-02-28,4.700000,4.750000,4.450000,4.450000,4.450000,317400
2017-03-01,4.650000,4.800000,4.550000,4.750000,4.750000,398600
2017-03-02,4.800000,4.800000,4.450000,4.500000,4.500000,385500
2017-03-03,4.550000,4.600000,4.200000,4.350000,4.350000,410200
2017-03-06,4.350000,4.720000,4.250000,4.650000,4.650000,315400
2017-03-07,4.650000,4.700000,4.350000,4.450000,4.450000,199200
2017-03-08,4.550000,4.600000,4.350000,4.450000,4.450000,319500
2017-03-09,4.450000,4.800000,4.450000,4.750000,4.750000,381000
2017-03-10,4.800000,4.850000,4.550000,4.750000,4.750000,250700
2017-03-13,4.800000,4.800000,4.420000,4.550000,4.550000,233700
2017-03-14,4.450000,4.500000,4.150000,4.350000,4.350000,340500
2017-03-15,4.400000,4.400000,4.100000,4.100000,4.100000,396900
2017-03-16,4.200000,4.250000,4.050000,4.050000,4.050000,183000
2017-03-17,4.050000,4.200000,3.850000,4.200000,4.200000,770100
2017-03-20,4.200000,4.200000,3.950000,4.000000,4.000000,277800
2017-03-21,4.000000,4.000000,3.600000,3.750000,3.750000,678500
2017-03-22,3.750000,3.750000,3.650000,3.750000,3.750000,262800
2017-03-23,3.700000,4.000000,3.600000,3.950000,3.950000,203200
2017-03-24,3.900000,4.230000,3.780000,3.900000,3.900000,413900
2017-03-27,3.750000,3.950000,3.750000,3.850000,3.850000,319300
2017-03-28,3.800000,3.930000,3.600000,3.650000,3.650000,300700
2017-03-29,3.600000,3.980000,3.600000,3.950000,3.950000,277400
