Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,8.500000,8.550000,7.900000,8.200000,8.200000,311000
2017-01-04,8.150000,8.250000,7.600000,7.800000,7.800000,583400
2017-01-05,7.700000,7.800000,7.550000,7.700000,7.700000,266500
2017-01-06,7.650000,7.950000,7.650000,7.850000,7.850000,263800
2017-01-09,7.850000,8.050000,7.700000,8.000000,8.000000,728300
2017-01-10,7.950000,8.100000,7.780000,7.900000,7.900000,280100
2017-01-11,7.950000,8.030000,7.800000,8.000000,8.000000,299400
2017-01-12,8.000000,8.050000,7.750000,7.850000,7.850000,137100
2017-01-13,7.900000,8.070000,7.850000,8.000000,8.000000,142400
2017-01-17,7.950000,7.950000,7.600000,7.700000,7.700000,196400
2017-01-18,7.800000,7.850000,7.600000,7.700000,7.700000,168300
2017-01-19,7.750000,7.800000,7.500000,7.700000,7.700000,196200
2017-01-20,7.650000,7.800000,7.600000,7.750000,7.750000,154100
2017-01-23,7.750000,7.900000,7.600000,7.700000,7.700000,83300
2017-01-24,7.650000,7.750000,7.400000,7.700000,7.700000,139300
2017-01-25,7.750000,7.840000,7.450000,7.550000,7.550000,225400
2017-01-26,7.500000,7.600000,7.450000,7.500000,7.500000,150700
2017-01-27,7.450000,7.600000,7.450000,7.500000,7.500000,144800
2017-01-30,7.500000,7.650000,7.400000,7.600000,7.600000,292300
2017-01-31,7.550000,7.600000,7.450000,7.550000,7.550000,178000
2017-02-01,7.600000,7.660000,7.400000,7.550000,7.550000,190500
2017-02-02,7.550000,7.700000,7.450000,7.700000,7.700000,139400
2017-02-03,7.750000,7.800000,7.560000,7.750000,7.750000,142900
2017-02-06,7.750000,7.780000,7.460000,7.550000,7.550000,122400
2017-02-07,7.600000,7.690000,7.450000,7.550000,7.550000,121000
2017-02-08,7.500000,7.600000,7.400000,7.500000,7.500000,135300
2017-02-09,7.500000,7.800000,7.500000,7.700000,7.700000,104300
2017-02-10,7.800000,7.850000,7.550000,7.850000,7.850000,132000
2017-02-13,7.800000,8.070000,7.750000,8.000000,8.000000,185600
2017-02-14,8.050000,8.050000,7.950000,8.050000,8.050000,95200
2017-02-15,8.000000,8.100000,7.950000,8.100000,8.100000,107800
2017-02-16,8.100000,8.100000,7.800000,7.900000,7.900000,150400
2017-02-17,7.950000,8.000000,7.900000,7.950000,7.950000,89500
2017-02-21,8.000000,8.000000,7.700000,7.850000,7.850000,88400
2017-02-22,7.850000,8.000000,7.700000,7.950000,7.950000,67100
2017-02-23,7.950000,7.950000,7.800000,7.950000,7.950000,67700
2017-02-24,7.900000,8.000000,7.800000,7.950000,7.950000,81000
2017-02-27,7.950000,8.000000,7.800000,7.900000,7.900000,68600
2017-02-28,7.900000,8.000000,7.800000,8.000000,8.000000,214200
2017-03-01,8.050000,8.400000,8.000000,8.300000,8.300000,250100
2017-03-02,8.350000,8.500000,8.100000,8.150000,8.150000,137400
2017-03-03,8.150000,8.390000,7.900000,8.100000,8.100000,128300
2017-03-06,8.050000,8.250000,7.980000,8.200000,8.200000,145600
