Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,16.150000,16.150000,15.700000,15.950000,15.950000,10600
2017-01-04,15.810000,16.320000,14.310000,15.300000,15.300000,14000
2017-01-05,14.850000,15.800000,14.800000,15.000000,15.000000,9000
2017-01-06,15.200000,15.200000,14.400000,14.700000,14.700000,11700
2017-01-09,14.700000,14.700000,14.000000,14.150000,14.150000,10000
2017-01-10,14.150000,14.450000,14.150000,14.200000,14.200000,3100
2017-01-11,14.300000,14.300000,13.800000,14.150000,14.150000,15300
2017-01-12,14.040000,14.390000,13.850000,14.150000,14.150000,1500
2017-01-13,14.150000,14.250000,14.150000,14.250000,14.250000,800
2017-01-17,14.000000,14.250000,13.800000,14.150000,14.150000,13100
2017-01-18,14.250000,14.790000,14.250000,14.550000,14.550000,3600
2017-01-19,14.100000,14.990000,14.100000,14.400000,14.400000,2400
2017-01-20,14.450000,14.500000,14.070000,14.400000,14.400000,1900
2017-01-23,14.250000,14.250000,14.150000,14.150000,14.150000,2800
2017-01-24,14.160000,14.500000,14.160000,14.500000,14.500000,2200
2017-01-25,14.350000,14.450000,14.350000,14.400000,14.400000,1500
2017-01-26,14.600000,14.850000,14.600000,14.850000,14.850000,2800
2017-01-27,14.900000,14.900000,14.150000,14.450000,14.450000,3100
2017-01-30,14.550000,14.600000,14.190000,14.280000,14.280000,4000
2017-01-31,14.300000,14.300000,14.150000,14.300000,14.300000,7800
2017-02-01,14.300000,14.450000,14.300000,14.450000,14.450000,2100
2017-02-02,14.550000,14.700000,14.320000,14.550000,14.550000,5900
2017-02-03,14.450000,14.950000,14.450000,14.900000,14.900000,1500
2017-02-06,14.960000,15.000000,14.660000,14.800000,14.800000,5500
2017-02-07,15.000000,15.100000,14.860000,14.950000,14.950000,6900
2017-02-08,14.800000,15.000000,14.800000,14.950000,14.950000,2700
2017-02-09,15.150000,15.350000,15.150000,15.350000,15.350000,1500
2017-02-10,15.350000,15.420000,15.350000,15.420000,15.420000,1400
2017-02-13,15.400000,15.400000,14.980000,15.250000,15.250000,1200
2017-02-14,15.300000,15.620000,15.000000,15.350000,15.350000,18800
2017-02-15,15.680000,15.680000,15.450000,15.450000,15.450000,1000
2017-02-16,15.410000,15.710000,15.410000,15.550000,15.550000,1900
2017-02-17,15.750000,15.750000,15.500000,15.550000,15.550000,1500
2017-02-21,15.750000,15.750000,15.100000,15.500000,15.500000,5400
2017-02-22,15.100000,15.300000,14.400000,14.800000,14.800000,13600
2017-02-23,14.900000,14.970000,14.510000,14.700000,14.700000,8300
2017-02-24,14.650000,14.700000,14.500000,14.600000,14.600000,4700
2017-02-27,14.700000,14.950000,14.410000,14.750000,14.750000,2700
2017-02-28,14.550000,14.700000,14.550000,14.650000,14.650000,2700
2017-03-01,14.850000,15.040000,14.650000,14.850000,14.850000,5800
2017-03-02,14.800000,15.100000,14.650000,14.650000,14.650000,3200
2017-03-03,14.650000,14.650000,14.400000,14.510000,14.510000,6700
2017-03-06,14.600000,14.600000,13.960000,14.200000,14.200000,13500
2017-03-07,14.200000,14.550000,13.230000,13.500000,13.500000,18000
2017-03-08,13.650000,13.650000,13.100000,13.300000,13.300000,12700
2017-03-09,13.400000,13.400000,13.000000,13.150000,13.150000,12800
2017-03-10,13.100000,13.700000,13.000000,13.250000,13.250000,6800
2017-03-13,13.100000,13.150000,13.050000,13.150000,13.150000,5200
2017-03-14,13.050000,13.250000,13.050000,13.250000,13.250000,4500
2017-03-15,13.200000,13.450000,13.200000,13.250000,13.250000,5200
2017-03-16,13.350000,13.400000,13.050000,13.400000,13.400000,7200
2017-03-17,13.050000,13.400000,13.050000,13.400000,13.400000,4000
2017-03-20,13.150000,13.250000,13.080000,13.200000,13.200000,11200
2017-03-21,13.100000,13.150000,13.060000,13.150000,13.150000,1300
2017-03-22,13.050000,13.150000,13.000000,13.150000,13.150000,13400
2017-03-23,13.200000,13.750000,13.200000,13.750000,13.750000,9400
2017-03-24,13.750000,13.800000,13.690000,13.750000,13.750000,4100
2017-03-27,13.650000,14.300000,13.650000,14.300000,14.300000,7500
2017-03-28,14.260000,14.260000,14.100000,14.100000,14.100000,2400
2017-03-29,14.200000,14.400000,14.000000,14.060000,14.060000,5600
2017-03-30,14.100000,14.700000,14.100000,14.650000,14.650000,9000
2017-03-31,14.550000,14.600000,14.350000,14.500000,14.500000,6600
2017-04-03,14.450000,14.700000,14.200000,14.350000,14.350000,14600
2017-04-04,14.450000,14.500000,14.400000,14.400000,14.400000,4200
2017-04-05,14.500000,14.500000,14.000000,14.000000,14.000000,8300
2017-04-06,14.000000,14.300000,14.000000,14.300000,14.300000,2500
2017-04-07,14.200000,14.250000,13.850000,13.900000,13.900000,9900
2017-04-10,14.050000,14.050000,13.950000,14.000000,14.000000,1800
2017-04-11,14.000000,14.100000,13.900000,13.900000,13.900000,1800
2017-04-12,13.900000,14.000000,13.900000,13.900000,13.900000,4300
2017-04-13,13.950000,14.030000,13.900000,13.900000,13.900000,3000
2017-04-17,13.950000,14.200000,13.900000,14.050000,14.050000,1800
2017-04-18,13.900000,14.000000,13.900000,13.900000,13.900000,1500
2017-04-19,13.900000,13.900000,13.900000,13.900000,13.900000,100
2017-04-20,13.970000,13.970000,13.970000,13.970000,13.970000,400
2017-04-21,13.990000,13.990000,13.800000,13.850000,13.850000,4500
2017-04-24,13.900000,14.100000,13.900000,13.900000,13.900000,3600
2017-04-25,14.050000,14.090000,14.050000,14.050000,14.050000,4500
2017-04-26,14.100000,14.100000,13.900000,13.980000,13.980000,2200
2017-04-27,13.900000,13.950000,13.900000,13.950000,13.950000,800
2017-04-28,13.950000,13.950000,13.950000,13.950000,13.950000,0
2017-05-01,13.900000,14.000000,13.900000,14.000000,14.000000,4000
2017-05-02,14.050000,14.110000,14.000000,14.110000,14.110000,3400
2017-05-03,14.100000,14.150000,14.000000,14.100000,14.100000,1300
2017-05-04,14.050000,14.150000,14.000000,14.100000,14.100000,2200
2017-05-05,14.100000,14.200000,14.050000,14.200000,14.200000,2100
2017-05-08,14.200000,14.200000,14.200000,14.200000,14.200000,600
2017-05-09,14.140000,14.140000,14.140000,14.140000,14.140000,300
2017-05-10,14.200000,14.270000,14.200000,14.270000,14.270000,1600
2017-05-11,14.250000,14.260000,14.250000,14.260000,14.260000,400
2017-05-12,14.150000,14.360000,14.150000,14.350000,14.350000,2600
2017-05-15,14.350000,14.350000,14.150000,14.250000,14.250000,1600
2017-05-16,14.200000,14.650000,14.200000,14.600000,14.600000,32000
2017-05-17,14.450000,14.700000,14.200000,14.200000,14.200000,22100
2017-05-18,14.250000,14.260000,14.100000,14.250000,14.250000,10100
2017-05-19,14.700000,14.700000,14.700000,14.700000,14.700000,100
2017-05-22,14.650000,14.730000,14.650000,14.680000,14.680000,6700
2017-05-23,14.400000,14.550000,14.400000,14.450000,14.450000,3500
2017-05-24,14.500000,14.500000,14.410000,14.410000,14.410000,3000
2017-05-25,14.650000,15.000000,14.610000,14.930000,14.930000,8100
2017-05-26,14.760000,14.950000,14.750000,14.750000,14.750000,6200
2017-05-30,14.760000,14.850000,14.750000,14.850000,14.850000,700
2017-05-31,14.750000,15.000000,14.640000,15.000000,15.000000,3800
2017-06-01,15.000000,15.000000,14.900000,14.900000,14.900000,1300
2017-06-02,14.750000,15.000000,14.750000,14.950000,14.950000,2900
2017-06-05,14.810000,15.000000,14.800000,14.800000,14.800000,5400
2017-06-06,14.760000,14.800000,14.700000,14.800000,14.800000,10900
2017-06-07,14.910000,15.050000,14.900000,15.030000,15.030000,2900
2017-06-08,15.050000,15.100000,14.950000,15.100000,15.100000,3200
2017-06-09,15.150000,15.600000,15.150000,15.600000,15.600000,4900
2017-06-12,15.450000,15.450000,15.100000,15.350000,15.350000,2700
2017-06-13,15.100000,15.150000,14.900000,15.100000,15.100000,4100
2017-06-14,15.100000,15.300000,15.100000,15.200000,15.200000,7400
2017-06-15,15.150000,15.600000,15.150000,15.600000,15.600000,2300
2017-06-16,15.650000,15.650000,14.850000,15.100000,15.100000,22600
2017-06-19,15.800000,15.800000,14.900000,15.000000,15.000000,15000
2017-06-20,15.250000,15.250000,14.800000,14.880000,14.880000,2600
2017-06-21,15.000000,15.000000,15.000000,15.000000,15.000000,200
2017-06-22,15.000000,15.150000,14.900000,15.050000,15.050000,5200
2017-06-23,14.950000,15.050000,14.600000,14.800000,14.800000,14200
2017-06-26,14.950000,15.050000,14.900000,14.900000,14.900000,4100
2017-06-27,14.900000,14.900000,14.900000,14.900000,14.900000,0
2017-06-28,14.850000,15.100000,14.850000,15.050000,15.050000,5500
2017-06-29,15.200000,15.200000,14.450000,14.850000,14.850000,33300
2017-06-30,14.700000,14.900000,14.650000,14.900000,14.900000,7700
2017-07-03,14.900000,14.900000,14.900000,14.900000,14.900000,0
2017-07-05,14.710000,15.000000,14.710000,14.900000,14.900000,2400
2017-07-06,14.900000,14.950000,14.900000,14.950000,14.950000,3300
2017-07-07,14.950000,14.950000,14.950000,14.950000,14.950000,1600
2017-07-10,14.890000,14.900000,14.850000,14.900000,14.900000,700
2017-07-11,14.850000,14.900000,14.800000,14.800000,14.800000,1100
2017-07-12,14.850000,15.150000,14.830000,15.150000,15.150000,4200
2017-07-13,15.100000,15.150000,15.000000,15.150000,15.150000,5700
