Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,15.400000,15.700000,15.150000,15.200000,15.200000,130500
2017-01-04,15.300000,15.550000,15.200000,15.450000,15.450000,126600
2017-01-05,15.300000,15.500000,15.100000,15.450000,15.450000,139100
2017-01-06,15.500000,15.500000,15.100000,15.300000,15.300000,97000
2017-01-09,15.200000,15.200000,14.350000,14.600000,14.600000,89900
2017-01-10,14.550000,15.350000,14.500000,15.100000,15.100000,84600
2017-01-11,15.200000,15.350000,14.750000,15.000000,15.000000,96900
2017-01-12,14.900000,14.900000,14.150000,14.450000,14.450000,129100
2017-01-13,14.600000,14.900000,14.250000,14.550000,14.550000,87800
2017-01-17,14.300000,14.300000,13.150000,13.450000,13.450000,195900
2017-01-18,13.700000,13.800000,13.350000,13.650000,13.650000,232100
2017-01-19,13.650000,13.950000,13.650000,13.850000,13.850000,150400
2017-01-20,13.900000,14.250000,13.900000,14.100000,14.100000,78200
2017-01-23,14.000000,14.150000,13.750000,14.000000,14.000000,70200
2017-01-24,14.050000,15.150000,13.950000,15.100000,15.100000,180100
2017-01-25,15.250000,15.350000,14.900000,15.250000,15.250000,144200
2017-01-26,15.227000,16.049999,14.950000,16.000000,16.000000,252500
2017-01-27,16.500000,17.049999,16.000000,17.000000,17.000000,493000
2017-01-30,17.000000,17.150000,16.750000,17.000000,17.000000,281500
2017-01-31,17.000000,17.250000,16.850000,17.150000,17.150000,199700
2017-02-01,17.250000,17.549999,16.650000,16.900000,16.900000,258900
2017-02-02,16.750000,16.900000,16.250000,16.500000,16.500000,262300
2017-02-03,16.750000,17.000000,16.700001,17.000000,17.000000,98100
2017-02-06,16.850000,17.000000,16.500000,16.600000,16.600000,115300
2017-02-07,16.650000,16.700001,16.200001,16.350000,16.350000,90400
2017-02-08,16.299999,16.450001,15.800000,16.250000,16.250000,81700
2017-02-09,16.250000,16.600000,16.250000,16.549999,16.549999,77200
2017-02-10,16.600000,16.700001,16.299999,16.400000,16.400000,48600
2017-02-13,16.549999,16.750000,16.350000,16.450001,16.450001,110700
2017-02-14,16.350000,16.950001,16.299999,16.799999,16.799999,112300
2017-02-15,16.799999,17.049999,16.650000,16.900000,16.900000,66700
2017-02-16,16.799999,17.000000,16.500000,16.650000,16.650000,92200
2017-02-17,16.650000,17.100000,16.502001,16.950001,16.950001,108800
2017-02-21,16.950001,17.500000,16.900000,17.250000,17.250000,188400
2017-02-22,17.100000,17.500000,17.049999,17.450001,17.450001,141600
2017-02-23,17.500000,17.500000,17.000000,17.350000,17.350000,146000
2017-02-24,17.100000,17.299999,16.900000,17.250000,17.250000,207800
2017-02-27,17.350000,17.350000,17.100000,17.200001,17.200001,163000
2017-02-28,17.100000,17.225000,16.625000,17.049999,17.049999,318900
2017-03-01,17.450001,17.500000,17.000000,17.100000,17.100000,302700
2017-03-02,17.150000,17.150000,16.400000,16.400000,16.400000,107300
2017-03-03,16.450001,17.250000,16.250000,17.100000,17.100000,303700
2017-03-06,17.000000,17.000000,16.500000,16.700001,16.700001,89500
2017-03-07,16.700001,16.900000,16.549999,16.650000,16.650000,65800
2017-03-08,16.799999,16.950001,16.500000,16.600000,16.600000,111700
2017-03-09,16.549999,16.750000,16.500000,16.600000,16.600000,96700
2017-03-10,16.650000,16.700001,15.000000,16.600000,16.600000,293300
2017-03-13,16.650000,16.927999,16.275000,16.299999,16.299999,71800
2017-03-14,16.250000,16.778000,16.150000,16.600000,16.600000,112200
