Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,20.809999,21.379999,20.600000,21.309999,21.309999,231700
2017-01-04,21.320000,21.629999,21.250000,21.469999,21.469999,77000
2017-01-05,21.360001,21.790001,21.110001,21.240000,21.240000,38200
2017-01-06,21.360001,21.480000,20.969999,21.270000,21.270000,32200
2017-01-09,21.110001,21.250000,20.820000,20.940001,20.940001,34200
2017-01-10,21.030001,21.559999,21.030001,21.420000,21.420000,60800
2017-01-11,21.490000,21.540001,21.070000,21.170000,21.170000,38900
2017-01-12,20.990000,21.090000,20.510000,20.559999,20.559999,31600
2017-01-13,20.700001,21.120001,20.430000,21.090000,21.090000,40700
2017-01-17,20.959999,20.959999,20.360001,20.400000,20.400000,42300
2017-01-18,20.559999,20.870001,19.760000,19.809999,19.809999,49200
2017-01-19,19.860001,19.910000,19.309999,19.420000,19.420000,54400
2017-01-20,19.350000,19.990000,19.330000,19.740000,19.740000,51400
2017-01-23,19.790001,20.139999,19.450001,19.639999,19.639999,48700
2017-01-24,19.660000,19.850000,19.430000,19.740000,19.740000,49200
2017-01-25,19.809999,20.219999,19.540001,20.139999,20.139999,41100
2017-01-26,20.030001,20.059999,19.660000,19.730000,19.730000,34400
2017-01-27,19.690001,19.690001,19.219999,19.280001,19.280001,43900
2017-01-30,19.219999,19.219999,18.850000,19.020000,19.020000,45300
2017-01-31,19.000000,19.180000,18.920000,19.110001,19.110001,86400
2017-02-01,19.180000,19.430000,18.809999,19.000000,19.000000,153000
2017-02-02,19.059999,19.420000,18.760000,18.930000,18.930000,112100
2017-02-03,19.049999,20.020000,18.900000,20.000000,20.000000,97400
2017-02-06,19.969999,20.110001,19.629999,19.670000,19.670000,49400
2017-02-07,19.730000,19.730000,18.959999,18.990000,18.990000,92700
2017-02-08,18.860001,19.299999,18.680000,19.240000,19.240000,45200
2017-02-09,19.270000,19.719999,19.150000,19.420000,19.420000,39800
2017-02-10,19.490000,19.610001,19.240000,19.280001,19.280001,31700
2017-02-13,19.360001,19.629999,18.930000,19.110001,19.110001,43100
2017-02-14,18.969999,19.080000,18.850000,18.980000,18.980000,91800
2017-02-15,18.879999,19.000000,18.680000,18.809999,18.809999,89900
2017-02-16,18.889999,18.959999,18.320000,18.350000,18.350000,103400
2017-02-17,18.180000,18.340000,18.059999,18.330000,18.330000,84200
2017-02-21,18.139999,18.790001,18.139999,18.750000,18.750000,80700
2017-02-22,18.540001,19.080000,18.540001,19.020000,19.020000,52200
2017-02-23,18.900000,19.350000,18.639999,19.270000,19.270000,51500
2017-02-24,18.980000,19.240000,18.770000,19.170000,19.170000,49200
2017-02-27,19.070000,19.150000,18.639999,18.809999,18.809999,62900
