Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,13.390000,13.430000,13.280000,13.410000,13.281641,5900
2017-01-04,13.450000,13.510000,13.180000,13.180000,13.053843,16900
2017-01-05,13.350000,13.490000,13.350000,13.400000,13.271735,2300
2017-01-06,13.450000,13.450000,13.300000,13.430000,13.301449,6500
2017-01-09,13.430000,13.430000,13.430000,13.430000,13.301449,0
2017-01-10,13.430000,13.500000,13.390000,13.400000,13.271735,44500
2017-01-11,13.450000,13.450000,13.400000,13.430000,13.301449,50000
2017-01-12,13.540000,13.920000,13.400000,13.550000,13.420300,10300
2017-01-13,13.600000,13.640000,13.580000,13.580000,13.450013,8200
2017-01-17,13.600000,13.630000,13.540000,13.630000,13.499535,2000
2017-01-18,13.660000,13.660000,13.560000,13.560000,13.430205,1500
2017-01-19,13.610000,13.610000,13.510000,13.570000,13.440109,1900
2017-01-20,13.570000,13.570000,13.570000,13.570000,13.440109,200
2017-01-23,13.600000,13.600000,13.600000,13.600000,13.469823,800
2017-01-24,13.540000,13.620000,13.540000,13.610000,13.479727,6400
2017-01-25,13.670000,13.930000,13.610000,13.770000,13.638195,2900
2017-01-26,13.990000,14.200000,13.990000,14.000000,13.865993,7200
2017-01-27,14.720000,14.720000,14.020000,14.160000,14.024461,5300
2017-01-30,14.270000,14.290000,14.190000,14.190000,14.054174,3300
2017-01-31,14.200000,14.200000,13.830000,14.190000,14.054174,4400
2017-02-01,14.020000,14.140000,14.020000,14.080000,13.945228,900
2017-02-02,14.000000,14.050000,13.760000,14.040000,13.905610,2700
2017-02-03,14.110000,14.430000,14.110000,14.430000,14.291877,2500
2017-02-06,14.420000,14.610000,14.150000,14.600000,14.460251,9600
2017-02-07,14.520000,15.130000,14.520000,15.120000,14.975273,5700
2017-02-08,15.080000,15.130000,14.910000,14.970000,14.826709,7800
2017-02-09,15.100000,15.450000,15.100000,15.230000,15.084219,2900
2017-02-10,15.100000,15.350000,15.100000,15.240000,15.094124,4600
2017-02-13,15.300000,15.300000,15.000000,15.270000,15.123837,3500
2017-02-14,15.230000,15.250000,15.190000,15.200000,15.054507,6500
2017-02-15,15.250000,15.250000,15.050000,15.140000,14.995082,6800
2017-02-16,15.010000,15.060000,14.960000,14.960000,14.816804,1000
