Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,48.349998,48.529999,47.619999,47.750000,47.106659,4256700
2017-01-04,47.939999,48.709999,47.939999,48.549999,47.895882,2988400
2017-01-05,48.389999,48.730000,48.060001,48.349998,47.698574,1613400
2017-01-06,47.700001,48.720001,47.470001,48.450001,47.797230,2930100
2017-01-09,48.270000,48.529999,48.070000,48.070000,47.422344,1856800
2017-01-10,48.189999,48.759998,48.029999,48.430000,47.777496,2486700
2017-01-11,48.360001,48.849998,48.189999,48.509998,47.856419,2377900
2017-01-12,48.180000,48.299999,47.619999,48.230000,47.580189,1882000
2017-01-13,48.459999,48.910000,48.290001,48.330002,47.678844,1734300
2017-01-17,47.910000,48.660000,47.610001,48.540001,47.886017,2750700
2017-01-18,48.759998,49.680000,48.080002,49.400002,48.734432,4826200
2017-01-19,49.439999,49.459999,48.060001,48.240002,47.590057,3474000
2017-01-20,48.389999,48.720001,48.119999,48.310001,47.659115,2707500
2017-01-23,48.240002,48.410000,47.540001,47.700001,47.057331,2369500
2017-01-24,47.900002,48.209999,47.799999,47.900002,47.254642,2141900
2017-01-25,48.290001,48.520000,47.970001,48.349998,47.698574,3711300
2017-01-26,48.490002,48.720001,48.290001,48.570000,47.915615,2573800
2017-01-27,48.669998,49.009998,48.279999,48.930000,48.270763,2015100
2017-01-30,48.480000,48.970001,48.400002,48.959999,48.300354,3207700
2017-01-31,48.740002,49.020000,48.430000,48.709999,48.053726,2427200
2017-02-01,48.980000,49.099998,48.259998,48.439999,47.787361,2560000
2017-02-02,48.320000,48.490002,47.810001,47.970001,47.323696,3136600
2017-02-03,48.000000,48.430000,46.790001,47.330002,46.692318,6982100
2017-02-06,47.270000,47.660000,47.160000,47.549999,46.909351,2457600
2017-02-07,47.820000,47.939999,47.279999,47.349998,46.712048,2274300
2017-02-08,47.160000,47.259998,46.990002,47.049999,46.416092,1648600
2017-02-09,47.049999,47.570000,47.049999,47.540001,46.899487,2619100
2017-02-10,47.660000,47.869999,47.450001,47.860001,47.215176,1985100
2017-02-13,48.080002,48.430000,47.900002,48.049999,47.402618,2967400
2017-02-14,48.110001,48.570000,47.930000,48.500000,47.846558,2537600
2017-02-15,48.509998,48.689999,48.150002,48.599998,47.945206,3058400
2017-02-16,48.520000,48.820000,48.330002,48.599998,47.945206,3004000
2017-02-17,48.450001,48.630001,48.110001,48.360001,47.708439,3492800
2017-02-21,48.400002,48.980000,48.380001,48.930000,48.270763,2598200
2017-02-22,48.770000,48.849998,48.439999,48.689999,48.033993,2696100
2017-02-23,48.810001,48.910000,48.360001,48.790001,48.132652,1993100
2017-02-24,48.439999,48.759998,48.349998,48.619999,47.964939,1155800
2017-02-27,48.799999,49.000000,48.580002,48.930000,48.270763,2317900
2017-02-28,48.689999,49.119999,48.669998,48.889999,48.231300,2609600
2017-03-01,49.740002,50.130001,49.419998,49.689999,49.020519,3378600
2017-03-02,49.740002,50.000000,48.980000,49.020000,48.584431,1703900
2017-03-03,49.119999,49.290001,48.910000,49.150002,48.713280,1940400
2017-03-06,48.860001,49.090000,48.770000,48.790001,48.356476,1705800
2017-03-07,48.720001,48.849998,48.529999,48.660000,48.227631,2019700
2017-03-08,48.959999,49.130001,48.490002,48.500000,48.069054,2210900
2017-03-09,48.279999,49.580002,48.279999,49.290001,48.852036,8601800
2017-03-10,49.389999,49.759998,49.119999,49.720001,49.278214,2981000
2017-03-13,49.709999,49.770000,49.419998,49.560001,49.119637,2338900
2017-03-14,49.430000,49.860001,49.250000,49.750000,49.307945,2278500
2017-03-15,49.830002,50.160000,49.570000,49.869999,49.426876,3535200
2017-03-16,50.220001,50.259998,48.689999,48.810001,48.376297,4712000
2017-03-17,48.900002,49.040001,48.369999,48.779999,48.346561,3606200
2017-03-20,48.779999,48.860001,48.250000,48.259998,47.831184,2313200
2017-03-21,48.660000,48.709999,47.580002,47.709999,47.286072,3912700
2017-03-22,47.450001,47.980000,47.049999,47.799999,47.375271,3167600
2017-03-23,47.700001,48.189999,47.529999,47.570000,47.147316,2210200
2017-03-24,47.610001,47.820000,47.169998,47.330002,46.909451,2633800
2017-03-27,46.720001,47.540001,46.349998,47.450001,47.028381,2303800
2017-03-28,47.290001,47.939999,47.270000,47.689999,47.266247,1971700
2017-03-29,47.669998,47.669998,47.259998,47.279999,46.859890,1748100
2017-03-30,47.279999,47.820000,47.180000,47.810001,47.385185,2115100
2017-03-31,47.720001,48.090000,47.549999,48.070000,47.642876,4264900
2017-04-03,47.990002,48.200001,47.570000,48.130001,47.702339,4494000
2017-04-04,48.009998,48.180000,47.770000,47.910000,47.484295,2105900
2017-04-05,48.160000,48.459999,47.750000,47.759998,47.335625,3826600
2017-04-06,47.759998,48.299999,47.590000,48.080002,47.652786,3126500
2017-04-07,47.830002,48.099998,47.639999,47.830002,47.405010,2290400
2017-04-10,47.790001,48.310001,47.700001,48.080002,47.652786,3121900
2017-04-11,47.959999,48.220001,47.810001,48.209999,47.781628,2255900
2017-04-12,48.009998,48.070000,47.580002,47.820000,47.395096,2641200
2017-04-13,47.669998,48.070000,47.500000,47.730000,47.305893,2885500
2017-04-17,47.820000,48.410000,47.720001,48.360001,47.930298,2379500
2017-04-18,48.090000,48.209999,47.509998,47.689999,47.266247,1825900
2017-04-19,47.939999,48.040001,47.060001,47.259998,46.840069,3265700
2017-04-20,47.459999,47.810001,46.970001,47.630001,47.206787,3478600
2017-04-21,47.509998,47.820000,47.209999,47.279999,46.859890,2368400
2017-04-24,47.880001,48.000000,47.349998,47.360001,46.939182,7786600
2017-04-25,47.750000,47.900002,47.419998,47.750000,47.325718,3392000
2017-04-26,47.840000,48.709999,47.730000,48.110001,47.682518,3354300
2017-04-27,48.160000,48.450001,47.990002,48.240002,47.811367,2909200
2017-04-28,48.209999,48.650002,46.689999,48.360001,47.930298,4072800
2017-05-01,48.529999,48.900002,48.209999,48.709999,48.277187,2242200
2017-05-02,48.660000,49.130001,48.619999,48.770000,48.336651,2127000
2017-05-03,48.750000,49.209999,48.660000,49.040001,48.604256,1683000
2017-05-04,49.330002,49.630001,49.119999,49.360001,48.921413,2191100
2017-05-05,49.430000,49.509998,49.320000,49.500000,49.060165,1618900
2017-05-08,49.480000,49.599998,49.279999,49.369999,48.931324,1915700
2017-05-09,49.520000,49.740002,49.150002,49.259998,48.822296,2646000
2017-05-10,49.160000,49.900002,49.099998,49.750000,49.307945,2180400
2017-05-11,49.660000,49.660000,49.240002,49.540001,49.099812,2143400
2017-05-12,49.230000,49.299999,49.000000,49.080002,48.643902,2037900
2017-05-15,49.150002,49.299999,48.919998,49.200001,48.762833,1774500
2017-05-16,49.310001,49.490002,48.970001,49.279999,48.842121,1839100
2017-05-17,49.279999,49.279999,48.570000,48.900002,48.465500,3198200
2017-05-18,48.709999,49.049999,48.650002,48.689999,48.257362,2501200
2017-05-19,48.919998,49.000000,48.360001,48.419998,47.989761,2267200
2017-05-22,48.639999,49.110001,48.529999,48.799999,48.366386,1774800
2017-05-23,48.799999,49.230000,48.720001,49.150002,48.713280,1474000
2017-05-24,49.160000,49.380001,49.090000,49.230000,48.792564,1769800
2017-05-25,49.549999,49.830002,49.340000,49.720001,49.278214,1723200
2017-05-26,49.630001,49.630001,49.029999,49.230000,48.792564,2740300
2017-05-30,48.930000,49.180000,48.849998,49.049999,48.842354,1330300
2017-05-31,49.060001,49.500000,48.919998,49.389999,49.180912,2467900
2017-06-01,49.360001,49.869999,49.180000,49.840000,49.629009,2303500
2017-06-02,49.660000,49.840000,49.459999,49.639999,49.429855,1947500
2017-06-05,49.599998,49.779999,49.450001,49.450001,49.240662,1600800
2017-06-06,49.630001,49.779999,49.000000,49.580002,49.370113,3042400
2017-06-07,49.650002,49.900002,49.389999,49.709999,49.499557,1835400
2017-06-08,49.709999,50.779999,49.669998,50.720001,50.505283,3469000
2017-06-09,50.919998,51.590000,50.709999,51.509998,51.291939,3057700
2017-06-12,51.439999,51.689999,51.070000,51.119999,50.903591,2641300
2017-06-13,51.259998,51.790001,51.139999,51.669998,51.451260,1852900
2017-06-14,51.599998,51.950001,51.389999,51.849998,51.630497,1604200
2017-06-15,51.560001,52.020000,51.439999,51.869999,51.650414,2413700
2017-06-16,51.770000,52.410000,51.680000,52.410000,52.188129,4217400
2017-06-19,52.520000,52.660000,52.330002,52.450001,52.227962,1699800
2017-06-20,52.310001,52.490002,52.220001,52.230000,52.008892,1507100
2017-06-21,52.200001,52.240002,51.639999,51.750000,51.530922,2106400
2017-06-22,51.599998,51.869999,51.410000,51.599998,51.381557,1452300
2017-06-23,51.650002,51.779999,51.330002,51.450001,51.232193,2143000
2017-06-26,51.740002,52.180000,51.619999,52.020000,51.799782,2541700
2017-06-27,52.029999,52.590000,51.970001,52.200001,51.979019,3101200
2017-06-28,52.439999,52.820000,52.270000,52.730000,52.506775,2711500
2017-06-29,53.220001,53.380001,52.549999,52.750000,52.526691,2890700
2017-06-30,52.970001,53.080002,52.279999,52.570000,52.347450,2388600
2017-07-03,52.779999,53.279999,52.709999,52.840000,52.616310,1240200
2017-07-05,52.959999,53.049999,52.549999,52.709999,52.486858,2013900
2017-07-06,52.730000,52.930000,52.430000,52.560001,52.337498,1851600
2017-07-07,52.630001,52.919998,52.450001,52.730000,52.506775,1313900
2017-07-10,52.580002,52.990002,52.529999,52.869999,52.646183,1524900
2017-07-11,52.889999,53.020000,52.509998,52.750000,52.526691,1527700
2017-07-12,52.750000,53.029999,52.619999,52.869999,52.646183,1537000
2017-07-13,52.930000,53.360001,52.919998,53.279999,53.054447,1311000
2017-07-14,52.939999,53.500000,52.840000,53.360001,53.134109,1739500
2017-07-17,53.320000,53.660000,53.169998,53.580002,53.353180,1645400
2017-07-18,53.380001,53.580002,53.290001,53.570000,53.343220,1195000
2017-07-19,53.560001,53.910000,53.450001,53.889999,53.661865,1151700
2017-07-20,53.910000,54.200001,53.709999,53.779999,53.552330,2254700
2017-07-21,53.709999,53.980000,53.580002,53.790001,53.562290,1812300
2017-07-24,53.790001,53.869999,53.570000,53.700001,53.472668,2001900
2017-07-25,54.189999,54.200001,53.810001,53.939999,53.711651,2339400
2017-07-26,53.970001,54.020000,53.060001,53.220001,52.994701,2459600
2017-07-27,53.220001,53.400002,52.689999,52.919998,52.695969,3435100
2017-07-28,53.500000,55.200001,53.380001,54.820000,54.587929,4663900
2017-07-31,55.189999,55.290001,54.880001,55.000000,54.767166,2707600
2017-08-01,55.290001,55.799999,54.939999,55.709999,55.474159,2816500
2017-08-02,55.650002,56.029999,55.349998,55.630001,55.394501,2702100
2017-08-03,55.540001,55.860001,55.389999,55.840000,55.603611,1772800
2017-08-04,56.110001,56.570000,56.009998,56.290001,56.051704,1498100
2017-08-07,56.230000,56.320000,55.950001,55.970001,55.733059,1588200
2017-08-08,55.930000,56.599998,55.900002,56.049999,55.812721,1665800
2017-08-09,55.990002,56.250000,55.869999,56.240002,56.001919,1777400
2017-08-10,55.919998,56.070000,55.630001,55.730000,55.494076,1520300
2017-08-11,55.730000,56.250000,55.590000,56.040001,55.802765,1789200
2017-08-14,56.380001,56.669998,56.330002,56.450001,56.211029,1449800
2017-08-15,56.680000,56.990002,56.610001,56.810001,56.569504,1943100
2017-08-16,56.919998,57.160000,56.500000,56.509998,56.270771,1393000
2017-08-17,56.450001,56.610001,55.570000,55.599998,55.364624,1484100
2017-08-18,55.430000,55.619999,55.009998,55.560001,55.324795,4524500
2017-08-21,55.650002,55.650002,55.130001,55.279999,55.045979,1445700
2017-08-22,55.389999,55.630001,55.330002,55.560001,55.324795,1297900
2017-08-23,55.270000,55.419998,55.099998,55.150002,54.916531,2066600
2017-08-24,55.279999,55.369999,54.610001,54.630001,54.398731,1739000
