Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,15.790000,16.180000,15.610000,15.990000,15.780159,232200
2017-01-04,15.990000,16.150000,15.870000,16.080000,15.868979,126200
2017-01-05,15.970000,16.180000,15.600000,15.790000,15.582784,100500
2017-01-06,15.940000,16.100000,15.580000,15.770000,15.563048,87600
2017-01-09,15.780000,15.885000,15.400000,15.590000,15.385409,107400
2017-01-10,15.650000,15.840000,15.600000,15.720000,15.513704,71900
2017-01-11,15.850000,16.000000,15.560000,15.750000,15.543309,85100
2017-01-12,15.550000,15.640000,15.181000,15.540000,15.336065,99100
2017-01-13,15.610000,16.000000,15.390000,15.530000,15.326197,56300
2017-01-17,15.510000,15.510000,15.130000,15.190000,14.990659,96800
2017-01-18,15.270000,15.320000,14.880000,15.260000,15.059741,65300
2017-01-19,15.270000,15.470000,14.870000,15.020000,14.822890,100200
2017-01-20,14.990000,15.340000,14.900000,14.920000,14.724202,84700
2017-01-23,14.910000,15.025000,14.550000,14.690000,14.497220,142400
2017-01-24,14.780000,14.920000,14.550000,14.800000,14.605776,296300
2017-01-25,14.980000,15.210000,14.880000,14.990000,14.793283,163800
2017-01-26,14.970000,15.000000,14.380000,14.450000,14.260369,140900
2017-01-27,14.430000,14.580000,14.150000,14.320000,14.132074,175000
2017-01-30,14.350000,14.350000,13.995000,14.050000,13.865620,172300
2017-01-31,13.970000,14.280000,13.700000,14.180000,13.993914,194700
2017-02-01,14.300000,14.580000,14.140000,14.370000,14.181418,99700
2017-02-02,14.370000,14.690000,14.220000,14.240000,14.053124,160300
2017-02-03,14.420000,14.430000,14.220000,14.360000,14.171551,78000
2017-02-06,14.360000,14.460000,14.130000,14.250000,14.062994,93600
2017-02-07,14.230000,14.310000,13.920000,13.920000,13.737325,74000
2017-02-08,13.950000,13.950000,13.420000,13.650000,13.470868,148200
2017-02-09,13.710000,14.240000,13.710000,14.070000,13.885357,148400
2017-02-10,14.200000,14.405000,14.110000,14.300000,14.112338,184900
2017-02-13,14.340000,14.830000,14.340000,14.700000,14.507089,226900
2017-02-14,14.680000,14.995000,14.570000,14.990000,14.793283,167100
2017-02-15,14.970000,15.030000,14.750000,14.960000,14.763677,161600
2017-02-16,15.020000,15.040000,14.720000,14.780000,14.586039,82800
2017-02-17,14.780000,14.780000,14.410000,14.690000,14.497220,165100
2017-02-21,14.690000,14.750000,14.400000,14.520000,14.329452,105300
2017-02-22,14.390000,15.090000,14.390000,14.750000,14.556432,149300
2017-02-23,14.690000,14.780000,14.510000,14.720000,14.526827,49900
