Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,8.841000,8.841000,8.810000,8.810000,8.338373,400
2017-01-04,8.810000,8.810000,8.810000,8.810000,8.338373,0
2017-01-05,8.810000,8.810000,8.810000,8.810000,8.338373,0
2017-01-06,8.800000,8.800000,8.631000,8.631000,8.168955,2900
2017-01-09,8.680000,8.680000,8.600000,8.610000,8.149079,8200
2017-01-10,8.600000,8.677000,8.600000,8.677000,8.212493,300
2017-01-11,8.640000,8.640000,8.636000,8.636000,8.173687,1300
2017-01-12,8.636000,8.636000,8.636000,8.636000,8.173687,0
2017-01-13,8.700000,8.700000,8.600000,8.600000,8.139615,3400
2017-01-17,8.600000,8.650000,8.600000,8.650000,8.186937,200
2017-01-18,8.640000,8.640000,8.640000,8.640000,8.177473,100
2017-01-19,8.640000,8.640000,8.640000,8.640000,8.177473,0
2017-01-20,8.719000,8.719000,8.673000,8.673000,8.208707,500
2017-01-23,8.670000,8.720000,8.670000,8.720000,8.253191,3100
2017-01-24,8.720000,8.720000,8.720000,8.720000,8.253191,200
2017-01-25,8.720000,8.720000,8.650000,8.683000,8.218171,1200
2017-01-26,8.683000,8.683000,8.683000,8.683000,8.218171,0
2017-01-27,8.710000,8.710000,8.710000,8.710000,8.243726,100
2017-01-30,8.650000,8.710000,8.650000,8.710000,8.243726,1600
2017-01-31,8.680000,8.720000,8.680000,8.720000,8.253191,1500
2017-02-01,8.740000,8.740000,8.740000,8.740000,8.272120,200
2017-02-02,8.740000,8.740000,8.740000,8.740000,8.272120,0
2017-02-03,8.740000,8.740000,8.740000,8.740000,8.272120,0
2017-02-06,8.603000,9.000000,8.600000,8.750000,8.281585,24200
2017-02-07,8.800000,8.800000,8.780000,8.780000,8.309978,2200
2017-02-08,8.760000,8.800000,8.600000,8.720000,8.253191,23300
2017-02-09,8.730000,8.800000,8.670000,8.740000,8.272120,13500
2017-02-10,8.820000,8.820000,8.780000,8.780000,8.309978,4000
2017-02-13,8.820000,8.824000,8.820000,8.824000,8.351624,200
2017-02-14,8.830000,8.830000,8.830000,8.830000,8.357302,200
2017-02-15,8.860000,8.860000,8.758000,8.761000,8.291995,2900
2017-02-16,8.760000,8.880000,8.760000,8.760000,8.291049,1200
2017-02-17,8.650000,9.000000,8.640000,8.640000,8.177473,3300
2017-02-21,8.600000,8.600000,8.560000,8.590000,8.130150,17200
2017-02-22,8.670000,8.670000,8.670000,8.670000,8.205867,300
2017-02-23,8.790000,9.000000,8.790000,9.000000,8.518201,10000
2017-02-24,9.080000,9.200000,9.080000,9.200000,8.707495,14800
2017-02-27,9.210000,9.600000,9.210000,9.510000,9.000899,34200
2017-02-28,9.510000,9.510000,9.210000,9.300000,8.802141,28800
2017-03-01,9.400000,9.510000,9.390000,9.390000,8.887323,32100
2017-03-02,9.400000,9.500000,9.370000,9.400000,8.896788,23800
2017-03-03,9.390000,9.490000,8.600000,9.300000,8.802141,51400
2017-03-06,9.390000,9.400000,9.230000,9.300000,8.802141,15800
2017-03-07,9.300000,9.600000,9.300000,9.520000,9.010365,28700
2017-03-08,9.520000,9.700000,9.343000,9.400000,8.896788,54200
2017-03-09,9.410000,9.430000,9.370000,9.400000,8.896788,25900
2017-03-10,9.400000,9.400000,9.370000,9.400000,8.896788,14600
2017-03-13,9.200000,9.230000,8.620000,8.670000,8.205867,53700
2017-03-14,8.715000,9.500000,8.715000,9.500000,8.991435,39800
2017-03-15,9.300000,9.406000,9.030000,9.340000,8.840000,54200
2017-03-16,9.100000,9.204000,9.050000,9.094000,9.094000,12300
2017-03-17,9.150000,9.150000,8.400000,8.410000,8.410000,72000
2017-03-20,8.800000,9.140000,8.700000,8.710000,8.710000,38400
2017-03-21,8.700000,8.790000,8.600000,8.790000,8.790000,10500
2017-03-22,8.790000,9.100000,8.790000,9.080000,9.080000,13800
2017-03-23,9.080000,9.530000,9.060000,9.520000,9.520000,62300
2017-03-24,9.370000,9.530000,9.050000,9.060000,9.060000,41100
2017-03-27,9.180000,9.190000,9.000000,9.010000,9.010000,25900
2017-03-28,9.000000,9.060000,8.670000,8.700000,8.700000,51000
2017-03-29,8.900000,9.060000,8.715000,8.950000,8.950000,31500
2017-03-30,8.840000,9.060000,8.740000,9.050000,9.050000,28800
2017-03-31,8.910000,9.120000,8.680000,8.930000,8.930000,28700
2017-04-03,8.920000,8.980000,8.740000,8.740000,8.740000,16600
2017-04-04,8.940000,9.060000,8.900000,8.970000,8.970000,11000
