Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,6.250000,6.250000,6.180000,6.200000,6.200000,42600
2017-01-04,6.150000,6.250000,6.150000,6.220000,6.220000,10900
2017-01-05,6.200000,6.250000,6.200000,6.250000,6.250000,10700
2017-01-06,6.250000,6.350000,6.250000,6.350000,6.350000,18900
2017-01-09,6.350000,6.450000,6.340000,6.400000,6.400000,20500
2017-01-10,6.450000,6.450000,6.300000,6.400000,6.400000,22700
2017-01-11,6.450000,6.450000,6.350000,6.400000,6.400000,17800
2017-01-12,6.450000,6.450000,6.250000,6.250000,6.250000,23700
2017-01-13,6.250000,6.450000,6.250000,6.450000,6.450000,9000
2017-01-17,6.360000,6.450000,6.300000,6.450000,6.450000,28900
2017-01-18,6.500000,6.500000,6.400000,6.500000,6.500000,34900
2017-01-19,6.450000,6.500000,6.400000,6.450000,6.450000,10200
2017-01-20,6.500000,6.500000,6.300000,6.300000,6.300000,22900
2017-01-23,6.460000,6.500000,6.400000,6.430000,6.430000,12200
2017-01-24,6.450000,6.500000,6.350000,6.440000,6.440000,11800
2017-01-25,6.410000,6.450000,6.400000,6.430000,6.430000,18600
2017-01-26,6.500000,6.500000,6.400000,6.400000,6.400000,5400
2017-01-27,6.450000,6.450000,6.350000,6.400000,6.400000,2400
2017-01-30,6.350000,6.500000,6.300000,6.450000,6.450000,6400
2017-01-31,6.400000,6.450000,6.300000,6.350000,6.350000,25500
2017-02-01,6.350000,6.400000,6.200000,6.300000,6.300000,16000
2017-02-02,6.350000,6.350000,6.100000,6.250000,6.250000,13400
2017-02-03,6.200000,6.250000,6.150000,6.200000,6.200000,18000
2017-02-06,6.150000,6.200000,6.050000,6.100000,6.100000,17800
2017-02-07,6.050000,6.100000,5.910000,6.000000,6.000000,22000
2017-02-08,6.000000,6.100000,5.950000,6.100000,6.100000,24200
2017-02-09,6.100000,6.200000,6.100000,6.200000,6.200000,1400
2017-02-10,6.150000,6.230000,6.100000,6.150000,6.150000,8100
2017-02-13,6.200000,6.200000,6.000000,6.000000,6.000000,18600
2017-02-14,6.000000,6.000000,5.910000,5.950000,5.950000,16800
2017-02-15,5.950000,5.980000,5.900000,5.930000,5.930000,33400
2017-02-16,5.900000,6.050000,5.900000,6.000000,6.000000,5900
2017-02-17,6.010000,6.150000,6.000000,6.150000,6.150000,12300
2017-02-21,6.150000,6.200000,6.100000,6.150000,6.150000,19700
2017-02-22,6.100000,6.150000,6.000000,6.150000,6.150000,13100
2017-02-23,6.150000,6.150000,5.950000,6.000000,6.000000,16900
2017-02-24,6.010000,6.050000,6.000000,6.000000,6.000000,13900
2017-02-27,6.000000,6.050000,5.950000,6.030000,6.030000,6500
2017-02-28,6.000000,6.050000,5.950000,6.050000,6.050000,14700
2017-03-01,6.030000,6.050000,5.950000,6.000000,6.000000,15900
2017-03-02,6.000000,6.050000,5.900000,5.900000,5.900000,40200
2017-03-03,5.950000,6.000000,5.900000,5.940000,5.940000,14300
2017-03-06,5.900000,6.040000,5.900000,6.030000,6.030000,102300
2017-03-07,5.950000,6.100000,5.950000,6.000000,6.000000,17400
2017-03-08,5.950000,6.050000,5.900000,6.000000,6.000000,173000
2017-03-09,5.950000,6.050000,5.850000,5.900000,5.900000,122500
2017-03-10,5.850000,5.950000,5.750000,5.750000,5.750000,19400
2017-03-13,5.700000,5.900000,5.700000,5.700000,5.700000,21300
2017-03-14,5.650000,5.850000,5.400000,5.400000,5.400000,75400
2017-03-15,5.400000,5.780000,5.400000,5.750000,5.750000,21400
2017-03-16,5.750000,5.760000,5.650000,5.650000,5.650000,50600
2017-03-17,5.700000,5.950000,5.700000,5.800000,5.800000,20800
2017-03-20,5.850000,5.900000,5.750000,5.850000,5.850000,14800
2017-03-21,5.900000,6.050000,5.850000,5.850000,5.850000,26500
2017-03-22,5.850000,5.950000,5.750000,5.750000,5.750000,35700
2017-03-23,5.800000,5.850000,5.780000,5.830000,5.830000,18800
2017-03-24,5.900000,5.900000,5.800000,5.800000,5.800000,19000
2017-03-27,5.800000,5.850000,5.750000,5.800000,5.800000,22800
2017-03-28,5.800000,5.850000,5.800000,5.800000,5.800000,13200
2017-03-29,5.800000,5.850000,5.750000,5.800000,5.800000,41900
2017-03-30,5.900000,5.900000,5.850000,5.850000,5.850000,28900
2017-03-31,5.900000,5.950000,5.800000,5.800000,5.800000,37700
2017-04-03,5.850000,5.850000,5.750000,5.800000,5.800000,30300
2017-04-04,5.850000,5.900000,5.800000,5.800000,5.800000,27400
2017-04-05,5.850000,5.850000,5.800000,5.800000,5.800000,6400
2017-04-06,5.800000,5.850000,5.650000,5.650000,5.650000,43800
2017-04-07,5.700000,5.800000,5.670000,5.750000,5.750000,9600
2017-04-10,5.740000,5.740000,5.650000,5.700000,5.700000,5100
2017-04-11,5.600000,5.600000,5.480000,5.550000,5.550000,20200
2017-04-12,5.550000,5.600000,5.550000,5.600000,5.600000,5700
2017-04-13,5.580000,5.600000,5.500000,5.500000,5.500000,14200
2017-04-17,5.500000,5.700000,5.500000,5.700000,5.700000,21100
2017-04-18,5.750000,5.750000,5.650000,5.650000,5.650000,10000
2017-04-19,5.600000,5.650000,5.550000,5.550000,5.550000,9500
2017-04-20,5.500000,5.650000,5.500000,5.600000,5.600000,22100
2017-04-21,5.650000,5.800000,5.600000,5.750000,5.750000,29900
2017-04-24,5.800000,5.800000,5.550000,5.550000,5.550000,55900
2017-04-25,5.550000,5.750000,5.550000,5.700000,5.700000,8500
2017-04-26,5.700000,5.710000,5.500000,5.550000,5.550000,72000
2017-04-27,5.550000,5.600000,5.350000,5.350000,5.350000,54200
2017-04-28,5.400000,5.650000,5.350000,5.650000,5.650000,19200
2017-05-01,5.650000,5.700000,5.600000,5.700000,5.700000,13900
2017-05-02,5.650000,5.900000,5.650000,5.900000,5.900000,69900
2017-05-03,5.950000,5.950000,5.900000,5.950000,5.950000,8400
2017-05-04,5.900000,5.950000,5.840000,5.950000,5.950000,73300
2017-05-05,5.950000,5.950000,5.900000,5.950000,5.950000,50300
2017-05-08,5.950000,6.100000,5.910000,6.000000,6.000000,68000
2017-05-09,5.950000,6.100000,5.930000,6.000000,6.000000,56500
2017-05-10,5.950000,6.050000,5.950000,6.040000,6.040000,18500
2017-05-11,6.050000,6.050000,5.950000,5.950000,5.950000,41500
2017-05-12,5.970000,6.050000,5.950000,6.030000,6.030000,32800
2017-05-15,6.050000,6.150000,5.940000,6.150000,6.150000,100800
2017-05-16,6.150000,6.350000,6.150000,6.250000,6.250000,84100
2017-05-17,6.300000,6.350000,6.150000,6.200000,6.200000,17200
2017-05-18,6.250000,6.250000,6.100000,6.250000,6.250000,27700
2017-05-19,6.200000,6.300000,6.200000,6.300000,6.300000,5600
2017-05-22,6.250000,6.350000,6.230000,6.300000,6.300000,5100
2017-05-23,6.300000,6.350000,6.300000,6.300000,6.300000,3100
2017-05-24,6.290000,6.300000,6.250000,6.250000,6.250000,12300
2017-05-25,6.250000,6.250000,6.200000,6.250000,6.250000,3400
2017-05-26,6.300000,6.300000,6.200000,6.250000,6.250000,11000
2017-05-30,6.150000,6.250000,6.150000,6.230000,6.230000,16300
2017-05-31,6.200000,6.250000,6.130000,6.200000,6.200000,18500
2017-06-01,6.200000,6.250000,6.150000,6.150000,6.150000,1800
2017-06-02,6.150000,6.250000,6.150000,6.200000,6.200000,15800
2017-06-05,6.210000,6.240000,6.150000,6.200000,6.200000,18000
2017-06-06,6.150000,6.200000,6.100000,6.120000,6.120000,4600
2017-06-07,6.200000,6.200000,6.050000,6.150000,6.150000,11800
2017-06-08,6.150000,6.150000,6.060000,6.150000,6.150000,1800
2017-06-09,6.100000,6.130000,6.050000,6.100000,6.100000,4600
