Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,48.320000,48.320000,47.060001,47.220001,46.348885,51700
2017-01-04,47.509998,47.759998,47.139999,47.500000,46.623722,79500
2017-01-05,47.500000,47.500000,46.250000,46.419998,45.563644,54900
2017-01-06,46.490002,46.520000,45.910000,45.959999,45.112133,73800
2017-01-09,45.799999,45.799999,44.959999,44.959999,44.130577,123000
2017-01-10,44.959999,45.230000,44.580002,45.130001,44.297447,279200
2017-01-11,45.029999,45.810001,44.590000,45.770000,44.925640,105900
2017-01-12,45.549999,45.840000,44.330002,44.930000,44.101135,50000
2017-01-13,45.130001,46.450001,45.130001,45.799999,44.955082,71700
2017-01-17,45.400002,45.400002,44.169998,44.230000,43.414043,58100
2017-01-18,44.450001,44.450001,43.779999,44.189999,43.374786,58100
2017-01-19,44.189999,44.189999,43.500000,43.580002,42.776039,33100
2017-01-20,43.880001,44.689999,43.799999,44.180000,43.364971,84000
2017-01-23,43.900002,45.110001,43.290001,43.799999,43.177670,27400
2017-01-24,44.119999,44.970001,43.560001,44.799999,44.163460,42100
2017-01-25,45.700001,46.090000,45.200001,45.709999,45.060532,56600
2017-01-26,45.939999,46.619999,45.790001,46.279999,45.622433,66600
2017-01-27,46.360001,46.560001,45.380001,45.720001,45.070389,61000
2017-01-30,45.419998,45.419998,44.000000,44.220001,43.591705,54300
2017-01-31,44.759998,44.919998,43.930000,44.419998,43.788860,52100
2017-02-01,44.869999,45.580002,44.240002,44.310001,43.680424,61700
2017-02-02,44.250000,44.540001,43.450001,43.590000,42.970657,65900
2017-02-03,44.139999,44.790001,44.029999,44.669998,44.035309,57800
2017-02-06,44.459999,44.799999,43.889999,43.919998,43.295963,39100
2017-02-07,44.119999,44.279999,43.360001,43.590000,42.970657,48200
2017-02-08,43.220001,43.540001,42.500000,42.900002,42.290459,124300
2017-02-09,43.110001,44.230000,42.349998,43.680000,43.059376,51400
2017-02-10,43.930000,44.130001,43.560001,44.029999,43.404404,31700
2017-02-13,44.430000,44.970001,44.169998,44.349998,43.719852,44700
2017-02-14,44.509998,45.340000,43.919998,45.320000,44.676075,79200
2017-02-15,45.320000,45.799999,44.790001,45.570000,44.922520,74300
2017-02-16,45.570000,45.849998,45.169998,45.669998,45.021099,43500
2017-02-17,45.570000,45.990002,45.169998,45.930000,45.277409,88200
2017-02-21,46.000000,46.330002,45.509998,46.070000,45.415417,44700
2017-02-22,45.910000,46.540001,45.630001,46.500000,45.839306,79600
2017-02-23,46.430000,46.590000,45.740002,46.520000,45.859024,58900
2017-02-24,45.919998,46.310001,45.919998,46.200001,45.543571,80200
2017-02-27,46.209999,46.209999,45.919998,46.060001,45.405563,54200
2017-02-28,45.939999,45.939999,45.099998,45.389999,44.745079,88300
2017-03-01,46.060001,47.160000,46.060001,46.840000,46.174477,61900
2017-03-02,46.900002,46.900002,45.820000,45.930000,45.277409,96500
2017-03-03,45.930000,46.709999,45.730000,45.970001,45.316841,44500
2017-03-06,45.500000,45.840000,45.169998,45.700001,45.050674,51500
2017-03-07,45.660000,45.900002,45.020000,45.330002,44.685932,36400
2017-03-08,45.820000,45.820000,44.669998,44.810001,44.173325,50700
2017-03-09,45.049999,45.430000,44.320000,44.389999,43.759289,68700
2017-03-10,44.790001,44.980000,43.869999,44.619999,43.986019,58200
2017-03-13,44.660000,44.930000,44.240002,44.610001,43.976166,19500
2017-03-14,44.389999,45.040001,44.029999,44.540001,43.907158,77100
2017-03-15,44.560001,44.980000,44.139999,44.470001,43.838150,50100
2017-03-16,44.770000,45.230000,44.439999,44.869999,44.232468,120500
2017-03-17,44.610001,45.279999,44.610001,45.099998,44.459198,150500
2017-03-20,45.009998,45.009998,44.130001,44.250000,43.621277,50800
2017-03-21,44.650002,44.650002,41.799999,41.830002,41.235664,103200
2017-03-22,41.439999,42.139999,40.880001,41.750000,41.156796,92500
2017-03-23,41.779999,42.689999,41.560001,42.139999,41.541256,51100
2017-03-24,42.250000,42.630001,41.759998,41.959999,41.363811,83300
2017-03-27,41.299999,41.790001,39.680000,41.709999,41.117367,100300
2017-03-28,41.360001,42.650002,41.049999,42.639999,42.034153,77900
2017-03-29,42.549999,42.549999,41.889999,42.160000,41.560974,31400
2017-03-30,42.259998,43.450001,42.259998,43.279999,42.665054,70700
2017-03-31,43.230000,43.639999,42.980000,43.119999,42.507328,87100
2017-04-03,43.169998,43.580002,42.430000,42.950001,42.339748,62900
2017-04-04,42.689999,43.070000,42.549999,42.860001,42.251026,48200
2017-04-05,43.250000,43.770000,42.169998,42.220001,41.620125,84400
2017-04-06,42.180000,42.639999,41.799999,42.330002,41.728558,149600
2017-04-07,42.169998,42.610001,41.930000,42.380001,41.777847,172700
2017-04-10,42.599998,43.020000,41.810001,42.240002,41.639835,60800
2017-04-11,42.080002,43.060001,42.049999,43.040001,42.428467,42200
2017-04-12,42.970001,44.349998,42.310001,42.830002,42.221455,80600
2017-04-13,42.709999,42.950001,41.709999,41.730000,41.137077,53400
2017-04-17,42.040001,42.509998,41.380001,42.459999,41.856709,37500
2017-04-18,42.070000,42.580002,41.849998,42.410000,41.807419,34500
2017-04-19,42.759998,43.389999,42.720001,42.930000,42.320034,39800
2017-04-20,43.209999,44.400002,43.209999,44.389999,43.759289,95200
2017-04-21,43.990002,44.299999,43.470001,44.110001,43.699844,104100
2017-04-24,44.630001,45.590000,44.470001,44.529999,44.115940,73100
2017-04-25,45.610001,48.700001,45.610001,47.970001,47.523952,119600
2017-04-26,48.240002,48.299999,47.669998,47.700001,47.256466,112600
2017-04-27,47.799999,47.860001,46.750000,46.840000,46.404461,69100
2017-04-28,46.990002,47.049999,45.619999,45.660000,45.235432,69500
2017-05-01,45.790001,46.270000,45.580002,45.970001,45.542553,61100
2017-05-02,45.959999,47.080002,45.259998,45.349998,44.928310,47900
2017-05-03,45.220001,45.990002,45.220001,45.669998,45.245338,57400
2017-05-04,46.000000,46.000000,45.209999,45.720001,45.294876,47900
2017-05-05,45.980000,45.980000,44.880001,45.799999,45.374130,80800
2017-05-08,45.709999,46.200001,45.430000,45.820000,45.393944,39000
2017-05-09,46.000000,46.130001,45.080002,45.419998,44.997662,40800
2017-05-10,45.400002,45.650002,45.009998,45.259998,44.839149,49500
