Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,16.150000,16.150000,16.120001,16.120001,15.876010,400
2017-01-04,16.150000,16.150000,16.120001,16.120001,15.876010,700
2017-01-05,15.870000,16.120001,15.850000,16.120001,15.876010,1200
2017-01-06,15.970000,15.970000,15.970000,15.970000,15.728280,1200
2017-01-09,16.000000,16.000000,16.000000,16.000000,15.757826,700
2017-01-10,15.950000,15.950000,15.930000,15.930000,15.688886,1700
2017-01-11,15.930000,15.930000,15.930000,15.930000,15.688886,0
2017-01-12,15.930000,15.930000,15.930000,15.930000,15.688886,0
2017-01-13,16.000000,16.000000,15.980000,16.000000,15.757826,1700
2017-01-17,15.870000,15.870000,15.870000,15.870000,15.629793,900
2017-01-18,15.980000,15.980000,15.980000,15.980000,15.738128,100
2017-01-19,15.900000,15.900000,15.900000,15.900000,15.659338,200
2017-01-20,16.000000,16.000000,15.840000,15.850000,15.610097,3300
2017-01-23,15.800000,15.800000,15.800000,15.800000,15.560854,900
2017-01-24,15.800000,15.800000,15.800000,15.800000,15.560854,0
2017-01-25,15.900000,15.900000,15.900000,15.900000,15.659338,3000
2017-01-26,15.800000,15.900000,15.750000,15.810000,15.570703,3300
2017-01-27,15.900000,15.900000,15.840000,15.840000,15.600247,1700
2017-01-30,15.840000,15.840000,15.840000,15.840000,15.600247,0
2017-01-31,15.840000,15.840000,15.840000,15.840000,15.600247,0
2017-02-01,15.840000,15.840000,15.840000,15.840000,15.600247,0
2017-02-02,15.820000,15.890000,15.820000,15.890000,15.649491,1400
2017-02-03,15.890000,15.900000,15.850000,15.850000,15.610097,2300
2017-02-06,15.900000,15.900000,15.490000,15.590000,15.354033,1500
2017-02-07,15.880000,15.900000,15.880000,15.900000,15.659338,900
2017-02-08,15.900000,15.900000,15.900000,15.900000,15.659338,0
2017-02-09,15.900000,15.900000,15.900000,15.900000,15.659338,0
2017-02-10,15.500000,15.730000,15.170000,15.700000,15.462367,2800
2017-02-13,15.900000,15.950000,15.900000,15.950000,15.708583,1900
2017-02-14,15.940000,15.950000,15.940000,15.950000,15.708583,900
2017-02-15,15.930000,15.930000,15.910000,15.910000,15.669188,400
2017-02-16,15.910000,15.910000,15.910000,15.910000,15.669188,0
2017-02-17,15.910000,15.910000,15.910000,15.910000,15.669188,0
2017-02-21,15.910000,15.910000,15.910000,15.910000,15.748376,0
2017-02-22,15.900000,15.900000,15.610000,15.610000,15.451424,1800
2017-02-23,15.860000,15.860000,15.860000,15.860000,15.698883,100
2017-02-24,15.860000,15.860000,15.860000,15.860000,15.698883,0
2017-02-27,15.800000,15.800000,15.420000,15.800000,15.639494,2800
2017-02-28,15.800000,15.800000,15.800000,15.800000,15.639494,0
2017-03-01,15.790000,15.790000,15.400000,15.400000,15.243556,300
2017-03-02,15.750000,15.750000,15.750000,15.750000,15.590001,100
2017-03-03,15.750000,15.750000,15.750000,15.750000,15.590001,0
2017-03-06,15.400000,15.400000,15.400000,15.400000,15.243556,1500
2017-03-07,15.550000,15.550000,15.550000,15.550000,15.392033,500
2017-03-08,15.500000,15.500000,15.500000,15.500000,15.342542,300
2017-03-09,15.500000,15.500000,15.500000,15.500000,15.342542,0
2017-03-10,15.400000,15.400000,15.350000,15.350000,15.194065,300
2017-03-13,15.420000,15.420000,15.420000,15.420000,15.263353,600
2017-03-14,15.420000,15.420000,15.420000,15.420000,15.263353,0
2017-03-15,15.450000,15.450000,15.310000,15.310000,15.154471,500
2017-03-16,15.310000,15.310000,15.310000,15.310000,15.154471,0
2017-03-17,15.450000,15.750000,15.450000,15.750000,15.590001,1300
2017-03-20,15.810000,15.850000,15.810000,15.810000,15.649392,1200
2017-03-21,15.800000,15.850000,15.800000,15.850000,15.688985,2700
2017-03-22,15.850000,15.850000,15.850000,15.850000,15.688985,0
2017-03-23,15.850000,15.850000,15.850000,15.850000,15.688985,0
2017-03-24,15.850000,15.850000,15.850000,15.850000,15.688985,0
