Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,43.480000,44.189999,42.560001,43.110001,42.619644,171300
2017-01-04,43.360001,44.160000,42.570000,44.090000,43.588497,198200
2017-01-05,43.980000,43.980000,42.259998,42.639999,42.154987,129100
2017-01-06,43.060001,43.169998,42.459999,42.709999,42.224194,149400
2017-01-09,42.500000,42.500000,41.459999,41.540001,41.067501,211300
2017-01-10,41.240002,43.090000,41.160000,42.950001,42.461464,156900
2017-01-11,42.930000,43.410000,42.419998,43.340000,42.847027,153500
2017-01-12,43.070000,43.070000,41.230000,41.970001,41.492607,128000
2017-01-13,42.330002,43.490002,42.259998,42.529999,42.046238,99400
2017-01-17,42.430000,42.430000,40.740002,40.820000,40.355690,173400
2017-01-18,41.049999,41.759998,40.439999,41.709999,41.235565,154200
2017-01-19,41.770000,41.770000,40.560001,40.669998,40.207397,166400
2017-01-20,40.939999,41.529999,40.650002,41.029999,40.563301,324000
2017-01-23,40.830002,41.520000,40.119999,41.099998,40.632507,118600
2017-01-24,41.480000,42.250000,41.000000,41.980000,41.502495,187400
2017-01-25,40.139999,41.509998,38.330002,41.500000,41.027958,1055400
2017-01-26,41.480000,42.849998,40.939999,42.509998,42.026466,473800
2017-01-27,42.000000,42.240002,41.880001,41.910000,41.433292,380900
2017-01-30,41.529999,41.779999,40.810001,41.200001,40.731365,434100
2017-01-31,41.230000,41.840000,40.939999,41.320000,40.850002,151000
2017-02-01,41.959999,42.299999,41.060001,41.310001,40.840118,171200
2017-02-02,40.889999,41.009998,40.080002,40.349998,40.036411,232300
2017-02-03,41.130001,41.990002,40.820000,41.910000,41.584286,236800
2017-02-06,41.709999,41.919998,40.810001,40.889999,40.572216,169800
2017-02-07,41.099998,41.169998,40.369999,40.660000,40.344002,216700
2017-02-08,40.490002,41.759998,39.689999,40.310001,39.996723,263200
2017-02-09,40.410000,41.040001,40.099998,40.799999,40.482914,194200
2017-02-10,40.599998,41.720001,40.599998,41.580002,41.256851,195000
2017-02-13,41.900002,42.320000,41.720001,42.060001,41.733124,244200
2017-02-14,42.009998,42.610001,41.480000,42.549999,42.219315,137200
2017-02-15,42.529999,43.209999,42.200001,43.080002,42.745193,216400
2017-02-16,43.000000,43.049999,42.290001,42.889999,42.556671,278500
2017-02-17,42.540001,42.750000,42.119999,42.529999,42.199467,191300
2017-02-21,42.680000,43.619999,42.500000,43.599998,43.261150,291700
2017-02-22,43.360001,43.610001,42.570000,43.509998,43.171852,187900
2017-02-23,43.529999,43.900002,42.590000,43.860001,43.519131,252600
2017-02-24,43.150002,43.230000,42.709999,43.000000,42.665817,121800
2017-02-27,43.110001,43.500000,42.750000,43.480000,43.142086,190500
2017-02-28,43.209999,43.349998,42.500000,42.590000,42.259003,260500
2017-03-01,43.470001,44.250000,43.150002,44.189999,43.846565,307200
2017-03-02,44.480000,44.939999,42.270000,42.310001,41.981182,140900
2017-03-03,42.270000,43.160000,42.009998,42.599998,42.268925,134300
2017-03-06,42.110001,42.720001,41.680000,42.439999,42.110168,103300
2017-03-07,42.439999,42.939999,42.029999,42.349998,42.020866,78000
2017-03-08,42.799999,43.119999,41.230000,41.250000,40.929417,146300
2017-03-09,41.290001,42.209999,41.090000,41.320000,40.998871,188800
2017-03-10,41.029999,41.669998,40.759998,41.439999,41.117939,214700
2017-03-13,41.419998,42.110001,41.290001,41.990002,41.663670,118400
2017-03-14,41.669998,42.090000,41.160000,41.889999,41.564442,130000
2017-03-15,42.060001,42.200001,41.529999,41.770000,41.445377,213700
