Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,37.770000,37.970001,37.119999,37.520000,36.869473,56300
2017-01-04,37.419998,37.750000,37.139999,37.650002,36.997223,40700
2017-01-05,37.529999,37.750000,36.320000,36.779999,36.142303,55100
2017-01-06,36.950001,37.009998,36.700001,36.869999,36.230740,25700
2017-01-09,36.580002,36.580002,35.759998,35.880001,35.257908,44700
2017-01-10,35.790001,36.520000,34.900002,36.480000,35.847507,41600
2017-01-11,36.470001,36.939999,36.450001,36.650002,36.014561,38000
2017-01-12,36.410000,36.709999,35.660000,36.310001,35.680454,38000
2017-01-13,36.560001,36.970001,36.299999,36.400002,35.768890,47800
2017-01-17,36.630001,37.849998,35.419998,35.490002,34.874672,62700
2017-01-18,35.000000,35.500000,32.520000,33.139999,32.565411,100800
2017-01-19,33.000000,33.000000,32.000000,32.150002,31.592581,68000
2017-01-20,32.180000,32.740002,32.180000,32.580002,32.015125,99400
2017-01-23,32.529999,33.490002,32.439999,32.750000,32.182178,28200
2017-01-24,32.790001,33.580002,32.439999,33.459999,32.879868,31800
2017-01-25,33.669998,33.939999,33.209999,33.849998,33.263103,42200
2017-01-26,33.799999,34.119999,33.419998,33.529999,32.948654,25400
2017-01-27,33.610001,33.610001,33.080002,33.349998,32.771770,19600
2017-01-30,33.130001,33.130001,32.250000,32.270000,31.710501,28800
2017-01-31,31.980000,32.419998,31.840000,32.299999,31.739977,37400
2017-02-01,32.459999,32.919998,31.570000,31.860001,31.307608,39700
2017-02-02,31.860001,32.209999,31.309999,31.660000,31.111076,100100
2017-02-03,32.049999,32.990002,32.040001,32.880001,32.309921,60200
2017-02-06,32.650002,32.830002,32.049999,32.110001,31.553274,16200
2017-02-07,32.150002,32.310001,31.500000,31.600000,31.052118,22400
2017-02-08,31.530001,31.530001,30.650000,31.129999,30.590263,26200
2017-02-09,31.150000,31.700001,30.959999,31.500000,30.953852,23000
2017-02-10,31.540001,31.730000,31.070000,31.510000,30.963676,25700
2017-02-13,31.840000,32.490002,31.379999,32.320000,31.759632,50300
2017-02-14,32.110001,32.590000,32.099998,32.509998,31.946337,24900
2017-02-15,32.459999,32.959999,32.410000,32.779999,32.211655,23400
2017-02-16,32.830002,33.220001,32.810001,33.110001,32.535938,35600
2017-02-17,33.029999,33.470001,32.810001,33.450001,32.870041,46100
2017-02-21,33.520000,33.709999,33.340000,33.599998,33.017437,30000
2017-02-22,33.360001,33.610001,33.259998,33.529999,32.948654,22000
2017-02-23,33.720001,33.759998,33.310001,33.660000,33.076401,21800
2017-02-24,33.220001,33.799999,33.220001,33.500000,32.919174,18700
2017-02-27,33.450001,33.770000,33.419998,33.509998,32.928997,19400
2017-02-28,33.439999,33.610001,33.250000,33.439999,32.860210,39500
2017-03-01,34.080002,34.500000,33.720001,33.799999,33.213970,24000
2017-03-02,33.889999,33.889999,33.250000,33.400002,32.820911,55900
2017-03-03,33.400002,33.730000,33.310001,33.610001,33.027264,29900
2017-03-06,33.669998,33.669998,33.299999,33.520000,32.938828,32200
2017-03-07,33.240002,33.669998,33.240002,33.500000,32.919174,34300
2017-03-08,33.459999,34.240002,32.950001,33.130001,32.731461,25500
2017-03-09,32.720001,32.900002,31.600000,31.930000,31.545895,77700
2017-03-10,32.290001,32.290001,31.500000,31.820000,31.437218,26700
2017-03-13,31.820000,32.439999,31.740000,31.799999,31.417458,20000
2017-03-14,31.559999,31.799999,31.320000,31.690001,31.308783,15600
2017-03-15,32.060001,32.740002,32.060001,32.630001,32.237476,206300
2017-03-16,32.650002,33.380001,32.650002,33.139999,32.741341,24400
2017-03-17,33.070000,34.270000,33.070000,34.150002,33.739189,79300
2017-03-20,34.090000,34.259998,33.750000,33.880001,33.472439,56000
2017-03-21,34.000000,34.000000,33.410000,33.650002,33.245205,125700
2017-03-22,33.560001,33.599998,33.099998,33.250000,32.850014,63300
2017-03-23,33.349998,34.500000,33.200001,34.330002,33.917027,50300
2017-03-24,34.380001,34.439999,32.939999,33.869999,33.462555,63200
2017-03-27,33.369999,34.450001,33.139999,34.250000,33.837986,56000
2017-03-28,34.180000,34.580002,33.900002,34.360001,33.946663,35200
2017-03-29,34.299999,36.560001,34.250000,36.410000,35.972000,132700
2017-03-30,36.459999,36.540001,35.320000,35.330002,34.904995,90600
2017-03-31,35.439999,35.439999,34.360001,34.400002,33.986183,75600
2017-04-03,34.470001,34.660000,34.020000,34.570000,34.154137,42800
2017-04-04,34.529999,34.669998,34.130001,34.220001,33.808346,23800
2017-04-05,34.540001,34.709999,32.849998,32.939999,32.543743,40200
2017-04-06,32.980000,33.439999,32.840000,33.340000,32.938934,29100
2017-04-07,33.090000,33.430000,32.990002,33.320000,32.919174,17600
2017-04-10,33.410000,33.540001,32.410000,32.590000,32.197956,50600
2017-04-11,32.509998,33.349998,32.430000,33.250000,32.850014,49100
2017-04-12,33.119999,33.119999,32.380001,32.599998,32.207832,25500
2017-04-13,32.230000,32.470001,31.700001,31.879999,31.496494,51000
2017-04-17,31.870001,32.810001,31.719999,32.770000,32.375790,26300
2017-04-18,32.639999,33.500000,31.580000,33.299999,32.899410,37800
2017-04-19,33.500000,33.500000,32.419998,32.919998,32.523983,84200
2017-04-20,33.220001,33.500000,32.990002,33.480000,33.077248,46600
2017-04-21,33.500000,33.959999,33.259998,33.689999,33.284721,47300
2017-04-24,34.480000,35.570000,34.349998,35.139999,34.717278,38600
2017-04-25,35.459999,35.459999,34.209999,34.880001,34.460407,48300
2017-04-26,34.840000,36.049999,34.439999,35.540001,35.112469,44700
2017-04-27,35.619999,35.939999,34.290001,34.340000,33.926907,37400
2017-04-28,34.470001,34.470001,33.520000,33.630001,33.225445,26700
2017-05-01,33.619999,34.240002,33.590000,33.810001,33.403278,19900
2017-05-02,34.360001,34.360001,33.599998,33.889999,33.482315,31200
2017-05-03,33.790001,33.790001,33.389999,33.650002,33.245205,24300
2017-05-04,33.869999,34.240002,33.430000,33.619999,33.215565,20900
2017-05-05,32.619999,34.130001,32.439999,33.750000,33.344002,34200
2017-05-08,33.599998,33.950001,33.200001,33.349998,32.948811,39900
2017-05-09,33.320000,33.560001,32.919998,33.169998,32.770973,26100
2017-05-10,32.419998,33.200001,32.389999,33.000000,32.603024,27800
2017-05-11,32.730000,32.900002,32.340000,32.590000,32.197956,23800
2017-05-12,32.410000,32.590000,31.709999,31.959999,31.575533,14700
2017-05-15,32.000000,32.759998,32.000000,32.709999,32.316509,24200
2017-05-16,32.430000,32.939999,32.080002,32.639999,32.247353,19900
2017-05-17,31.900000,32.029999,31.139999,31.219999,30.844435,36600
2017-05-18,31.549999,31.870001,31.299999,31.459999,31.081547,32700
2017-05-19,31.459999,31.900000,31.059999,31.209999,30.834555,37800
2017-05-22,31.320000,31.930000,31.100000,31.600000,31.219864,25000
2017-05-23,31.670000,32.090000,31.559999,31.860001,31.476738,16000
2017-05-24,31.959999,31.959999,31.260000,31.299999,30.923471,11200
2017-05-25,31.420000,31.420000,30.830000,31.000000,30.627083,36300
2017-05-26,31.000000,31.650000,30.590000,31.389999,31.012388,29600
2017-05-30,31.230000,31.480000,30.799999,31.170000,30.795038,25900
2017-05-31,31.090000,31.190001,30.420000,31.070000,30.696239,57100
2017-06-01,31.430000,31.680000,30.650000,31.670000,31.289021,25800
2017-06-02,31.670000,33.139999,31.670000,32.070000,31.684210,42700
2017-06-05,32.070000,32.240002,31.160000,31.230000,30.854315,22600
2017-06-06,31.230000,31.299999,30.660000,31.160000,30.785156,19800
2017-06-07,31.879999,31.879999,30.770000,31.160000,30.964025,14600
2017-06-08,31.389999,32.400002,31.290001,32.250000,32.047169,31800
2017-06-09,32.400002,33.740002,32.400002,33.549999,33.338993,50300
2017-06-12,33.380001,34.410000,32.560001,33.169998,32.961384,32300
2017-06-13,34.160000,34.160000,32.669998,33.279999,33.070690,38000
2017-06-14,33.200001,33.700001,32.549999,33.049999,32.842136,42700
2017-06-15,32.599998,33.349998,32.599998,32.959999,32.752705,26700
2017-06-16,32.750000,33.509998,32.700001,33.060001,32.852077,60200
2017-06-19,32.880001,33.430000,32.740002,32.759998,32.553959,23900
2017-06-20,32.750000,33.150002,32.220001,32.459999,32.255848,30900
2017-06-21,32.529999,33.279999,31.420000,31.570000,31.371447,33700
2017-06-22,31.670000,32.759998,31.250000,31.740000,31.540377,18800
2017-06-23,31.730000,32.380001,31.250000,32.090000,31.888176,71000
2017-06-26,31.910000,32.250000,31.400000,31.590000,31.391321,35600
2017-06-27,31.580000,32.160000,31.170000,31.450001,31.252203,45100
2017-06-28,31.610001,32.230000,31.219999,31.590000,31.391321,85200
2017-06-29,31.940001,32.680000,31.129999,31.680000,31.480755,66800
2017-06-30,31.680000,32.290001,31.370001,31.480000,31.282013,112200
2017-07-03,31.510000,33.230000,31.440001,32.950001,32.742767,31900
2017-07-05,32.830002,32.889999,31.860001,32.560001,32.355221,18300
2017-07-06,32.480000,32.540001,31.570000,31.799999,31.599998,33100
2017-07-07,31.870001,32.430000,31.730000,32.310001,32.106792,22900
2017-07-10,32.220001,32.270000,31.709999,31.799999,31.599998,16100
2017-07-11,31.620001,31.950001,31.000000,31.400000,31.202515,24000
2017-07-12,31.389999,32.049999,31.389999,32.009998,31.808678,25200
2017-07-13,31.980000,31.980000,31.340000,31.799999,31.599998,13600
2017-07-14,31.420000,31.830000,31.200001,31.530001,31.331699,19600
2017-07-17,31.540001,31.860001,31.150000,31.610001,31.411196,27600
2017-07-18,32.150002,32.400002,30.809999,32.099998,31.898111,32700
2017-07-19,31.629999,32.310001,31.350000,31.700001,31.500629,39200
2017-07-20,31.730000,31.730000,31.280001,31.610001,31.411196,37900
2017-07-21,31.930000,31.940001,31.360001,31.520000,31.321762,46800
