Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,7.650000,8.150000,7.650000,7.900000,7.340384,128600
2017-01-04,8.000000,8.100000,7.900000,8.000000,7.433300,102400
2017-01-05,8.100000,8.100000,8.000000,8.050000,7.479758,105000
2017-01-06,8.150000,8.150000,7.950000,7.950000,7.386842,75500
2017-01-09,7.950000,8.000000,7.630000,7.750000,7.201009,92100
2017-01-10,7.900000,8.000000,7.800000,7.900000,7.340384,75600
2017-01-11,7.700000,7.700000,7.550000,7.600000,7.207612,35800
2017-01-12,7.750000,7.750000,7.000000,7.300000,6.923101,151000
2017-01-13,7.300000,7.350000,7.300000,7.300000,6.923101,56600
2017-01-17,7.300000,7.300000,7.050000,7.050000,6.686009,72500
2017-01-18,7.150000,7.200000,7.000000,7.150000,6.780846,61000
2017-01-19,7.150000,7.300000,7.150000,7.250000,6.875682,30700
2017-01-20,7.250000,7.300000,7.100000,7.200000,6.828264,81100
2017-01-23,7.200000,7.300000,7.100000,7.200000,6.828264,52800
2017-01-24,7.250000,7.600000,7.150000,7.450000,7.065356,75400
2017-01-25,7.500000,7.550000,7.420000,7.500000,7.112775,33100
2017-01-26,7.450000,7.640000,7.280000,7.300000,6.923101,53800
2017-01-27,7.350000,7.350000,7.050000,7.100000,6.733427,42300
2017-01-30,7.050000,7.100000,6.700000,6.900000,6.543753,70300
2017-01-31,6.950000,7.080000,6.800000,6.950000,6.591171,159600
2017-02-01,7.050000,7.250000,6.950000,6.950000,6.591171,88100
2017-02-02,7.000000,7.030000,6.900000,6.950000,6.591171,33200
2017-02-03,7.100000,7.300000,6.950000,7.100000,6.733427,77600
2017-02-06,7.100000,7.300000,7.060000,7.100000,6.733427,39000
2017-02-07,7.200000,7.200000,6.900000,6.900000,6.543753,58100
2017-02-08,6.900000,6.910000,6.600000,6.650000,6.306661,86300
2017-02-09,6.650000,6.800000,6.550000,6.600000,6.259242,57000
2017-02-10,6.550000,6.680000,6.350000,6.350000,6.022150,237200
2017-02-13,6.550000,6.550000,6.250000,6.450000,6.116986,169800
2017-02-14,6.450000,6.500000,6.350000,6.400000,6.069568,138700
2017-02-15,6.400000,6.530000,6.400000,6.500000,6.164405,76200
2017-02-16,6.450000,6.600000,6.450000,6.450000,6.116986,73500
2017-02-17,6.450000,6.700000,6.450000,6.500000,6.164405,119800
2017-02-21,6.500000,6.600000,6.450000,6.500000,6.164405,149700
2017-02-22,6.500000,6.550000,6.450000,6.500000,6.164405,94900
2017-02-23,6.550000,6.550000,6.350000,6.500000,6.164405,136400
2017-02-24,6.500000,6.550000,6.400000,6.450000,6.116986,75900
2017-02-27,6.450000,6.650000,6.300000,6.400000,6.069568,180600
2017-02-28,6.400000,6.400000,6.250000,6.250000,5.927312,147900
2017-03-01,6.300000,6.700000,6.250000,6.400000,6.069568,169900
2017-03-02,6.350000,6.480000,6.000000,6.250000,5.927312,1151700
2017-03-03,6.250000,6.400000,6.250000,6.300000,5.974731,201900
2017-03-06,6.300000,6.350000,6.200000,6.250000,5.927312,84100
2017-03-07,6.300000,6.400000,6.200000,6.200000,5.879894,115100
