Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,79.779999,79.790001,78.400002,78.709999,77.979408,646000
2017-01-04,79.080002,81.099998,79.080002,80.709999,79.960854,849200
2017-01-05,80.430000,81.760002,80.430000,81.639999,80.882225,557500
2017-01-06,81.790001,83.900002,81.790001,83.400002,82.625885,597800
2017-01-09,83.120003,83.519997,82.589996,82.680000,81.912560,668100
2017-01-10,82.320000,82.599998,81.089996,81.519997,80.763336,558900
2017-01-11,81.230003,81.559998,80.839996,81.519997,80.763336,365500
2017-01-12,81.139999,81.599998,79.889999,81.250000,80.495834,403200
2017-01-13,81.750000,82.739998,81.430000,82.400002,81.635170,426500
2017-01-17,82.480003,82.730003,81.089996,81.099998,80.347229,502600
2017-01-18,81.720001,82.449997,80.379997,82.290001,81.526192,705200
2017-01-19,82.330002,82.620003,81.110001,81.160004,80.406677,499900
2017-01-20,81.480003,82.019997,81.320000,81.750000,80.991203,345200
2017-01-23,81.449997,82.239998,81.250000,82.129997,81.367668,471500
2017-01-24,82.379997,82.750000,81.529999,82.209999,81.446922,555000
2017-01-25,82.879997,83.110001,82.449997,82.720001,81.952194,473300
2017-01-26,82.639999,83.589996,81.989998,83.510002,82.734863,825600
2017-01-27,83.559998,83.830002,82.529999,82.760002,81.991821,509200
2017-01-30,82.379997,83.709999,81.320000,83.610001,82.833939,485700
2017-01-31,83.639999,83.650002,82.440002,82.750000,81.981918,523600
2017-02-01,83.199997,84.580002,82.620003,83.750000,82.972633,1071300
2017-02-02,85.220001,90.849998,84.690002,88.910004,88.084747,1723300
2017-02-03,89.970001,93.699997,89.970001,91.650002,90.799309,1640400
2017-02-06,91.760002,93.510002,91.650002,93.070000,92.206131,1481800
2017-02-07,93.669998,94.800003,92.330002,92.650002,91.790024,921600
2017-02-08,92.510002,93.169998,91.970001,92.610001,91.750389,580600
2017-02-09,92.610001,93.320000,90.160004,90.330002,89.491562,1591200
2017-02-10,90.879997,92.389999,90.419998,91.220001,90.373299,1110900
2017-02-13,91.629997,92.930000,91.480003,92.790001,91.928726,637100
2017-02-14,92.699997,96.330002,92.519997,93.949997,93.077957,2281600
2017-02-15,93.980003,95.080002,93.260002,94.580002,93.982208,799600
2017-02-16,94.680000,95.500000,93.559998,94.199997,93.604607,481000
2017-02-17,93.690002,94.570000,92.180000,94.269997,93.674156,489200
2017-02-21,94.050003,95.279999,93.919998,94.519997,93.922585,622700
2017-02-22,94.139999,95.650002,94.000000,94.949997,94.349861,534300
2017-02-23,94.870003,95.169998,93.970001,94.989998,94.389610,549500
2017-02-24,94.339996,95.720001,94.059998,95.540001,94.936142,501600
2017-02-27,95.430000,95.760002,94.589996,95.529999,94.926201,445100
2017-02-28,95.459999,95.459999,94.010002,94.589996,93.992142,865600
2017-03-01,95.070000,96.500000,95.010002,95.879997,95.273987,840500
2017-03-02,96.000000,96.040001,94.699997,94.949997,94.349861,634100
2017-03-03,94.970001,95.720001,94.949997,95.440002,94.836777,500500
2017-03-06,94.959999,95.239998,94.580002,94.750000,94.151131,409900
2017-03-07,94.839996,95.480003,94.720001,95.449997,94.846703,454900
2017-03-08,95.800003,95.800003,94.419998,94.459999,93.862961,479100
2017-03-09,94.830002,95.120003,93.709999,94.440002,93.843094,457500
2017-03-10,94.599998,95.019997,94.099998,94.870003,94.270378,546200
2017-03-13,95.459999,95.730003,94.680000,95.300003,94.697655,686100
2017-03-14,95.010002,96.760002,94.750000,96.330002,95.721146,776500
2017-03-15,108.510002,109.290001,96.699997,99.309998,98.682312,7131300
2017-03-16,99.330002,99.760002,97.440002,97.669998,97.052673,1163600
2017-03-17,97.489998,98.080002,97.070000,97.330002,96.714828,1185900
2017-03-20,97.279999,97.989998,96.290001,97.419998,96.804260,544600
2017-03-21,97.919998,98.370003,95.150002,95.550003,94.946083,620200
2017-03-22,95.809998,97.410004,95.059998,96.110001,95.502533,608300
2017-03-23,96.120003,98.250000,95.959999,97.120003,96.506157,470500
2017-03-24,97.199997,98.459999,96.430000,97.440002,96.824135,439600
2017-03-27,96.519997,97.239998,96.029999,96.620003,96.009315,458000
2017-03-28,96.610001,97.320000,96.180000,96.610001,95.999374,426900
2017-03-29,96.440002,96.820000,96.099998,96.400002,95.790703,278700
2017-03-30,96.290001,96.910004,96.150002,96.709999,96.098740,194300
2017-03-31,96.559998,97.930000,96.279999,97.190002,96.575714,428300
2017-04-03,97.470001,98.239998,96.349998,96.760002,96.148430,410400
2017-04-04,96.559998,97.250000,95.930000,96.589996,95.979500,570500
2017-04-05,97.040001,98.870003,96.660004,97.849998,97.231537,623100
2017-04-06,97.839996,97.959999,96.669998,97.790001,97.171913,303700
2017-04-07,97.349998,98.389999,96.940002,97.930000,97.311035,544100
2017-04-10,97.500000,98.339996,96.680000,97.250000,96.635330,299400
2017-04-11,97.230003,97.519997,95.010002,97.500000,96.883751,610300
2017-04-12,97.300003,97.860001,96.320000,97.309998,96.694954,385400
2017-04-13,97.110001,97.290001,95.849998,96.260002,95.651588,324800
2017-04-17,96.320000,98.000000,96.279999,97.989998,97.370651,293800
2017-04-18,97.849998,98.629997,97.160004,97.699997,97.082481,297200
2017-04-19,97.989998,98.510002,97.639999,98.150002,97.529648,313600
2017-04-20,98.599998,99.089996,98.139999,98.730003,98.105980,228600
2017-04-21,98.849998,99.169998,97.639999,98.029999,97.410393,246900
2017-04-24,99.410004,99.410004,97.790001,98.660004,98.036423,369300
2017-04-25,99.550003,100.230003,99.050003,99.449997,98.821419,321900
2017-04-26,99.500000,99.830002,98.480003,99.620003,98.990356,376300
2017-04-27,99.910004,100.699997,99.720001,100.400002,99.765419,351000
2017-04-28,100.720001,100.769997,99.860001,100.320000,99.685928,288400
2017-05-01,100.919998,101.620003,99.110001,100.629997,99.993965,309200
2017-05-02,100.720001,101.980003,100.220001,101.940002,101.295685,384100
2017-05-03,101.199997,101.889999,100.120003,101.410004,100.769043,707500
2017-05-04,101.209999,101.599998,96.389999,97.589996,96.973175,1024200
2017-05-05,97.839996,99.610001,96.739998,99.540001,98.910858,502600
2017-05-08,99.570000,99.849998,97.059998,98.209999,97.589264,385500
2017-05-09,98.480003,98.900002,97.430000,97.650002,97.032806,402100
2017-05-10,97.720001,98.339996,96.769997,98.269997,97.648880,485700
2017-05-11,98.019997,98.550003,97.419998,98.279999,97.658821,255800
2017-05-12,98.110001,98.970001,97.230003,97.769997,97.152046,302500
2017-05-15,98.129997,99.379997,97.870003,98.800003,98.175537,551800
2017-05-16,98.879997,98.910004,97.900002,98.150002,97.529648,396100
2017-05-17,97.870003,97.879997,96.320000,97.019997,96.682594,460700
2017-05-18,96.940002,97.449997,96.120003,97.260002,96.921768,490400
2017-05-19,97.610001,99.129997,97.510002,98.879997,98.536125,283300
2017-05-22,99.050003,99.760002,98.410004,99.360001,99.014465,241000
2017-05-23,99.879997,99.879997,98.209999,98.910004,98.566032,253900
2017-05-24,99.000000,100.150002,98.529999,100.010002,99.662201,226500
2017-05-25,100.199997,101.230003,99.910004,100.930000,100.579002,221000
2017-05-26,100.629997,101.300003,100.279999,100.510002,100.160461,218500
2017-05-30,100.330002,101.000000,99.820000,100.070000,99.721992,293400
2017-05-31,100.750000,102.180000,100.250000,101.730003,101.376221,851400
2017-06-01,102.110001,104.059998,101.870003,104.019997,103.658257,349500
2017-06-02,103.970001,104.860001,103.480003,104.459999,104.096725,303000
2017-06-05,103.970001,105.400002,103.970001,104.589996,104.226273,272700
2017-06-06,104.199997,105.050003,103.800003,104.169998,103.807732,336200
2017-06-07,104.300003,104.860001,103.470001,103.930000,103.568573,278900
