Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,13.200000,13.450000,12.850000,13.350000,13.326221,93700
2017-01-04,13.490000,13.900000,13.400000,13.750000,13.725508,29900
2017-01-05,13.850000,14.150000,13.700000,14.000000,13.975062,58200
2017-01-06,14.150000,14.350000,13.900000,14.250000,14.224617,21900
2017-01-09,14.050000,14.150000,13.950000,14.100000,14.074884,29900
2017-01-10,14.100000,14.100000,13.350000,13.850000,13.825330,17800
2017-01-11,13.950000,14.000000,13.650000,13.950000,13.925152,30800
2017-01-12,13.550000,13.800000,13.350000,13.500000,13.475953,22500
2017-01-13,13.450000,13.650000,13.300000,13.300000,13.276310,15500
2017-01-17,13.200000,13.450000,13.050000,13.400000,13.376131,11000
2017-01-18,13.400000,13.750000,13.150000,13.750000,13.725508,16400
2017-01-19,13.530000,13.650000,13.200000,13.400000,13.376131,4600
2017-01-20,13.350000,13.500000,13.250000,13.450000,13.426042,2300
2017-01-23,13.350000,13.450000,13.100000,13.350000,13.326221,4200
2017-01-24,13.450000,13.500000,13.250000,13.450000,13.426042,4600
2017-01-25,13.450000,13.900000,13.250000,13.650000,13.625685,15400
2017-01-26,13.750000,14.100000,13.700000,14.050000,14.024973,11100
2017-01-27,13.950000,14.000000,13.510000,13.850000,13.825330,1600
2017-01-30,13.950000,14.000000,13.400000,13.800000,13.775418,9200
2017-01-31,14.750000,14.750000,14.000000,14.100000,14.074884,21000
2017-02-01,14.350000,14.500000,13.700000,13.750000,13.725508,15500
2017-02-02,13.800000,14.000000,13.750000,14.000000,13.975062,11300
2017-02-03,14.150000,14.150000,13.750000,13.900000,13.875239,38000
2017-02-06,13.950000,14.100000,13.200000,13.600000,13.575775,30900
2017-02-07,13.500000,13.550000,13.400000,13.550000,13.525865,9500
2017-02-08,13.500000,13.750000,13.350000,13.700000,13.675596,8100
2017-02-09,13.400000,13.950000,13.400000,13.550000,13.525865,23800
2017-02-10,13.400000,13.450000,13.350000,13.450000,13.426042,11200
2017-02-13,13.550000,13.700000,13.200000,13.350000,13.336136,26300
2017-02-14,13.300000,13.500000,12.950000,13.250000,13.236239,66200
