Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,5.960000,6.000000,5.850000,5.940000,5.940000,494900
2017-01-04,6.020000,6.080000,6.010000,6.070000,6.070000,180200
2017-01-05,6.030000,6.090000,6.000000,6.080000,6.080000,185600
2017-01-06,6.040000,6.060000,6.010000,6.040000,6.040000,152500
2017-01-09,6.030000,6.030000,5.970000,5.970000,5.970000,108200
2017-01-10,5.940000,5.980000,5.930000,5.950000,5.950000,84600
2017-01-11,5.980000,6.050000,5.980000,6.030000,6.030000,101100
2017-01-12,6.040000,6.050000,5.980000,6.040000,6.040000,90900
2017-01-13,6.090000,6.120000,6.080000,6.090000,6.090000,67900
2017-01-17,6.010000,6.050000,5.940000,5.960000,5.960000,170100
2017-01-18,6.010000,6.060000,6.000000,6.050000,6.050000,95500
2017-01-19,6.070000,6.080000,6.020000,6.050000,6.050000,97200
2017-01-20,6.080000,6.100000,6.050000,6.080000,6.080000,52800
2017-01-23,6.080000,6.100000,6.050000,6.100000,6.100000,41800
2017-01-24,6.080000,6.140000,6.040000,6.140000,6.140000,148400
2017-01-25,6.150000,6.230000,6.130000,6.220000,6.220000,155400
2017-01-26,6.440000,6.450000,6.390000,6.430000,6.430000,119700
2017-01-27,6.330000,6.330000,6.240000,6.240000,6.240000,66200
2017-01-30,6.230000,6.230000,6.130000,6.200000,6.200000,253600
2017-01-31,6.210000,6.250000,6.140000,6.180000,6.180000,137200
2017-02-01,6.400000,6.400000,6.340000,6.350000,6.350000,606500
2017-02-02,6.440000,6.510000,6.370000,6.510000,6.510000,621700
2017-02-03,6.540000,6.610000,6.520000,6.600000,6.600000,238000
2017-02-06,6.550000,6.610000,6.530000,6.600000,6.600000,155600
2017-02-07,6.610000,6.620000,6.560000,6.600000,6.600000,78600
2017-02-08,6.610000,6.630000,6.580000,6.630000,6.630000,85900
2017-02-09,6.630000,6.690000,6.600000,6.680000,6.680000,122000
2017-02-10,6.680000,6.700000,6.660000,6.700000,6.700000,73400
2017-02-13,6.690000,6.800000,6.660000,6.760000,6.760000,1216400
2017-02-14,6.600000,6.690000,6.600000,6.670000,6.670000,1859900
2017-02-15,6.660000,6.710000,6.650000,6.700000,6.700000,155000
2017-02-16,6.670000,6.730000,6.670000,6.700000,6.700000,111700
2017-02-17,6.560000,6.640000,6.560000,6.630000,6.630000,112600
2017-02-21,6.680000,6.720000,6.640000,6.710000,6.710000,286500
2017-02-22,6.610000,6.650000,6.600000,6.650000,6.650000,124300
2017-02-23,6.510000,6.560000,6.510000,6.540000,6.540000,144400
2017-02-24,6.500000,6.510000,6.460000,6.500000,6.500000,67700
2017-02-27,6.450000,6.470000,6.420000,6.470000,6.470000,56700
2017-02-28,6.470000,6.510000,6.470000,6.490000,6.490000,77500
2017-03-01,6.610000,6.660000,6.590000,6.640000,6.640000,573600
2017-03-02,6.630000,6.630000,6.540000,6.560000,6.560000,111600
