Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,4.680000,4.780000,4.550000,4.660000,4.660000,772800
2017-01-04,4.700000,5.420000,4.695000,5.100000,5.100000,1933800
2017-01-05,5.130000,5.161000,4.760000,4.760000,4.760000,945500
2017-01-06,4.800000,4.890000,4.710000,4.830000,4.830000,387600
2017-01-09,4.830000,4.880000,4.750000,4.780000,4.780000,341400
2017-01-10,4.790000,4.960000,4.720000,4.920000,4.920000,308700
2017-01-11,4.890000,5.060000,4.810000,5.050000,5.050000,302900
2017-01-12,5.010000,5.020000,4.780000,4.850000,4.850000,278200
2017-01-13,4.900000,5.070000,4.880000,4.980000,4.980000,289000
2017-01-17,4.960000,5.139000,4.840000,4.850000,4.850000,174300
2017-01-18,4.870000,4.870000,4.660000,4.800000,4.800000,357300
2017-01-19,4.820000,4.878000,4.760000,4.800000,4.800000,451700
2017-01-20,4.790000,4.920000,4.760000,4.910000,4.910000,169900
2017-01-23,4.860000,4.990000,4.750000,4.880000,4.880000,350300
2017-01-24,4.960000,4.985000,4.800000,4.890000,4.890000,334100
2017-01-25,4.970000,5.031000,4.920000,4.930000,4.930000,218200
2017-01-26,4.940000,4.960000,4.820000,4.820000,4.820000,190400
2017-01-27,4.800000,4.830000,4.679000,4.780000,4.780000,243100
2017-01-30,4.730000,4.900000,4.550000,4.870000,4.870000,471300
2017-01-31,4.860000,5.060000,4.830000,5.030000,5.030000,212400
2017-02-01,5.110000,5.270000,5.030000,5.170000,5.170000,203100
2017-02-02,5.140000,5.149000,4.940000,4.970000,4.970000,156900
2017-02-03,5.060000,5.200000,5.030000,5.150000,5.150000,220000
2017-02-06,5.160000,5.340000,5.150000,5.190000,5.190000,332700
2017-02-07,5.210000,5.250000,5.140000,5.240000,5.240000,513000
2017-02-08,5.210000,5.300000,5.111000,5.290000,5.290000,239500
2017-02-09,5.310000,5.470000,5.300000,5.460000,5.460000,190300
2017-02-10,5.450000,5.710000,5.410000,5.680000,5.680000,295300
2017-02-13,5.710000,5.740000,5.500000,5.600000,5.600000,394900
2017-02-14,5.610000,5.740000,5.510000,5.690000,5.690000,307800
2017-02-15,5.650000,5.728000,5.460000,5.620000,5.620000,508000
2017-02-16,5.100000,5.140000,4.260000,5.010000,5.010000,2627500
2017-02-17,5.000000,5.000000,4.550000,4.890000,4.890000,1420700
2017-02-21,4.900000,5.290000,4.880000,5.190000,5.190000,966200
2017-02-22,5.140000,5.350000,5.070000,5.300000,5.300000,661200
2017-02-23,5.300000,5.600000,5.191000,5.530000,5.530000,725300
2017-02-24,5.470000,5.470000,5.370000,5.460000,5.460000,254400
2017-02-27,5.460000,5.770000,5.410000,5.760000,5.760000,452200
2017-02-28,5.760000,5.820000,5.320000,5.340000,5.340000,447900
2017-03-01,5.470000,5.520000,5.260000,5.300000,5.300000,468600
2017-03-02,5.250000,5.260000,5.060000,5.080000,5.080000,416600
2017-03-03,5.000000,5.060000,4.880000,4.900000,4.900000,419400
2017-03-06,4.800000,5.050000,4.750000,5.010000,5.010000,577400
2017-03-07,4.970000,5.060000,4.920000,4.950000,4.950000,259700
2017-03-08,4.970000,5.120000,4.880000,5.060000,5.060000,328800
2017-03-09,5.050000,5.090000,4.860000,4.860000,4.860000,243300
2017-03-10,4.900000,4.950000,4.750000,4.870000,4.870000,452400
2017-03-13,4.860000,4.930000,4.750000,4.860000,4.860000,265300
2017-03-14,4.850000,4.860000,4.580000,4.740000,4.740000,465800
2017-03-15,4.750000,4.790000,4.630000,4.640000,4.640000,384400
2017-03-16,4.650000,4.820000,4.600000,4.740000,4.740000,796900
2017-03-17,4.770000,4.835000,4.720000,4.750000,4.750000,635300
2017-03-20,4.740000,4.740000,4.580000,4.630000,4.630000,742100
2017-03-21,4.680000,4.690000,4.480000,4.500000,4.500000,404500
2017-03-22,4.470000,4.515000,4.370000,4.480000,4.480000,290700
2017-03-23,4.580000,4.970000,4.580000,4.770000,4.770000,832200
2017-03-24,4.780000,4.820000,4.570000,4.620000,4.620000,310400
2017-03-27,4.520000,4.720000,4.500000,4.710000,4.710000,684400
2017-03-28,4.680000,4.900000,4.650000,4.780000,4.780000,461700
2017-03-29,4.770000,4.890000,4.720000,4.800000,4.800000,388900
2017-03-30,4.800000,4.980000,4.760000,4.910000,4.910000,477100
2017-03-31,4.910000,5.330000,4.860000,5.040000,5.040000,922500
2017-04-03,5.040000,5.070000,4.650000,4.740000,4.740000,663500
2017-04-04,4.740000,4.830000,4.680000,4.710000,4.710000,549500
2017-04-05,4.750000,4.800000,4.550000,4.620000,4.620000,777200
2017-04-06,4.630000,4.710000,4.580000,4.630000,4.630000,307900
2017-04-07,4.590000,4.620000,4.390000,4.420000,4.420000,519500
2017-04-10,4.420000,4.530000,4.340000,4.510000,4.510000,266800
