Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,3.710000,3.710000,3.710000,3.710000,3.710000,200
2017-01-04,3.710000,3.710000,3.710000,3.710000,3.710000,0
2017-01-05,3.860000,3.880000,3.600000,3.600000,3.600000,4000
2017-01-06,3.600000,3.600000,3.600000,3.600000,3.600000,0
2017-01-09,3.670000,3.670000,3.530000,3.530000,3.530000,500
2017-01-10,3.530000,3.530000,3.520000,3.520000,3.520000,2300
2017-01-11,3.620000,3.710000,3.540000,3.630000,3.630000,8100
2017-01-12,3.580000,3.700000,3.520000,3.580000,3.580000,3000
2017-01-13,3.750000,5.250000,3.750000,3.810000,3.810000,95900
2017-01-17,3.930000,5.940000,3.930000,4.140000,4.140000,347800
2017-01-18,4.100000,4.590000,3.810000,3.910000,3.910000,41000
2017-01-19,3.940000,4.270000,3.850000,4.160000,4.160000,17200
2017-01-20,3.990000,4.060000,3.700000,4.040000,4.040000,12700
2017-01-23,3.900000,4.370000,3.860000,3.960000,3.960000,11400
2017-01-24,4.040000,4.150000,3.860000,3.960000,3.960000,12100
2017-01-25,3.950000,4.050000,3.850000,3.870000,3.870000,8200
2017-01-26,3.870000,4.370000,3.870000,4.250000,4.250000,40300
2017-01-27,4.100000,4.370000,3.850000,3.970000,3.970000,50800
2017-01-30,3.980000,4.040000,3.900000,3.910000,3.910000,5000
2017-01-31,3.910000,4.000000,3.870000,3.880000,3.880000,4000
2017-02-01,3.940000,4.030000,3.850000,3.850000,3.850000,29700
2017-02-02,3.900000,3.950000,3.890000,3.930000,3.930000,3000
2017-02-03,3.930000,3.930000,3.860000,3.880000,3.880000,5800
2017-02-06,3.880000,3.960000,3.860000,3.870000,3.870000,12600
2017-02-07,3.880000,4.010000,3.870000,3.960000,3.960000,13600
2017-02-08,3.910000,3.910000,3.910000,3.910000,3.910000,500
2017-02-09,3.940000,4.200000,3.880000,3.880000,3.880000,30500
2017-02-10,3.970000,4.170000,3.850000,3.870000,3.870000,5800
2017-02-13,3.850000,4.000000,3.850000,3.970000,3.970000,4400
