Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,6.050000,6.100000,5.800000,5.850000,5.493815,32900
2017-01-04,5.900000,5.950000,5.600000,5.950000,5.587726,30400
2017-01-05,5.750000,5.950000,5.750000,5.900000,5.540771,3600
2017-01-06,6.000000,6.000000,5.950000,6.000000,5.634682,7500
2017-01-09,6.000000,6.050000,6.000000,6.050000,5.681638,9900
2017-01-10,6.100000,6.100000,6.010000,6.100000,5.728593,9200
2017-01-11,6.009000,6.100000,6.000000,6.100000,5.728593,5600
2017-01-12,6.000000,6.050000,6.000000,6.050000,5.681638,2800
2017-01-13,6.000000,6.093000,6.000000,6.091000,5.720142,2300
2017-01-17,6.100000,6.100000,6.051000,6.051000,5.682577,8400
2017-01-18,6.050000,6.250000,6.050000,6.190000,5.813114,4500
2017-01-19,6.250000,6.250000,6.050000,6.150000,5.775549,16700
2017-01-20,6.059000,6.195000,6.059000,6.064000,5.694786,2900
2017-01-23,6.000000,6.150000,6.000000,6.137000,5.763341,2900
2017-01-24,6.199000,6.199000,6.100000,6.150000,5.775549,2800
2017-01-25,6.100000,6.199000,6.100000,6.109000,5.737046,1600
2017-01-26,6.132000,6.150000,6.060000,6.124000,5.751132,6800
2017-01-27,6.050000,6.150000,6.050000,6.100000,5.728593,8800
2017-01-30,6.050000,6.050000,5.650000,5.700000,5.352948,40400
2017-01-31,5.850000,6.000000,5.800000,6.000000,5.634682,4200
2017-02-01,6.050000,6.050000,6.050000,6.050000,5.681638,4700
2017-02-02,5.750000,6.026000,5.750000,6.026000,5.659099,300
2017-02-03,5.850000,6.044000,5.850000,5.924000,5.563309,5800
2017-02-06,5.800000,5.900000,5.750000,5.800000,5.446860,5800
2017-02-07,5.850000,5.910000,5.850000,5.872000,5.514476,14600
2017-02-08,5.891000,5.900000,5.800000,5.847000,5.490998,1000
2017-02-09,5.800000,5.850000,5.750000,5.800000,5.446860,15200
2017-02-10,5.750000,5.899000,5.500000,5.700000,5.352948,13200
2017-02-13,5.750000,5.900000,5.750000,5.850000,5.493815,6900
2017-02-14,5.892000,5.900000,5.892000,5.900000,5.540771,1500
2017-02-15,5.900000,5.900000,5.800000,5.900000,5.540771,6400
2017-02-16,5.900000,6.000000,5.860000,5.943000,5.581152,4200
2017-02-17,6.000000,6.000000,5.930000,6.000000,5.634682,9600
2017-02-21,6.000000,6.000000,5.950000,6.000000,5.634682,12000
2017-02-22,6.000000,6.000000,5.950000,5.950000,5.587726,300
2017-02-23,5.958000,6.850000,5.958000,6.750000,6.339017,20100
2017-02-24,6.500000,6.600000,6.315000,6.600000,6.198150,11300
2017-02-27,6.550000,6.684000,6.361000,6.450000,6.057283,10500
2017-02-28,6.450000,6.532000,6.400000,6.400000,6.010328,4700
2017-03-01,6.535000,6.550000,6.372000,6.372000,5.984033,9300
2017-03-02,6.391000,6.391000,6.291000,6.300000,5.916416,5700
2017-03-03,6.541000,6.543000,6.250000,6.539000,6.140864,14900
2017-03-06,6.500000,6.550000,6.250000,6.400000,6.010328,4900
2017-03-07,6.200000,6.424000,6.200000,6.209000,5.830957,10900
2017-03-08,6.200000,6.546000,6.150000,6.300000,5.916416,5700
2017-03-09,6.300000,6.300000,6.100000,6.116000,5.743620,1000
2017-03-10,6.342000,6.700000,6.151000,6.690000,6.282670,31300
2017-03-13,6.700000,6.900000,6.690000,6.800000,6.385973,18700
2017-03-14,6.900000,6.900000,6.750000,6.900000,6.479885,11000
2017-03-15,6.750000,6.800000,6.500000,6.500000,6.212279,4700
2017-03-16,6.500000,6.700000,6.360000,6.550000,6.260066,10300
2017-03-17,6.650000,6.650000,6.450000,6.450000,6.164492,5500
2017-03-20,6.350000,6.400000,6.100000,6.400000,6.116705,35100
2017-03-21,6.350000,6.550000,6.100000,6.150000,5.877772,56300
2017-03-22,6.250000,6.250000,5.600000,5.900000,5.638838,31200
2017-03-23,5.967000,6.100000,5.856000,6.100000,5.829985,17300
2017-03-24,6.050000,6.288000,6.050000,6.200000,5.925558,8200
2017-03-27,6.350000,6.350000,6.150000,6.350000,6.068919,28900
2017-03-28,6.350000,6.675000,6.100000,6.118000,5.847188,72700
2017-03-29,6.150000,6.450000,6.150000,6.450000,6.164492,35200
2017-03-30,6.500000,6.540000,6.190000,6.300000,6.021132,35200
2017-03-31,6.340000,6.699000,6.340000,6.560000,6.269623,11100
2017-04-03,6.600000,6.675000,6.300000,6.450000,6.164492,14500
2017-04-04,6.355000,6.355000,6.150000,6.150000,5.877772,13500
2017-04-05,6.150000,6.275000,6.150000,6.150000,5.877772,3600
2017-04-06,6.308000,6.308000,6.150000,6.308000,6.028778,1700
2017-04-07,6.050000,6.200000,6.050000,6.197000,5.922691,2800
2017-04-10,6.150000,6.408000,6.150000,6.200000,5.925558,4600
2017-04-11,6.250000,6.303000,6.200000,6.300000,6.021132,2500
2017-04-12,6.300000,6.500000,6.150000,6.150000,5.877772,9100
2017-04-13,6.185000,6.185000,6.150000,6.150000,5.877772,700
2017-04-17,6.225000,6.300000,6.150000,6.150000,5.877772,17200
2017-04-18,6.200000,6.200000,6.200000,6.200000,5.925558,200
2017-04-19,6.401000,6.401000,6.150000,6.150000,5.877772,1900
2017-04-20,6.150000,6.293000,6.074000,6.150000,5.877772,11700
2017-04-21,6.199000,6.199000,6.050000,6.100000,5.829985,3600
2017-04-24,6.200000,6.200000,6.000000,6.145000,5.872993,6800
2017-04-25,6.000000,6.147000,5.900000,6.000000,5.734411,10600
2017-04-26,6.000000,6.100000,6.000000,6.100000,5.829985,8000
2017-04-27,6.050000,6.050000,6.050000,6.050000,5.782198,2000
2017-04-28,6.091000,6.091000,5.950000,5.999000,5.733456,7000
2017-05-01,5.950000,5.951000,5.800000,5.850000,5.591051,19600
2017-05-02,6.087000,6.150000,5.900000,5.900000,5.638838,10000
2017-05-03,5.850000,5.900000,5.845000,5.899000,5.637882,1400
2017-05-04,5.933000,5.933000,5.800000,5.850000,5.591051,2300
2017-05-05,5.803000,5.850000,5.800000,5.850000,5.591051,2200
2017-05-08,5.829000,5.950000,5.800000,5.950000,5.686624,5400
2017-05-09,5.950000,6.000000,5.950000,5.970000,5.705739,3000
2017-05-10,5.900000,5.944000,5.815000,5.925000,5.662731,4200
2017-05-11,5.950000,5.950000,5.800000,5.900000,5.638838,3500
2017-05-12,5.922000,5.950000,5.850000,5.900000,5.638838,7300
2017-05-15,5.944000,5.944000,5.750000,5.795000,5.538486,17800
2017-05-16,5.800000,5.950000,5.800000,5.950000,5.686624,18600
2017-05-17,5.833000,5.833000,5.833000,5.833000,5.574803,200
2017-05-18,5.800000,5.900000,5.800000,5.900000,5.638838,8100
2017-05-19,5.800000,5.900000,5.800000,5.800000,5.543264,11600
2017-05-22,5.857000,5.946000,5.800000,5.800000,5.543264,20200
2017-05-23,5.800000,5.800000,5.650000,5.700000,5.447690,16700
2017-05-24,5.700000,5.728000,5.650000,5.728000,5.474452,2100
2017-05-25,5.650000,5.950000,5.550000,5.950000,5.686624,23500
2017-05-26,5.600000,5.700000,5.450000,5.600000,5.352117,24700
2017-05-30,5.650000,5.750000,5.600000,5.600000,5.352117,8300
2017-05-31,5.600000,5.600000,5.500000,5.600000,5.352117,6900
2017-06-01,5.828000,5.828000,5.529000,5.800000,5.543264,8900
2017-06-02,5.749000,5.800000,5.700000,5.750000,5.495478,8000
2017-06-05,5.700000,5.800000,5.700000,5.800000,5.543264,8900
2017-06-06,5.750000,5.800000,5.550000,5.750000,5.495478,2800
2017-06-07,5.800000,5.949000,5.650000,5.800000,5.543264,18100
2017-06-08,5.650000,5.934000,5.650000,5.900000,5.638838,2000
2017-06-09,5.900000,5.950000,5.900000,5.950000,5.686624,26200
2017-06-12,5.950000,5.950000,5.900000,5.900000,5.638838,5100
2017-06-13,5.750000,5.900000,5.750000,5.900000,5.638838,700
2017-06-14,5.850000,5.850000,5.810000,5.810000,5.552822,900
2017-06-15,5.850000,5.850000,5.850000,5.850000,5.591051,2100
2017-06-16,5.850000,5.950000,5.800000,5.950000,5.686624,13100
2017-06-19,5.950000,5.950000,5.850000,5.900000,5.638838,17000
2017-06-20,5.950000,5.950000,5.800000,5.848000,5.589139,13700
