Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,20.190001,20.330000,19.000000,20.080000,19.623102,24700
2017-01-04,20.270000,20.270000,20.000000,20.170000,19.711056,14500
2017-01-05,19.980000,19.980000,19.500000,19.650000,19.202887,5900
2017-01-06,19.790001,19.879999,19.670000,19.760000,19.310383,9700
2017-01-09,19.799999,19.850000,19.570000,19.799999,19.349472,12500
2017-01-10,19.740000,19.990000,19.670000,19.910000,19.456968,16100
2017-01-11,20.010000,20.010000,19.690001,19.690001,19.241976,3600
2017-01-12,19.709999,19.709999,19.230000,19.260000,18.821762,5200
2017-01-13,19.469999,19.600000,18.940001,19.209999,18.772900,46900
2017-01-17,19.139999,19.410000,18.610001,18.840000,18.411318,13500
2017-01-18,19.000000,19.000000,18.610001,18.740000,18.313593,26700
2017-01-19,18.860001,18.889999,18.680000,18.680000,18.254959,5900
2017-01-20,18.639999,18.850000,18.639999,18.760000,18.333138,14700
2017-01-23,18.799999,18.799999,18.379999,18.379999,17.961782,8800
2017-01-24,17.809999,18.750000,17.809999,18.700001,18.274504,8800
2017-01-25,18.750000,19.100000,18.730000,19.080000,18.645857,17500
2017-01-26,19.170000,19.520000,19.020000,19.080000,18.645857,2900
2017-01-27,19.049999,19.100000,18.760000,18.950001,18.518816,8600
2017-01-30,18.780001,18.879999,18.670000,18.670000,18.245184,6500
2017-01-31,18.389999,18.620001,18.080000,18.320000,17.903151,7300
2017-02-01,18.620001,18.639999,18.450001,18.450001,18.030191,22100
2017-02-02,18.459999,18.600000,18.389999,18.389999,17.971558,12700
2017-02-03,18.559999,18.670000,18.559999,18.629999,18.206095,10700
2017-02-06,18.719999,18.740000,18.549999,18.559999,18.137688,10200
2017-02-07,18.690001,18.780001,18.410000,18.730000,18.303820,23800
2017-02-08,18.600000,19.170000,18.540001,18.820000,18.391773,33100
2017-02-09,18.910000,18.959999,18.680000,18.790001,18.362457,53700
2017-02-10,18.900000,19.030001,18.719999,18.799999,18.372227,26900
2017-02-13,18.910000,18.920000,18.830000,18.840000,18.411318,14400
2017-02-14,18.680000,18.910000,18.610001,18.870001,18.440636,63100
2017-02-15,18.830000,19.129999,18.830000,19.100000,18.665403,11600
2017-02-16,19.150000,19.530001,19.150000,19.420000,18.978121,8300
2017-02-17,19.440001,19.580000,19.090000,19.580000,19.134480,13800
2017-02-21,19.570000,19.830000,19.559999,19.700001,19.251751,8700
2017-02-22,19.790001,19.790001,19.270000,19.450001,19.007437,12300
2017-02-23,19.799999,19.799999,19.160000,19.280001,18.841309,7400
2017-02-24,19.110001,19.180000,18.379999,18.709999,18.284275,29100
2017-02-27,18.540001,19.030001,18.540001,18.639999,18.215870,23900
2017-02-28,19.000000,19.070000,18.299999,18.379999,17.961782,30000
2017-03-01,18.680000,19.090000,18.330000,18.780001,18.352684,27900
2017-03-02,18.750000,18.820000,18.500000,18.709999,18.284275,17100
2017-03-03,18.690001,18.820000,18.520000,18.799999,18.372227,12800
2017-03-06,18.600000,18.700001,18.270000,18.530001,18.108370,42200
2017-03-07,18.570000,18.750000,18.530001,18.650000,18.225641,43800
2017-03-08,18.700001,18.700001,18.190001,18.600000,18.176777,24800
2017-03-09,18.500000,18.600000,18.410000,18.440001,18.020420,19000
2017-03-10,18.639999,18.639999,18.209999,18.410000,17.991102,62400
2017-03-13,18.200001,18.740000,18.200001,18.660000,18.385212,58000
2017-03-14,18.620001,18.750000,18.580000,18.639999,18.365505,5300
2017-03-15,18.650000,19.090000,18.530001,19.010000,18.730057,36800
2017-03-16,18.980000,19.400000,18.980000,19.340000,19.055197,18300
2017-03-17,19.500000,19.930000,19.230000,19.860001,19.567541,80200
2017-03-20,19.700001,19.969999,19.660000,19.809999,19.518276,9700
2017-03-21,19.870001,19.870001,19.020000,19.059999,18.779320,59200
2017-03-22,19.070000,19.219999,18.870001,18.910000,18.631529,38600
2017-03-23,19.379999,19.379999,18.900000,19.049999,18.769466,4000
2017-03-24,19.139999,19.610001,19.139999,19.420000,19.134018,22500
2017-03-27,19.260000,19.260000,19.049999,19.120001,18.838438,9300
2017-03-28,19.120001,19.830000,19.040001,19.799999,19.508423,52000
2017-03-29,19.760000,20.500000,19.150000,19.480000,19.193136,57800
2017-03-30,19.910000,20.400000,19.500000,20.379999,20.079882,28300
2017-03-31,20.559999,21.690001,20.480000,21.030001,20.720310,36400
2017-04-03,21.250000,21.370001,20.250000,20.780001,20.473993,67700
2017-04-04,20.660000,21.400000,19.860001,21.059999,20.749868,37100
2017-04-05,21.280001,21.490000,20.750000,20.959999,20.651340,35300
2017-04-06,21.090000,21.250000,20.910000,21.139999,20.828690,14800
2017-04-07,21.290001,21.299999,21.080000,21.100000,20.789280,5600
2017-04-10,20.420000,21.209999,20.420000,20.920000,20.611931,33200
2017-04-11,20.969999,21.330000,20.950001,21.270000,20.956778,17600
2017-04-12,21.160000,21.160000,20.360001,20.530001,20.227673,9700
2017-04-13,20.490000,20.510000,19.969999,20.049999,19.754742,20400
2017-04-17,20.209999,20.250000,19.990000,20.219999,19.922237,6300
2017-04-18,20.209999,20.590000,20.180000,20.549999,20.247377,11500
2017-04-19,20.670000,21.040001,20.620001,20.700001,20.395170,9100
2017-04-20,20.760000,21.070000,20.500000,21.070000,20.759720,9100
2017-04-21,20.990000,21.629999,20.370001,21.309999,20.996187,20300
2017-04-24,21.650000,21.900000,21.320000,21.870001,21.547941,10900
2017-04-25,21.870001,22.000000,21.420000,21.440001,21.124271,19500
2017-04-26,21.309999,21.879999,21.309999,21.830000,21.508530,14600
2017-04-27,21.860001,21.860001,21.530001,21.650000,21.331181,3800
2017-04-28,21.860001,21.860001,21.190001,21.430000,21.114420,13900
2017-05-01,21.590000,22.090000,21.180000,21.520000,21.203094,11900
2017-05-02,21.670000,21.670000,20.950001,21.480000,21.163683,105000
2017-05-03,21.309999,21.440001,21.000000,21.129999,20.818838,21200
2017-05-04,21.400000,21.450001,21.100000,21.420000,21.104567,12500
2017-05-05,21.379999,21.379999,20.879999,21.110001,20.799133,6700
2017-05-08,20.969999,21.100000,20.969999,21.040001,20.730164,16300
2017-05-09,21.360001,21.370001,20.850000,20.940001,20.631636,14200
2017-05-10,21.030001,21.030001,20.240000,20.790001,20.483845,31000
2017-05-11,20.709999,21.120001,20.280001,20.370001,20.070030,20800
2017-05-12,20.219999,20.240000,19.770000,19.910000,19.616804,9800
2017-05-15,19.860001,20.410000,19.490000,20.129999,19.833563,17000
2017-05-16,20.030001,20.219999,19.930000,20.219999,19.922237,10100
2017-05-17,19.860001,19.980000,19.360001,19.370001,19.084757,26600
2017-05-18,19.740000,19.790001,19.379999,19.450001,19.163578,13300
2017-05-19,19.400000,19.570000,19.150000,19.270000,18.986229,12400
2017-05-22,19.129999,20.110001,19.129999,19.280001,18.996080,14000
2017-05-23,19.780001,19.780001,19.240000,19.490000,19.202988,11800
2017-05-24,19.480000,19.510000,19.090000,19.150000,18.867994,11200
2017-05-25,19.280001,19.650000,19.080000,19.480000,19.193136,20100
2017-05-26,19.570000,19.700001,19.370001,19.629999,19.340927,20800
2017-05-30,19.500000,19.580000,19.400000,19.580000,19.291664,18100
2017-05-31,19.580000,19.969999,19.469999,19.760000,19.469013,13200
2017-06-01,19.780001,19.920000,19.549999,19.830000,19.537981,20700
2017-06-02,19.719999,20.170000,19.719999,19.969999,19.675919,42800
2017-06-05,20.240000,20.240000,19.620001,19.799999,19.508423,15800
2017-06-06,19.600000,20.000000,19.540001,19.760000,19.469013,31800
2017-06-07,20.440001,20.440001,19.760000,20.090000,19.794153,19300
2017-06-08,19.980000,21.000000,19.969999,20.820000,20.513403,21700
2017-06-09,20.730000,21.809999,20.730000,21.570000,21.252357,22200
2017-06-12,21.610001,21.650000,19.830000,21.590000,21.272064,17900
2017-06-13,22.200001,22.200001,21.360001,21.549999,21.381201,5200
2017-06-14,21.500000,21.700001,21.080000,21.450001,21.281986,13300
2017-06-15,20.459999,21.740000,20.459999,21.549999,21.381201,8100
2017-06-16,21.160000,22.200001,21.100000,21.440001,21.272064,29000
2017-06-19,21.770000,21.820000,21.100000,21.370001,21.202612,9300
2017-06-20,21.200001,21.570000,21.200001,21.350000,21.182768,7100
2017-06-21,21.360001,21.360001,20.809999,20.820000,20.656919,11900
2017-06-22,20.920000,21.730000,20.840000,20.879999,20.716448,5500
2017-06-23,21.070000,21.559999,20.549999,21.330000,21.162924,56300
2017-06-26,21.059999,21.580000,20.799999,20.850000,20.686686,10900
2017-06-27,20.860001,21.530001,20.309999,20.639999,20.478329,11500
2017-06-28,20.820000,20.870001,20.540001,20.830000,20.666842,12300
2017-06-29,21.030001,21.139999,20.770000,20.840000,20.676764,21000
2017-06-30,20.920000,20.980000,20.570000,20.610001,20.448565,8000
2017-07-03,20.590000,21.100000,20.590000,20.930000,20.766058,8900
2017-07-05,20.889999,20.959999,20.670000,20.790001,20.627155,5700
2017-07-06,20.740000,20.850000,20.650000,20.740000,20.577545,8700
2017-07-07,20.790001,21.480000,20.709999,21.440001,21.272064,9900
2017-07-10,21.379999,21.400000,20.650000,20.650000,20.488251,8000
2017-07-11,20.850000,21.129999,20.580000,20.830000,20.666842,8000
2017-07-12,20.920000,21.049999,20.650000,20.879999,20.716448,8600
2017-07-13,20.770000,21.100000,20.719999,20.719999,20.557701,5300
2017-07-14,20.680000,21.000000,20.510000,20.600000,20.438643,6700
2017-07-17,20.469999,20.600000,20.299999,20.389999,20.230288,6300
2017-07-18,20.309999,20.360001,20.030001,20.170000,20.012011,7700
2017-07-19,20.200001,20.240000,20.049999,20.129999,19.972322,5000
2017-07-20,20.020000,20.120001,19.860001,20.010000,19.853264,7200
2017-07-21,20.200001,20.200001,19.879999,19.910000,19.754047,16000
2017-07-24,20.219999,20.219999,19.660000,19.760000,19.605223,9400
2017-07-25,19.879999,20.100000,19.850000,19.940001,19.783813,11800
2017-07-26,20.030001,20.040001,19.629999,19.660000,19.506006,7200
2017-07-27,19.780001,19.799999,19.510000,19.610001,19.456398,3500
2017-07-28,19.629999,19.690001,19.309999,19.330000,19.178591,14200
2017-07-31,19.510000,19.540001,18.990000,19.000000,18.851175,26100
2017-08-01,19.160000,19.500000,19.100000,19.450001,19.297651,13400
2017-08-02,19.500000,19.940001,19.500000,19.730000,19.575457,10000
2017-08-03,19.950001,19.950001,19.490000,19.530001,19.377024,11400
2017-08-04,19.639999,19.700001,19.500000,19.700001,19.545692,5000
2017-08-07,19.809999,19.920000,19.730000,19.889999,19.734203,6300
2017-08-08,19.910000,20.000000,19.750000,19.950001,19.793736,7500
2017-08-09,19.740000,19.889999,19.600000,19.660000,19.506006,9000
2017-08-10,19.549999,19.900000,19.549999,19.700001,19.545692,14900
2017-08-11,19.860001,19.860001,19.030001,19.350000,19.198435,5900
2017-08-14,19.440001,19.870001,19.440001,19.639999,19.486162,8400
2017-08-15,19.709999,19.730000,19.629999,19.670000,19.515926,8900
2017-08-16,19.639999,19.790001,19.420000,19.680000,19.525848,14300
2017-08-17,19.549999,19.549999,19.090000,19.139999,18.990078,7700
2017-08-18,18.959999,19.090000,18.840000,18.950001,18.801567,18900
2017-08-21,18.950001,19.059999,18.950001,18.950001,18.801567,8800
2017-08-22,19.110001,19.150000,18.969999,19.059999,18.910706,4900
2017-08-23,19.000000,19.170000,19.000000,19.030001,18.880941,9700
2017-08-24,19.030001,19.129999,18.879999,19.040001,18.890863,6600
2017-08-25,19.200001,19.200001,18.840000,18.990000,18.841253,13900
2017-08-28,19.260000,19.290001,18.840000,18.930000,18.781723,9800
2017-08-29,18.860001,19.180000,18.780001,19.000000,18.851175,4900
2017-08-30,19.000000,19.049999,18.830000,18.940001,18.791645,5100
2017-08-31,18.980000,19.299999,18.799999,18.900000,18.751959,10400
2017-09-01,18.900000,19.000000,18.799999,18.950001,18.801567,6900
2017-09-05,19.000000,19.000000,18.780001,18.809999,18.662663,6000
2017-09-06,18.700001,18.780001,18.660000,18.660000,18.513838,7200
2017-09-07,18.750000,18.750000,17.250000,17.540001,17.402613,30300
2017-09-08,17.620001,17.889999,17.320000,17.700001,17.561359,14800
2017-09-11,17.990000,18.440001,17.990000,18.190001,18.047520,13100
2017-09-12,18.290001,18.959999,18.290001,18.430000,18.285641,12400
2017-09-13,18.620001,19.420000,18.600000,19.150000,19.000000,11800
2017-09-14,19.070000,19.350000,18.639999,19.080000,19.080000,11300
2017-09-15,19.129999,19.490000,18.809999,19.330000,19.330000,36400
2017-09-18,19.320000,19.879999,19.299999,19.760000,19.760000,11400
2017-09-19,19.600000,20.000000,19.600000,19.950001,19.950001,30800
2017-09-20,19.950001,20.500000,19.950001,20.340000,20.340000,16300
2017-09-21,20.490000,20.770000,20.440001,20.670000,20.670000,15600
2017-09-22,20.600000,21.090000,20.350000,20.969999,20.969999,8700
2017-09-25,20.990000,21.000000,20.860001,20.969999,20.969999,8200
2017-09-26,21.000000,22.000000,20.990000,21.770000,21.770000,26100
2017-09-27,21.940001,22.920000,21.049999,22.850000,22.850000,24500
2017-09-28,22.780001,22.780001,21.650000,22.090000,22.090000,29400
2017-09-29,22.139999,22.139999,21.510000,21.790001,21.790001,15800
2017-10-02,21.860001,22.000000,21.740000,21.750000,21.750000,26900
2017-10-03,21.809999,21.809999,21.389999,21.430000,21.430000,20000
2017-10-04,21.490000,21.500000,21.350000,21.379999,21.379999,8100
2017-10-05,21.459999,21.660000,21.330000,21.420000,21.420000,21600
2017-10-06,21.400000,21.459999,21.350000,21.389999,21.389999,4600
2017-10-09,21.570000,21.570000,21.240000,21.370001,21.370001,6900
2017-10-10,21.400000,21.400000,21.020000,21.100000,21.100000,20300
2017-10-11,21.100000,21.250000,21.000000,21.110001,21.110001,12400
2017-10-12,21.100000,21.250000,20.709999,20.709999,20.709999,6700
2017-10-13,20.790001,21.930000,20.000000,20.790001,20.790001,10900
2017-10-16,20.530001,20.530001,20.000000,20.180000,20.180000,28200
2017-10-17,20.110001,20.200001,19.820000,19.910000,19.910000,12000
2017-10-18,19.980000,20.080000,19.639999,19.809999,19.809999,8600
2017-10-19,19.799999,20.629999,19.799999,20.450001,20.450001,12400
2017-10-20,20.610001,20.610001,19.879999,20.000000,20.000000,27200
2017-10-23,21.260000,21.260000,19.809999,19.879999,19.879999,11600
2017-10-24,19.910000,21.370001,19.910000,20.389999,20.389999,10300
2017-10-25,20.580000,20.610001,20.350000,20.600000,20.600000,6700
2017-10-26,20.600000,21.190001,20.600000,21.180000,21.180000,10700
2017-10-27,21.080000,21.280001,20.820000,20.900000,20.900000,18100
