Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,7.200000,7.443000,6.800000,7.350000,7.350000,3900
2017-01-04,7.100000,7.316000,7.100000,7.200000,7.200000,6400
2017-01-05,7.200000,7.392000,7.100000,7.300000,7.300000,6700
2017-01-06,7.050000,7.450000,7.000000,7.288000,7.288000,9200
2017-01-09,7.050000,7.300000,7.050000,7.300000,7.300000,6300
2017-01-10,7.250000,7.250000,7.000000,7.200000,7.200000,2200
2017-01-11,7.300000,7.300000,7.000000,7.250000,7.250000,7300
2017-01-12,7.249000,7.249000,7.050000,7.100000,7.100000,1500
2017-01-13,7.223000,7.460000,7.200000,7.222000,7.222000,10400
2017-01-17,7.250000,7.383000,7.200000,7.300000,7.300000,5600
2017-01-18,7.150000,7.350000,7.150000,7.200000,7.200000,12500
2017-01-19,7.100000,7.400000,7.100000,7.400000,7.400000,10100
2017-01-20,7.111000,7.300000,7.000000,7.050000,7.050000,7000
2017-01-23,7.100000,7.100000,7.050000,7.050000,7.050000,1100
2017-01-24,7.150000,7.150000,6.950000,6.950000,6.950000,3100
2017-01-25,7.099000,7.100000,6.850000,6.912000,6.912000,9100
2017-01-26,7.049000,7.049000,7.049000,7.049000,7.049000,200
2017-01-27,6.893000,6.893000,6.893000,6.893000,6.893000,400
2017-01-30,6.850000,6.875000,6.850000,6.850000,6.850000,1700
2017-01-31,6.750000,6.800000,6.550000,6.750000,6.750000,18900
2017-02-01,6.775000,6.775000,6.600000,6.700000,6.700000,7100
2017-02-02,6.650000,6.650000,6.550000,6.550000,6.550000,10100
2017-02-03,6.550000,6.679000,6.500000,6.500000,6.500000,9400
2017-02-06,6.550000,6.616000,6.500000,6.550000,6.550000,6900
2017-02-07,6.606000,6.690000,6.600000,6.690000,6.690000,6200
2017-02-08,6.600000,6.617000,6.500000,6.500000,6.500000,2200
2017-02-09,6.501000,6.650000,6.500000,6.650000,6.650000,1100
2017-02-10,6.613000,6.650000,6.601000,6.650000,6.650000,1800
2017-02-13,6.655000,6.700000,6.650000,6.650000,6.650000,800
2017-02-14,6.650000,6.900000,6.650000,6.700000,6.700000,9500
2017-02-15,6.900000,7.201000,6.900000,7.150000,7.150000,2500
2017-02-16,7.100000,7.100000,6.990000,7.050000,7.050000,4700
2017-02-17,6.950000,7.100000,6.950000,7.050000,7.050000,2800
2017-02-21,7.050000,7.050000,6.950000,7.000000,7.000000,3000
2017-02-22,7.050000,7.200000,7.050000,7.200000,7.200000,3300
2017-02-23,7.205000,7.900000,7.000000,7.600000,7.600000,48000
2017-02-24,7.500000,7.500000,6.955000,7.250000,7.250000,46500
2017-02-27,7.350000,7.400000,7.050000,7.400000,7.400000,18500
2017-02-28,7.400000,7.550000,7.100000,7.200000,7.200000,33800
2017-03-01,7.287000,7.287000,7.200000,7.200000,7.200000,900
2017-03-02,7.150000,7.150000,7.050000,7.050000,7.050000,4600
2017-03-03,7.100000,7.300000,7.100000,7.200000,7.200000,24000
2017-03-06,7.300000,7.350000,7.100000,7.100000,7.100000,36600
2017-03-07,7.250000,7.250000,7.100000,7.100000,7.100000,16100
2017-03-08,7.150000,7.250000,6.950000,7.250000,7.250000,31600
2017-03-09,7.300000,7.300000,7.100000,7.100000,7.100000,37200
2017-03-10,7.100000,7.150000,7.100000,7.100000,7.100000,3900
2017-03-13,7.100000,7.400000,7.100000,7.400000,7.400000,45100
2017-03-14,7.449000,7.460000,7.225000,7.300000,7.300000,41500
2017-03-15,7.200000,7.315000,7.100000,7.200000,7.200000,11200
2017-03-16,7.441000,7.550000,7.218000,7.250000,7.250000,8800
2017-03-17,7.523000,7.750000,7.400000,7.750000,7.750000,12400
2017-03-20,7.825000,7.829000,7.400000,7.600000,7.600000,37600
2017-03-21,7.700000,7.850000,7.500000,7.662000,7.662000,26400
2017-03-22,7.750000,7.750000,7.550000,7.750000,7.750000,3100
2017-03-23,7.650000,7.700000,7.300000,7.650000,7.650000,52400
2017-03-24,7.700000,7.950000,7.500000,7.750000,7.750000,44700
2017-03-27,7.700000,7.750000,7.450000,7.700000,7.700000,64800
2017-03-28,7.700000,7.900000,7.700000,7.700000,7.700000,48100
2017-03-29,7.750000,7.750000,7.650000,7.650000,7.650000,200
2017-03-30,7.700000,7.900000,7.500000,7.900000,7.900000,44400
2017-03-31,7.850000,9.000000,7.850000,8.100000,8.100000,57000
2017-04-03,8.073000,8.150000,7.850000,7.850000,7.850000,3100
2017-04-04,7.801000,8.050000,7.600000,7.950000,7.950000,48700
2017-04-05,8.100000,8.100000,7.600000,7.800000,7.800000,36900
2017-04-06,7.700000,7.750000,7.659000,7.700000,7.700000,1600
2017-04-07,7.700000,7.700000,7.650000,7.695000,7.695000,1900
2017-04-10,7.700000,7.876000,7.650000,7.750000,7.750000,21600
2017-04-11,7.550000,7.550000,7.550000,7.550000,7.550000,200
2017-04-12,7.697000,7.697000,7.550000,7.639000,7.639000,1800
2017-04-13,7.600000,7.600000,7.400000,7.550000,7.550000,4200
2017-04-17,7.650000,7.700000,7.500000,7.500000,7.500000,10200
2017-04-18,7.400000,7.400000,7.400000,7.400000,7.400000,300
2017-04-19,7.450000,7.549000,7.450000,7.500000,7.500000,2300
2017-04-20,7.500000,7.550000,7.350000,7.450000,7.450000,13300
2017-04-21,7.450000,7.500000,7.450000,7.500000,7.500000,5800
2017-04-24,7.438000,7.650000,7.438000,7.500000,7.500000,24100
2017-04-25,7.501000,7.510000,7.400000,7.400000,7.400000,5200
2017-04-26,7.450000,7.600000,7.350000,7.350000,7.350000,6300
2017-04-27,7.400000,7.400000,7.300000,7.300000,7.300000,2200
2017-04-28,7.450000,7.600000,7.300000,7.300000,7.300000,81000
2017-05-01,7.387000,7.387000,7.387000,7.387000,7.387000,100
2017-05-02,7.300000,7.450000,7.050000,7.250000,7.250000,18200
2017-05-03,7.350000,7.650000,7.300000,7.350000,7.350000,17900
2017-05-04,7.050000,7.300000,7.050000,7.100000,7.100000,6000
2017-05-05,7.150000,7.350000,7.100000,7.100000,7.100000,16800
2017-05-08,7.160000,7.192000,7.100000,7.176000,7.176000,4700
2017-05-09,7.150000,7.238000,7.100000,7.150000,7.150000,3400
2017-05-10,7.150000,7.150000,7.150000,7.150000,7.150000,0
2017-05-11,7.240000,7.240000,7.150000,7.150000,7.150000,2800
2017-05-12,7.005000,7.350000,6.950000,7.350000,7.350000,53200
2017-05-15,7.400000,8.200000,7.400000,7.600000,7.600000,97700
2017-05-16,7.600000,7.750000,7.150000,7.300000,7.300000,29500
2017-05-17,7.100000,7.111000,7.051000,7.111000,7.111000,700
2017-05-18,7.850000,7.852000,7.350000,7.350000,7.350000,4000
2017-05-19,7.465000,7.500000,7.408000,7.426000,7.426000,9600
2017-05-22,7.450000,7.650000,7.338000,7.623000,7.623000,11200
2017-05-23,7.600000,7.600000,7.500000,7.500000,7.500000,300
