Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,63.689999,63.689999,61.400002,61.610001,60.936855,223800
2017-01-04,61.470001,62.240002,61.150002,61.310001,60.640133,341200
2017-01-05,60.900002,61.250000,59.299999,59.930000,59.275211,286000
2017-01-06,60.020000,60.500000,59.869999,60.110001,59.453243,202300
2017-01-09,59.770000,60.060001,58.860001,59.160000,58.513618,345000
2017-01-10,59.000000,60.020000,58.779999,59.950001,59.294991,228800
2017-01-11,59.730000,60.790001,59.730000,60.150002,59.492805,221900
2017-01-12,59.830002,59.830002,58.799999,59.400002,58.750999,167400
2017-01-13,59.220001,59.900002,59.070000,59.580002,58.929035,125700
2017-01-17,59.099998,59.270000,58.290001,58.419998,57.781708,172600
2017-01-18,58.730000,59.500000,58.200001,59.459999,58.810345,161000
2017-01-19,59.599998,59.660000,58.520000,58.950001,58.305916,222300
2017-01-20,59.240002,59.349998,58.509998,58.779999,58.137772,166900
2017-01-23,58.770000,59.000000,58.450001,58.639999,57.999302,142500
2017-01-24,58.950001,59.750000,58.560001,59.639999,58.988377,195400
2017-01-25,60.200001,60.900002,59.770000,60.070000,59.413681,164500
2017-01-26,62.000000,62.000000,60.230000,61.029999,60.363190,295700
2017-01-27,61.000000,61.000000,60.360001,60.750000,60.086250,160900
2017-01-30,60.259998,60.259998,59.180000,59.509998,58.859798,190400
2017-01-31,59.150002,59.830002,58.910000,59.419998,58.770782,594200
2017-02-01,59.720001,60.959999,59.580002,59.770000,59.116959,180100
2017-02-02,59.490002,60.480000,59.490002,59.869999,59.215866,109300
2017-02-03,60.599998,60.689999,59.959999,60.540001,59.878548,120600
2017-02-06,60.599998,60.779999,60.259998,60.380001,59.720295,132000
2017-02-07,60.459999,60.630001,58.959999,59.080002,58.434498,183000
2017-02-08,58.950001,59.040001,58.220001,58.310001,57.672913,193300
2017-02-09,58.380001,59.709999,58.380001,59.580002,58.929035,109600
2017-02-10,59.869999,60.029999,59.480000,59.560001,58.909252,112300
2017-02-13,59.689999,59.889999,59.209999,59.430000,58.780674,165600
2017-02-14,59.290001,59.790001,59.020000,59.770000,59.116959,160900
2017-02-15,59.549999,60.180000,59.090000,60.020000,59.364227,130700
2017-02-16,60.160000,60.240002,59.619999,59.919998,59.265316,115700
2017-02-17,59.990002,59.990002,59.150002,59.430000,58.780674,155800
2017-02-21,59.720001,59.720001,59.000000,59.240002,58.592751,150000
2017-02-22,58.919998,59.680000,58.669998,59.529999,58.879578,106900
2017-02-23,59.459999,59.669998,59.130001,59.310001,58.661987,157400
2017-02-24,58.369999,59.189999,58.369999,58.880001,58.433731,151100
2017-02-27,58.689999,59.250000,58.439999,58.799999,58.354332,180600
2017-02-28,58.419998,58.779999,58.209999,58.450001,58.006989,251000
2017-03-01,59.250000,59.419998,58.730000,59.150002,58.701683,245500
2017-03-02,59.119999,59.320000,58.200001,58.200001,57.758881,164200
2017-03-03,58.180000,58.650002,57.439999,57.599998,57.163429,154400
2017-03-06,57.340000,57.490002,57.020000,57.200001,56.766464,164600
2017-03-07,57.000000,57.599998,56.820000,57.150002,56.716843,133900
2017-03-08,57.389999,57.810001,57.090000,57.360001,56.925251,151100
2017-03-09,57.259998,57.700001,57.259998,57.490002,57.054264,115700
2017-03-10,57.840000,58.439999,57.439999,58.250000,57.808502,187600
2017-03-13,58.160000,58.750000,57.730000,58.160000,57.719185,109300
2017-03-14,58.009998,58.680000,57.810001,58.560001,58.116154,102100
2017-03-15,58.790001,60.090000,58.619999,59.889999,59.436073,220800
2017-03-16,60.099998,60.160000,59.230000,59.400002,58.949787,111500
2017-03-17,59.349998,60.270000,58.919998,60.209999,59.753647,527700
2017-03-20,60.169998,60.419998,59.459999,59.610001,59.158195,124900
2017-03-21,59.990002,59.990002,58.759998,58.860001,58.413883,119500
2017-03-22,58.459999,59.389999,58.070000,58.349998,57.907745,114400
2017-03-23,58.320000,59.250000,58.290001,58.759998,58.314636,64700
2017-03-24,58.810001,59.099998,58.270000,58.480000,58.036758,95600
2017-03-27,57.750000,59.160000,57.750000,59.000000,58.552822,90400
2017-03-28,58.700001,59.000000,58.290001,58.680000,58.235245,190100
2017-03-29,58.369999,58.470001,57.779999,57.970001,57.530624,101800
2017-03-30,58.090000,59.500000,58.040001,59.340000,58.890244,154000
2017-03-31,59.459999,60.360001,59.110001,60.020000,59.565090,196400
2017-04-03,60.009998,60.259998,58.470001,58.480000,58.036758,193000
2017-04-04,58.360001,59.180000,58.360001,58.669998,58.225315,128200
2017-04-05,58.900002,59.299999,57.889999,57.910000,57.471081,165900
2017-04-06,57.799999,57.799999,57.139999,57.660000,57.222977,128700
2017-04-07,57.660000,57.700001,56.950001,57.349998,56.915325,158600
2017-04-10,57.380001,58.060001,57.160000,58.009998,57.570320,144900
2017-04-11,57.660000,58.639999,57.570000,58.630001,58.185627,110100
2017-04-12,58.439999,58.590000,57.610001,57.869999,57.431381,95700
2017-04-13,57.439999,57.750000,56.980000,57.099998,56.667217,93000
2017-04-17,57.430000,58.110001,57.230000,58.070000,57.629864,82500
2017-04-18,57.549999,58.330002,57.549999,58.320000,57.877972,99800
2017-04-19,58.650002,58.889999,58.360001,58.580002,58.136005,97000
2017-04-20,56.180000,57.389999,52.509998,53.009998,52.608219,792100
2017-04-21,52.580002,54.900002,52.580002,54.500000,54.086926,300900
2017-04-24,55.580002,56.139999,54.860001,56.029999,55.605328,269500
2017-04-25,56.500000,58.320000,56.279999,57.959999,57.520699,251500
2017-04-26,57.959999,58.660000,57.630001,58.049999,57.610020,247400
2017-04-27,58.110001,58.360001,57.500000,58.049999,57.610020,175200
2017-04-28,58.299999,58.340000,57.209999,57.220001,56.786312,475200
2017-05-01,57.180000,57.320000,56.389999,57.110001,56.677147,138100
2017-05-02,56.950001,57.180000,56.599998,56.830002,56.399269,122900
2017-05-03,56.639999,57.049999,56.160000,56.590000,56.161083,124200
2017-05-04,56.840000,57.180000,56.330002,56.709999,56.280174,110600
2017-05-05,57.000000,57.000000,56.570000,56.709999,56.280174,123800
2017-05-08,56.639999,56.790001,55.919998,56.240002,55.813740,87300
2017-05-09,56.150002,56.709999,55.779999,55.910000,55.486240,150300
2017-05-10,56.160000,56.779999,55.790001,55.790001,55.367149,130100
2017-05-11,55.700001,55.700001,54.740002,55.220001,54.801472,135800
2017-05-12,55.160000,55.480000,54.580002,54.689999,54.275482,91200
2017-05-15,55.130001,55.240002,54.630001,54.730000,54.315182,76200
2017-05-16,54.660000,54.820000,54.090000,54.200001,53.789204,124700
2017-05-17,54.200001,54.610001,53.480000,54.169998,53.759426,129700
2017-05-18,54.270000,54.990002,54.169998,54.410000,53.997608,127300
2017-05-19,54.270000,55.099998,53.730000,54.240002,53.828896,188000
2017-05-22,54.360001,55.590000,54.360001,55.320000,54.900711,127600
2017-05-23,55.340000,55.910000,54.919998,55.619999,55.198433,85400
2017-05-24,55.450001,56.480000,55.450001,55.500000,55.079346,75600
2017-05-25,55.650002,56.439999,55.650002,56.270000,55.843510,92300
2017-05-26,55.820000,56.389999,55.470001,55.669998,55.455017,98000
2017-05-30,55.369999,55.779999,54.980000,55.070000,54.857334,90000
2017-05-31,54.970001,55.660000,54.709999,55.540001,55.325520,192500
2017-06-01,55.540001,56.750000,55.169998,56.669998,56.451153,154400
2017-06-02,56.639999,57.400002,56.380001,57.189999,56.969147,135600
2017-06-05,57.160000,57.160000,55.980000,56.000000,55.783745,122200
2017-06-06,55.619999,56.259998,55.259998,55.430000,55.215946,157500
2017-06-07,55.750000,55.750000,55.200001,55.299999,55.086445,92300
2017-06-08,55.259998,55.880001,54.900002,55.459999,55.245827,144000
2017-06-09,55.459999,56.900002,55.259998,56.750000,56.530846,143600
2017-06-12,56.549999,56.869999,55.939999,56.189999,55.973007,140800
2017-06-13,56.400002,56.680000,56.060001,56.340000,56.122429,76400
2017-06-14,56.139999,56.779999,55.900002,56.700001,56.481041,80500
2017-06-15,56.290001,57.230000,56.290001,57.060001,56.839653,108100
2017-06-16,56.500000,57.080002,56.330002,56.860001,56.640423,305300
2017-06-19,57.040001,57.040001,55.980000,55.990002,55.773785,99400
2017-06-20,55.980000,56.419998,55.470001,56.070000,55.853474,112700
2017-06-21,56.080002,56.290001,55.029999,55.060001,54.847374,111800
2017-06-22,54.919998,55.360001,54.299999,54.869999,54.658108,105300
2017-06-23,55.110001,55.389999,54.939999,55.040001,54.827450,170300
2017-06-26,55.200001,55.419998,54.919998,54.970001,54.757721,112800
2017-06-27,54.759998,55.340000,54.360001,55.040001,54.827450,179300
2017-06-28,55.340000,55.970001,54.910000,55.220001,55.006756,141600
2017-06-29,55.560001,55.740002,54.709999,55.279999,55.066525,95700
2017-06-30,55.389999,55.480000,54.610001,54.619999,54.409073,160600
2017-07-03,54.939999,55.990002,54.720001,55.770000,55.554630,101700
2017-07-05,55.759998,55.759998,54.299999,54.480000,54.269611,115100
2017-07-06,54.400002,54.779999,53.910000,54.099998,53.891079,106800
2017-07-07,54.400002,55.209999,54.009998,55.080002,54.867298,114000
2017-07-10,54.950001,54.950001,53.470001,53.470001,53.263515,223700
2017-07-11,53.400002,54.070000,53.400002,53.849998,53.642044,153000
2017-07-12,53.980000,54.580002,53.720001,53.950001,53.741661,107700
2017-07-13,53.910000,54.049999,53.419998,53.790001,53.582279,81700
2017-07-14,53.779999,54.349998,53.560001,54.049999,53.841274,90400
2017-07-17,54.259998,54.439999,53.919998,54.029999,53.821350,106500
2017-07-18,53.759998,54.209999,53.340000,54.130001,53.920967,90200
2017-07-19,54.119999,55.730000,53.389999,54.660000,54.448917,119300
2017-07-20,56.689999,57.849998,55.180000,56.880001,56.660347,360900
2017-07-21,57.580002,57.959999,56.599998,57.560001,57.337719,281900
2017-07-24,57.580002,57.779999,56.549999,57.119999,56.899418,155200
2017-07-25,57.529999,58.939999,57.500000,58.680000,58.453396,195300
2017-07-26,58.590000,58.590000,56.900002,56.910000,56.690228,158700
