Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,7.100000,7.250000,7.100000,7.190000,7.108255,31800
2017-01-04,7.190000,7.200000,6.980000,7.070000,6.989619,39000
2017-01-05,7.070000,7.140000,6.750000,7.010000,6.930302,40000
2017-01-06,7.010000,7.010000,6.970000,6.990000,6.930301,17100
2017-01-09,6.930000,7.020000,6.870000,6.870000,6.811326,26200
2017-01-10,6.930000,7.300000,6.900000,7.300000,7.237654,225600
2017-01-11,7.300000,7.600000,7.190000,7.560000,7.495433,65000
2017-01-12,7.550000,7.730000,7.490000,7.540000,7.475604,50100
2017-01-13,7.540000,8.000000,7.520000,7.860000,7.792871,90300
2017-01-17,7.870000,7.900000,7.680000,7.740000,7.673896,50900
2017-01-18,7.820000,7.960000,7.750000,7.900000,7.832530,47100
2017-01-19,7.910000,7.990000,7.830000,7.890000,7.822615,19800
2017-01-20,7.900000,7.900000,7.650000,7.830000,7.763127,72900
2017-01-23,7.770000,7.780000,7.670000,7.720000,7.654067,18900
2017-01-24,7.750000,7.770000,7.660000,7.740000,7.673896,11200
2017-01-25,7.750000,7.780000,7.700000,7.730000,7.663981,12200
2017-01-26,7.690000,7.720000,7.600000,7.700000,7.634237,42000
2017-01-27,7.720000,7.750000,7.690000,7.690000,7.624323,21300
2017-01-30,7.550000,7.750000,7.510000,7.670000,7.604494,31500
2017-01-31,7.690000,7.740000,7.500000,7.670000,7.604494,58300
2017-02-01,7.670000,7.670000,7.440000,7.600000,7.535092,66600
2017-02-02,7.590000,7.690000,7.520000,7.690000,7.624323,31300
2017-02-03,7.740000,7.760000,7.670000,7.740000,7.673896,47600
2017-02-06,7.690000,7.740000,7.530000,7.700000,7.634237,49600
2017-02-07,7.630000,7.720000,7.570000,7.640000,7.574750,19300
2017-02-08,7.690000,7.700000,7.580000,7.700000,7.634237,28200
2017-02-09,7.690000,7.750000,7.660000,7.750000,7.683811,18500
2017-02-10,7.750000,7.800000,7.700000,7.780000,7.713554,23600
2017-02-13,7.750000,7.770000,7.720000,7.770000,7.703640,16400
2017-02-14,7.770000,7.770000,7.580000,7.750000,7.683811,48000
2017-02-15,7.750000,7.750000,7.640000,7.750000,7.683811,83800
2017-02-16,7.750000,7.750000,7.610000,7.610000,7.545006,32900
2017-02-17,7.610000,7.690000,7.430000,7.500000,7.435946,70300
2017-02-21,7.560000,7.560000,7.290000,7.420000,7.356629,151400
2017-02-22,7.410000,7.670000,7.330000,7.400000,7.336800,37800
2017-02-23,7.400000,7.650000,7.380000,7.600000,7.535092,126400
2017-02-24,7.460000,7.600000,7.460000,7.550000,7.485519,73300
2017-02-27,7.610000,7.690000,7.580000,7.670000,7.604494,59600
2017-02-28,7.710000,7.750000,7.700000,7.730000,7.663981,36900
2017-03-01,7.750000,7.850000,7.680000,7.820000,7.753213,70800
2017-03-02,7.840000,7.840000,7.640000,7.820000,7.753213,32700
2017-03-03,7.830000,7.850000,7.720000,7.760000,7.693726,17600
2017-03-06,7.750000,7.810000,7.670000,7.760000,7.693726,37300
2017-03-07,7.750000,7.820000,7.730000,7.750000,7.683811,15700
2017-03-08,7.800000,7.850000,7.740000,7.820000,7.753213,49800
2017-03-09,7.850000,7.850000,7.610000,7.620000,7.554921,15000
2017-03-10,7.750000,7.790000,7.620000,7.640000,7.574750,31000
2017-03-13,7.600000,7.640000,7.490000,7.490000,7.426031,37300
2017-03-14,7.560000,7.560000,7.250000,7.450000,7.386373,51500
2017-03-15,7.500000,7.500000,7.440000,7.490000,7.426031,23500
2017-03-16,7.500000,7.500000,7.410000,7.490000,7.426031,15200
2017-03-17,7.490000,7.750000,7.430000,7.680000,7.614408,269500
2017-03-20,7.730000,7.730000,7.520000,7.520000,7.455775,18900
2017-03-21,7.580000,7.590000,7.260000,7.300000,7.237654,43700
2017-03-22,7.240000,7.320000,7.150000,7.210000,7.148423,35500
2017-03-23,7.220000,7.340000,7.220000,7.270000,7.207910,36100
2017-03-24,7.300000,7.360000,7.260000,7.260000,7.197995,12300
2017-03-27,7.160000,7.440000,6.930000,7.330000,7.267397,22500
2017-03-28,7.300000,7.320000,7.070000,7.260000,7.197995,15900
2017-03-29,7.230000,7.300000,7.160000,7.290000,7.227739,30700
2017-03-30,7.220000,7.310000,7.210000,7.290000,7.227739,58200
2017-03-31,7.300000,7.300000,7.090000,7.150000,7.088935,18400
2017-04-03,7.200000,7.490000,7.160000,7.330000,7.267397,190500
2017-04-04,7.340000,7.350000,7.190000,7.290000,7.227739,49000
2017-04-05,7.290000,7.300000,7.120000,7.140000,7.079020,25700
2017-04-06,7.120000,7.260000,7.100000,7.260000,7.197995,13600
2017-04-07,7.180000,7.390000,7.150000,7.350000,7.307357,36900
2017-04-10,7.310000,7.390000,7.230000,7.290000,7.247705,21400
2017-04-11,7.260000,7.400000,7.250000,7.370000,7.327241,15800
2017-04-12,7.370000,7.400000,7.270000,7.400000,7.357067,11000
2017-04-13,7.400000,7.400000,7.270000,7.390000,7.347125,9500
2017-04-17,7.400000,7.400000,7.130000,7.370000,7.327241,26600
2017-04-18,7.370000,7.400000,7.310000,7.380000,7.337183,9000
2017-04-19,7.380000,7.400000,7.350000,7.400000,7.357067,12000
2017-04-20,7.400000,7.410000,7.260000,7.360000,7.317299,34800
2017-04-21,7.390000,7.400000,7.330000,7.330000,7.287473,33200
2017-04-24,7.380000,7.440000,7.360000,7.440000,7.396835,27400
2017-04-25,7.450000,7.500000,7.420000,7.450000,7.406777,57600
2017-04-26,7.450000,7.460000,7.400000,7.440000,7.396835,36000
2017-04-27,7.450000,7.490000,7.430000,7.470000,7.426661,17400
2017-04-28,7.430000,7.500000,7.260000,7.260000,7.217879,16500
2017-05-01,7.260000,7.260000,7.000000,7.140000,7.098576,51600
2017-05-02,7.100000,7.140000,7.030000,7.050000,7.009098,28300
2017-05-03,7.030000,7.190000,6.780000,7.180000,7.138343,53600
2017-05-04,7.180000,7.290000,6.900000,6.920000,6.879852,68800
2017-05-05,6.930000,7.120000,6.900000,7.110000,7.068750,23000
2017-05-08,7.130000,7.190000,6.870000,7.140000,7.098576,48100
2017-05-09,7.080000,7.090000,6.940000,7.020000,6.979272,28300
2017-05-10,7.020000,7.050000,6.940000,6.950000,6.909678,60500
2017-05-11,6.940000,6.950000,6.870000,6.940000,6.899736,35500
2017-05-12,6.930000,6.950000,6.860000,6.950000,6.909678,25500
2017-05-15,6.900000,6.980000,6.860000,6.890000,6.850026,26600
2017-05-16,6.900000,6.920000,6.790000,6.800000,6.760548,78300
2017-05-17,6.740000,6.770000,6.510000,6.590000,6.551767,63500
2017-05-18,6.600000,6.650000,6.550000,6.600000,6.561708,18000
2017-05-19,6.600000,6.630000,6.560000,6.610000,6.571651,24100
2017-05-22,6.610000,6.700000,6.590000,6.650000,6.611419,51500
2017-05-23,6.630000,6.790000,6.500000,6.730000,6.690955,1052000
2017-05-24,6.780000,6.850000,6.670000,6.750000,6.710838,134200
