Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,3.070000,3.140000,2.730000,2.970000,2.970000,39900
2017-01-04,2.890000,2.980000,2.870000,2.930000,2.930000,7500
2017-01-05,2.930000,3.200000,2.570000,3.160000,3.160000,39400
2017-01-06,3.140000,3.370000,3.060000,3.270000,3.270000,37200
2017-01-09,3.320000,3.750000,3.170000,3.730000,3.730000,98800
2017-01-10,3.530000,3.550000,2.900000,3.130000,3.130000,52000
2017-01-11,3.100000,3.300000,3.040000,3.240000,3.240000,18600
2017-01-12,3.210000,3.320000,3.100000,3.270000,3.270000,22700
2017-01-13,3.310000,3.310000,3.080000,3.170000,3.170000,18700
2017-01-17,3.200000,3.200000,3.030000,3.170000,3.170000,3100
2017-01-18,3.130000,3.160000,3.090000,3.120000,3.120000,17800
2017-01-19,3.120000,3.120000,2.650000,3.000000,3.000000,27600
2017-01-20,3.050000,3.050000,2.910000,3.040000,3.040000,2600
2017-01-23,3.060000,3.060000,2.920000,2.950000,2.950000,900
2017-01-24,2.950000,3.100000,2.950000,2.970000,2.970000,15700
2017-01-25,3.000000,3.000000,2.890000,2.930000,2.930000,4900
2017-01-26,2.990000,3.000000,2.990000,3.000000,3.000000,14000
2017-01-27,3.060000,3.060000,2.980000,2.990000,2.990000,2600
2017-01-30,2.920000,3.030000,2.920000,3.000000,3.000000,7900
2017-01-31,3.020000,3.150000,3.000000,3.150000,3.150000,4600
2017-02-01,3.060000,3.060000,3.060000,3.060000,3.060000,300
2017-02-02,3.110000,3.140000,3.070000,3.120000,3.120000,10900
2017-02-03,3.050000,3.150000,3.050000,3.140000,3.140000,8800
2017-02-06,3.100000,3.100000,3.100000,3.100000,3.100000,200
2017-02-07,3.060000,3.060000,3.050000,3.050000,3.050000,2100
2017-02-08,3.050000,3.050000,3.050000,3.050000,3.050000,0
2017-02-09,3.080000,3.080000,2.950000,2.950000,2.950000,2800
2017-02-10,2.780000,2.800000,2.160000,2.650000,2.650000,19900
2017-02-13,2.590000,2.760000,2.560000,2.710000,2.710000,6600
2017-02-14,2.510000,2.590000,2.510000,2.560000,2.560000,1300
2017-02-15,2.840000,2.840000,2.560000,2.670000,2.670000,3700
2017-02-16,2.660000,2.660000,2.660000,2.660000,2.660000,2000
2017-02-17,2.600000,2.730000,2.600000,2.720000,2.720000,2500
2017-02-21,2.700000,2.700000,2.670000,2.670000,2.670000,400
2017-02-22,2.160000,2.590000,2.160000,2.590000,2.590000,2800
2017-02-23,2.550000,2.560000,2.550000,2.560000,2.560000,800
2017-02-24,2.500000,2.620000,2.460000,2.620000,2.620000,9200
2017-02-27,2.510000,2.680000,2.510000,2.660000,2.660000,5000
2017-02-28,2.650000,2.650000,2.650000,2.650000,2.650000,1100
2017-03-01,2.610000,2.640000,2.610000,2.640000,2.640000,2500
2017-03-02,2.590000,2.640000,2.590000,2.640000,2.640000,2400
2017-03-03,2.640000,2.640000,2.640000,2.640000,2.640000,0
2017-03-06,2.580000,2.720000,2.580000,2.720000,2.720000,6600
2017-03-07,2.750000,2.760000,2.740000,2.750000,2.750000,12300
2017-03-08,2.750000,2.750000,2.750000,2.750000,2.750000,400
2017-03-09,2.660000,2.760000,2.650000,2.760000,2.760000,26600
2017-03-10,2.710000,2.820000,2.710000,2.780000,2.780000,17700
2017-03-13,2.990000,2.990000,2.430000,2.700000,2.700000,12800
2017-03-14,2.680000,2.840000,2.650000,2.840000,2.840000,24200
2017-03-15,3.160000,3.160000,2.770000,2.820000,2.820000,33800
2017-03-16,3.080000,3.080000,2.520000,2.770000,2.770000,45400
2017-03-17,2.760000,3.010000,2.760000,3.000000,3.000000,42500
2017-03-20,2.780000,3.150000,2.780000,3.150000,3.150000,12500
2017-03-21,3.160000,3.400000,2.990000,3.400000,3.400000,25100
2017-03-22,3.300000,3.300000,2.900000,3.220000,3.220000,20400
2017-03-23,3.180000,3.250000,3.070000,3.240000,3.240000,4100
2017-03-24,3.150000,3.190000,3.080000,3.080000,3.080000,2200
2017-03-27,3.100000,3.450000,3.000000,3.420000,3.420000,18000
2017-03-28,3.420000,3.420000,3.300000,3.350000,3.350000,2400
2017-03-29,3.600000,3.660000,3.400000,3.590000,3.590000,31200
2017-03-30,3.630000,3.700000,3.450000,3.640000,3.640000,21700
2017-03-31,3.660000,3.770000,3.600000,3.610000,3.610000,10000
2017-04-03,3.590000,3.680000,3.590000,3.680000,3.680000,1600
2017-04-04,3.730000,3.740000,3.540000,3.720000,3.720000,3700
2017-04-05,3.650000,3.740000,3.650000,3.730000,3.730000,7600
2017-04-06,3.800000,3.800000,3.270000,3.800000,3.800000,11900
2017-04-07,3.840000,3.850000,3.730000,3.830000,3.830000,12700
2017-04-10,3.470000,3.850000,3.450000,3.810000,3.810000,16600
2017-04-11,3.850000,3.850000,3.760000,3.770000,3.770000,8600
2017-04-12,3.850000,3.880000,3.660000,3.850000,3.850000,15400
2017-04-13,3.800000,3.990000,3.800000,3.890000,3.890000,14900
2017-04-17,3.950000,3.950000,3.910000,3.950000,3.950000,2500
2017-04-18,3.980000,3.980000,3.850000,3.850000,3.850000,1700
2017-04-19,3.830000,3.950000,3.400000,3.950000,3.950000,22100
2017-04-20,3.720000,3.950000,3.720000,3.890000,3.890000,10400
2017-04-21,3.800000,3.960000,3.510000,3.770000,3.770000,10800
2017-04-24,3.830000,3.900000,3.760000,3.900000,3.900000,8800
2017-04-25,3.910000,3.910000,3.870000,3.910000,3.910000,4000
2017-04-26,3.990000,3.990000,3.930000,3.990000,3.990000,3300
2017-04-27,3.990000,4.000000,3.860000,4.000000,4.000000,26600
2017-04-28,4.000000,4.250000,3.980000,4.220000,4.220000,23000
2017-05-01,4.210000,4.360000,3.860000,4.230000,4.230000,38000
2017-05-02,4.190000,4.240000,4.100000,4.160000,4.160000,7600
2017-05-03,4.070000,4.400000,3.960000,4.350000,4.350000,27300
2017-05-04,4.340000,4.350000,4.250000,4.280000,4.280000,7800
2017-05-05,4.150000,4.350000,4.020000,4.300000,4.300000,12900
2017-05-08,4.320000,4.700000,4.280000,4.550000,4.550000,38300
2017-05-09,4.570000,4.650000,4.420000,4.490000,4.490000,16900
2017-05-10,4.440000,4.440000,4.200000,4.380000,4.380000,7400
2017-05-11,4.330000,4.330000,3.650000,4.240000,4.240000,9200
2017-05-12,4.110000,4.600000,4.000000,4.050000,4.050000,62100
2017-05-15,3.990000,4.070000,3.520000,3.520000,3.520000,43600
2017-05-16,3.750000,3.990000,3.530000,3.970000,3.970000,15600
2017-05-17,4.000000,4.150000,3.910000,3.930000,3.930000,22400
2017-05-18,4.030000,4.190000,4.030000,4.190000,4.190000,4900
2017-05-19,4.140000,4.150000,4.140000,4.150000,4.150000,300
