Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,9.800000,9.800000,9.760000,9.800000,9.705688,1500
2017-01-04,9.800000,9.800000,9.250000,9.500000,9.408575,16500
2017-01-05,9.680000,9.950000,9.650000,9.950000,9.854244,5700
2017-01-06,9.950000,9.950000,9.700000,9.800000,9.705688,2700
2017-01-09,9.800000,9.800000,9.750000,9.750000,9.656168,500
2017-01-10,9.750000,9.800000,9.750000,9.750000,9.656168,500
2017-01-11,9.800000,9.800000,9.800000,9.800000,9.705688,300
2017-01-12,9.750000,9.800000,9.550000,9.700000,9.606649,3900
2017-01-13,9.600000,9.650000,9.060000,9.650000,9.557131,3100
2017-01-17,9.700000,9.700000,9.570000,9.650000,9.557131,1200
2017-01-18,9.700000,9.900000,9.700000,9.900000,9.804725,1000
2017-01-19,9.800000,9.800000,9.800000,9.800000,9.705688,100
2017-01-20,9.550000,9.600000,9.500000,9.600000,9.507612,600
2017-01-23,9.250000,9.850000,9.240000,9.750000,9.656168,1800
2017-01-24,9.500000,9.800000,9.500000,9.800000,9.705688,800
2017-01-25,9.400000,9.550000,9.400000,9.510000,9.418479,900
2017-01-26,9.460000,9.800000,9.460000,9.800000,9.705688,4400
2017-01-27,9.700000,9.900000,9.400000,9.600000,9.507612,3400
2017-01-30,9.580000,9.580000,9.450000,9.450000,9.388394,800
2017-01-31,9.700000,9.700000,9.400000,9.400000,9.338720,1000
2017-02-01,9.400000,9.400000,9.400000,9.400000,9.338720,300
2017-02-02,9.450000,9.450000,9.450000,9.450000,9.388394,700
2017-02-03,9.450000,9.450000,9.450000,9.450000,9.388394,0
2017-02-06,9.450000,9.450000,9.450000,9.450000,9.388394,0
2017-02-07,9.450000,9.450000,9.450000,9.450000,9.388394,0
2017-02-08,9.450000,9.450000,9.450000,9.450000,9.388394,0
2017-02-09,9.650000,9.650000,9.450000,9.450000,9.388394,900
2017-02-10,9.750000,9.750000,9.750000,9.750000,9.686440,300
2017-02-13,9.740000,9.740000,9.740000,9.740000,9.676503,1500
2017-02-14,9.750000,9.750000,9.550000,9.600000,9.537416,2800
2017-02-15,9.750000,9.750000,9.500000,9.500000,9.438068,3000
2017-02-16,9.350000,9.350000,9.300000,9.300000,9.239373,1200
2017-02-17,9.250000,9.750000,9.250000,9.750000,9.686440,1700
2017-02-21,9.750000,9.750000,9.200000,9.200000,9.140024,6000
2017-02-22,9.250000,9.350000,8.950000,9.000000,8.941328,8100
2017-02-23,9.000000,9.200000,8.950000,8.950000,8.891654,1000
2017-02-24,9.100000,9.200000,9.000000,9.050000,8.991003,1700
2017-02-27,9.100000,9.200000,9.050000,9.200000,9.140024,3700
2017-02-28,9.200000,9.200000,9.070000,9.200000,9.140024,3000
2017-03-01,9.110000,9.250000,9.000000,9.000000,8.941328,1200
2017-03-02,9.000000,9.080000,8.550000,8.700000,8.643283,9300
2017-03-03,8.650000,8.650000,8.650000,8.650000,8.593610,600
2017-03-06,8.650000,8.850000,8.650000,8.850000,8.792307,3000
2017-03-07,8.740000,8.850000,8.500000,8.730000,8.673087,7200
2017-03-08,8.700000,8.900000,8.550000,8.570000,8.514132,5800
2017-03-09,8.400000,8.800000,8.400000,8.800000,8.742632,5000
2017-03-10,8.740000,8.750000,8.650000,8.650000,8.593610,2600
2017-03-13,8.600000,9.000000,8.600000,9.000000,8.941328,3300
2017-03-14,8.950000,9.000000,8.760000,9.000000,8.941328,3800
2017-03-15,9.000000,9.000000,8.950000,8.950000,8.891654,400
2017-03-16,8.950000,8.950000,8.950000,8.950000,8.891654,200
2017-03-17,9.000000,9.250000,9.000000,9.250000,9.189698,7600
2017-03-20,9.100000,9.100000,9.100000,9.100000,9.040677,1100
2017-03-21,9.100000,9.100000,9.050000,9.100000,9.040677,4500
2017-03-22,9.150000,9.150000,8.360000,8.450000,8.394914,19300
2017-03-23,8.600000,8.600000,8.500000,8.500000,8.444588,2200
2017-03-24,8.350000,9.240000,8.350000,9.240000,9.179764,6600
2017-03-27,8.800000,8.900000,8.800000,8.900000,8.841980,1000
2017-03-28,8.950000,8.950000,8.310000,8.310000,8.255827,2900
2017-03-29,8.650000,8.850000,8.650000,8.850000,8.792307,700
2017-03-30,8.700000,8.700000,8.700000,8.700000,8.643283,1500
2017-03-31,8.560000,8.560000,8.560000,8.560000,8.504196,3800
2017-04-03,8.700000,9.000000,8.700000,8.700000,8.643283,600
2017-04-04,8.650000,8.650000,8.250000,8.250000,8.196218,17200
