Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,7.950000,7.950000,7.250000,7.750000,7.750000,5100
2017-01-04,7.750000,7.750000,7.450000,7.450000,7.450000,4800
2017-01-05,7.630000,7.900000,7.450000,7.450000,7.450000,72200
2017-01-06,7.730000,7.730000,7.450000,7.450000,7.450000,4100
2017-01-09,7.450000,7.450000,7.400000,7.450000,7.450000,1100
2017-01-10,7.450000,7.450000,7.400000,7.420000,7.420000,1200
2017-01-11,7.400000,7.400000,7.350000,7.350000,7.350000,1200
2017-01-12,7.350000,7.500000,7.350000,7.500000,7.500000,3100
2017-01-13,7.500000,7.500000,7.500000,7.500000,7.500000,0
2017-01-17,7.150000,7.250000,7.000000,7.100000,7.100000,12700
2017-01-18,7.200000,7.200000,7.100000,7.150000,7.150000,2700
2017-01-19,7.080000,7.080000,7.050000,7.060000,7.060000,900
2017-01-20,7.100000,7.150000,7.100000,7.100000,7.100000,6300
2017-01-23,7.050000,7.130000,7.050000,7.130000,7.130000,4400
2017-01-24,7.100000,7.150000,7.000000,7.000000,7.000000,10300
2017-01-25,7.090000,7.090000,6.900000,6.900000,6.900000,5500
2017-01-26,7.050000,7.450000,7.000000,7.050000,7.050000,25800
2017-01-27,7.150000,7.170000,7.050000,7.060000,7.060000,25300
2017-01-30,7.050000,7.100000,7.000000,7.050000,7.050000,11800
2017-01-31,7.150000,7.240000,6.950000,7.050000,7.050000,6200
2017-02-01,7.100000,7.300000,7.050000,7.100000,7.100000,18000
2017-02-02,7.200000,7.300000,7.200000,7.300000,7.300000,3600
2017-02-03,7.400000,7.400000,7.250000,7.350000,7.350000,2200
2017-02-06,7.400000,7.550000,7.400000,7.530000,7.530000,10900
2017-02-07,7.670000,7.670000,7.480000,7.500000,7.500000,3000
2017-02-08,7.630000,7.630000,7.450000,7.550000,7.550000,3800
2017-02-09,7.550000,7.750000,7.550000,7.550000,7.550000,3500
2017-02-10,7.550000,7.550000,7.500000,7.500000,7.500000,900
2017-02-13,7.650000,7.650000,7.500000,7.500000,7.500000,7400
2017-02-14,7.500000,7.550000,7.400000,7.400000,7.400000,2900
2017-02-15,7.450000,7.500000,7.100000,7.250000,7.250000,3600
2017-02-16,7.280000,7.290000,7.200000,7.200000,7.200000,1700
2017-02-17,7.150000,7.200000,7.150000,7.200000,7.200000,1900
2017-02-21,7.150000,7.230000,7.150000,7.200000,7.200000,1700
2017-02-22,7.200000,7.450000,7.100000,7.200000,7.200000,21100
2017-02-23,7.200000,7.200000,7.000000,7.050000,7.050000,3000
2017-02-24,7.000000,7.450000,7.000000,7.150000,7.150000,28100
2017-02-27,7.350000,7.450000,7.200000,7.300000,7.300000,17200
2017-02-28,7.300000,7.300000,7.100000,7.100000,7.100000,800
2017-03-01,7.100000,7.150000,7.100000,7.100000,7.100000,4800
2017-03-02,7.050000,7.220000,7.050000,7.150000,7.150000,10100
2017-03-03,7.150000,7.150000,7.150000,7.150000,7.150000,0
2017-03-06,7.150000,7.150000,7.150000,7.150000,7.150000,2200
2017-03-07,7.150000,7.150000,7.150000,7.150000,7.150000,300
2017-03-08,7.100000,7.120000,7.100000,7.100000,7.100000,1500
2017-03-09,7.130000,7.130000,7.130000,7.130000,7.130000,1500
2017-03-10,7.150000,7.150000,7.100000,7.100000,7.100000,2700
2017-03-13,7.120000,7.300000,7.100000,7.100000,7.100000,7100
2017-03-14,7.300000,7.450000,7.100000,7.100000,7.100000,8300
2017-03-15,7.250000,7.500000,7.250000,7.250000,7.250000,10500
2017-03-16,7.450000,7.500000,7.200000,7.200000,7.200000,6400
2017-03-17,7.300000,7.500000,7.300000,7.350000,7.350000,8800
2017-03-20,7.310000,7.350000,7.260000,7.300000,7.300000,4900
2017-03-21,7.350000,7.350000,7.150000,7.150000,7.150000,4200
2017-03-22,7.100000,7.200000,7.100000,7.200000,7.200000,700
2017-03-23,7.200000,7.200000,7.200000,7.200000,7.200000,0
2017-03-24,7.200000,7.200000,7.150000,7.150000,7.150000,900
2017-03-27,7.100000,7.150000,7.100000,7.100000,7.100000,6900
2017-03-28,7.050000,7.200000,7.050000,7.100000,7.100000,6900
2017-03-29,7.100000,7.150000,7.050000,7.100000,7.100000,3600
2017-03-30,7.100000,7.200000,7.100000,7.100000,7.100000,3700
2017-03-31,7.250000,7.290000,7.200000,7.200000,7.200000,3500
2017-04-03,7.100000,7.200000,7.050000,7.050000,7.050000,3400
2017-04-04,7.100000,7.150000,7.100000,7.100000,7.100000,2300
2017-04-05,7.150000,7.200000,7.150000,7.200000,7.200000,26900
2017-04-06,7.150000,7.150000,7.050000,7.050000,7.050000,2400
2017-04-07,7.070000,7.100000,7.070000,7.100000,7.100000,1600
2017-04-10,7.100000,7.100000,7.050000,7.050000,7.050000,4100
2017-04-11,7.050000,7.050000,7.050000,7.050000,7.050000,300
2017-04-12,7.050000,7.060000,7.050000,7.050000,7.050000,1700
2017-04-13,7.150000,7.150000,7.150000,7.150000,7.150000,1100
2017-04-17,7.050000,7.150000,7.050000,7.070000,7.070000,2700
2017-04-18,7.100000,7.100000,7.050000,7.050000,7.050000,3100
2017-04-19,7.150000,7.150000,7.070000,7.070000,7.070000,16500
2017-04-20,7.050000,7.060000,7.050000,7.050000,7.050000,1000
2017-04-21,7.100000,7.100000,7.050000,7.090000,7.090000,3600
2017-04-24,7.200000,7.200000,7.050000,7.080000,7.080000,3200
2017-04-25,7.100000,7.100000,7.050000,7.100000,7.100000,3200
2017-04-26,7.100000,7.100000,7.100000,7.100000,7.100000,0
2017-04-27,7.100000,7.100000,7.100000,7.100000,7.100000,200
2017-04-28,7.100000,7.100000,7.100000,7.100000,7.100000,500
2017-05-01,7.100000,7.150000,7.050000,7.150000,7.150000,1100
2017-05-02,7.120000,7.120000,7.050000,7.100000,7.100000,2500
2017-05-03,7.090000,7.090000,7.090000,7.090000,7.090000,500
2017-05-04,7.050000,7.060000,7.050000,7.060000,7.060000,1400
2017-05-05,7.110000,7.110000,7.110000,7.110000,7.110000,900
2017-05-08,7.150000,7.160000,7.050000,7.050000,7.050000,5200
2017-05-09,7.060000,7.100000,7.060000,7.100000,7.100000,5500
2017-05-10,7.100000,7.100000,7.050000,7.050000,7.050000,2700
2017-05-11,7.080000,7.100000,7.080000,7.100000,7.100000,1700
2017-05-12,7.090000,7.100000,7.050000,7.100000,7.100000,900
2017-05-15,7.050000,7.100000,7.050000,7.100000,7.100000,3000
2017-05-16,7.050000,7.050000,7.050000,7.050000,7.050000,1400
2017-05-17,7.050000,7.100000,7.050000,7.050000,7.050000,10800
2017-05-18,7.050000,7.050000,7.000000,7.050000,7.050000,6400
2017-05-19,7.100000,7.100000,7.100000,7.100000,7.100000,300
2017-05-22,7.150000,7.200000,7.110000,7.130000,7.130000,1500
2017-05-23,7.130000,7.130000,7.130000,7.130000,7.130000,0
2017-05-24,7.130000,7.130000,7.100000,7.100000,7.100000,600
2017-05-25,7.050000,7.050000,7.000000,7.000000,7.000000,15200
2017-05-26,7.050000,7.100000,7.000000,7.050000,7.050000,10000
2017-05-30,7.150000,7.150000,7.060000,7.150000,7.150000,1000
2017-05-31,7.050000,7.130000,7.050000,7.050000,7.050000,9200
2017-06-01,7.050000,7.070000,7.000000,7.000000,7.000000,3800
2017-06-02,7.050000,7.130000,7.050000,7.050000,7.050000,41500
