Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,7.980000,8.090000,7.950000,8.060000,8.060000,316100
2017-01-04,7.820000,7.920000,7.580000,7.600000,7.600000,634500
2017-01-05,7.590000,7.600000,7.160000,7.180000,7.180000,290900
2017-01-06,7.270000,7.270000,7.100000,7.170000,7.170000,202300
2017-01-09,7.110000,7.230000,7.020000,7.100000,7.100000,223300
2017-01-10,7.110000,7.360000,7.050000,7.290000,7.290000,244600
2017-01-11,7.300000,7.530000,7.210000,7.480000,7.480000,318800
2017-01-12,7.400000,7.500000,7.070000,7.100000,7.100000,228400
2017-01-13,7.100000,7.440000,7.100000,7.260000,7.260000,182400
2017-01-17,7.200000,7.200000,6.940000,6.950000,6.950000,222000
2017-01-18,6.940000,7.020000,6.860000,6.980000,6.980000,175800
2017-01-19,7.020000,7.060000,6.900000,7.030000,7.030000,160000
2017-01-20,7.030000,7.170000,7.010000,7.070000,7.070000,124700
2017-01-23,7.040000,7.180000,6.950000,6.950000,6.950000,132800
2017-01-24,6.980000,7.240000,6.920000,7.200000,7.200000,199900
2017-01-25,7.230000,7.370000,7.230000,7.300000,7.300000,182900
2017-01-26,7.270000,7.390000,7.270000,7.350000,7.350000,87400
2017-01-27,7.340000,7.400000,7.290000,7.320000,7.320000,151500
2017-01-30,7.300000,7.300000,6.990000,7.040000,7.040000,169000
2017-01-31,7.040000,7.120000,5.900000,5.990000,5.990000,1079100
2017-02-01,5.730000,5.890000,4.990000,5.000000,5.000000,1798900
2017-02-02,4.980000,5.230000,4.930000,5.060000,5.060000,618300
2017-02-03,5.100000,5.230000,5.060000,5.180000,5.180000,318300
2017-02-06,5.170000,5.200000,4.990000,4.990000,4.990000,284600
2017-02-07,4.990000,5.060000,4.910000,4.940000,4.940000,229000
2017-02-08,4.950000,5.050000,4.800000,5.010000,5.010000,334600
2017-02-09,5.050000,5.340000,5.000000,5.290000,5.290000,367100
2017-02-10,4.970000,5.180000,4.750000,5.070000,5.070000,573700
2017-02-13,5.070000,5.090000,4.900000,4.980000,4.980000,760900
2017-02-14,4.960000,5.140000,4.960000,5.040000,5.040000,643100
2017-02-15,5.120000,5.370000,5.030000,5.350000,5.350000,455400
2017-02-16,5.350000,5.420000,5.080000,5.350000,5.350000,495100
2017-02-17,5.350000,5.350000,5.200000,5.290000,5.290000,287800
2017-02-21,5.290000,5.370000,5.120000,5.240000,5.240000,270900
2017-02-22,5.200000,5.310000,5.120000,5.160000,5.160000,167900
2017-02-23,5.200000,5.230000,5.090000,5.220000,5.220000,252500
2017-02-24,5.200000,5.250000,5.040000,5.180000,5.180000,255200
2017-02-27,5.180000,5.300000,5.120000,5.260000,5.260000,229300
2017-02-28,5.210000,5.220000,5.060000,5.180000,5.180000,365300
2017-03-01,5.250000,5.330000,5.150000,5.160000,5.160000,330200
2017-03-02,5.190000,5.190000,5.010000,5.120000,5.120000,241700
2017-03-03,5.120000,5.180000,4.970000,5.130000,5.130000,222800
2017-03-06,5.070000,5.120000,4.990000,5.080000,5.080000,191500
2017-03-07,5.060000,5.110000,5.000000,5.060000,5.060000,176700
2017-03-08,5.110000,5.120000,4.980000,5.000000,5.000000,251900
2017-03-09,5.010000,5.060000,4.970000,5.010000,5.010000,141000
2017-03-10,5.040000,5.060000,4.910000,4.930000,4.930000,227800
2017-03-13,4.910000,4.950000,4.850000,4.880000,4.880000,105200
2017-03-14,4.850000,4.900000,4.710000,4.870000,4.870000,229000
2017-03-15,4.870000,4.960000,4.810000,4.840000,4.840000,134200
2017-03-16,4.870000,4.970000,4.820000,4.970000,4.970000,138400
2017-03-17,4.840000,5.040000,4.840000,5.010000,5.010000,341000
2017-03-20,4.980000,5.020000,4.830000,4.860000,4.860000,215300
2017-03-21,4.890000,4.890000,4.530000,4.590000,4.590000,394300
2017-03-22,4.530000,4.730000,4.410000,4.520000,4.520000,274000
2017-03-23,4.570000,4.860000,4.480000,4.850000,4.850000,261300
2017-03-24,4.880000,4.960000,4.820000,4.900000,4.900000,223000
2017-03-27,4.840000,5.050000,4.780000,5.000000,5.000000,243700
2017-03-28,4.960000,5.060000,4.940000,4.980000,4.980000,388300
2017-03-29,4.950000,5.100000,4.910000,4.930000,4.930000,212300
2017-03-30,4.960000,5.150000,4.960000,5.100000,5.100000,170200
2017-03-31,5.100000,5.140000,4.980000,5.100000,5.100000,160900
2017-04-03,5.080000,5.130000,4.890000,4.920000,4.920000,168200
2017-04-04,4.910000,4.960000,4.820000,4.880000,4.880000,196200
2017-04-05,4.930000,4.980000,4.750000,4.750000,4.750000,238600
2017-04-06,4.750000,4.860000,4.730000,4.750000,4.750000,217900
2017-04-07,4.730000,4.910000,4.730000,4.780000,4.780000,164600
2017-04-10,4.790000,4.880000,4.700000,4.750000,4.750000,300900
2017-04-11,4.750000,5.170000,4.710000,5.130000,5.130000,261400
2017-04-12,5.150000,5.150000,4.980000,5.030000,5.030000,183000
2017-04-13,4.990000,5.030000,4.860000,4.900000,4.900000,311100
2017-04-17,4.910000,5.120000,4.790000,4.970000,4.970000,323200
2017-04-18,4.930000,5.030000,4.880000,4.990000,4.990000,142900
2017-04-19,5.040000,5.090000,4.860000,4.870000,4.870000,118000
2017-04-20,4.940000,4.980000,4.800000,4.960000,4.960000,111100
2017-04-21,4.930000,5.040000,4.800000,4.930000,4.930000,242100
2017-04-24,5.080000,5.100000,4.990000,5.000000,5.000000,198000
2017-04-25,5.060000,5.120000,4.970000,5.000000,5.000000,290000
2017-04-26,5.000000,5.220000,5.000000,5.210000,5.210000,222500
2017-04-27,5.210000,5.210000,5.020000,5.060000,5.060000,262100
2017-04-28,5.600000,6.730000,5.600000,6.450000,6.450000,2422500
2017-05-01,6.780000,6.900000,6.450000,6.730000,6.730000,879100
2017-05-02,6.750000,6.970000,6.620000,6.720000,6.720000,571300
2017-05-03,6.650000,6.850000,6.650000,6.760000,6.760000,449700
2017-05-04,6.820000,6.840000,6.630000,6.790000,6.790000,286900
2017-05-05,6.790000,6.790000,6.520000,6.760000,6.760000,346400
2017-05-08,6.760000,6.920000,6.680000,6.790000,6.790000,421200
2017-05-09,6.770000,6.820000,6.600000,6.730000,6.730000,360200
2017-05-10,6.660000,6.720000,6.510000,6.620000,6.620000,266100
2017-05-11,6.560000,6.570000,6.420000,6.490000,6.490000,273400
2017-05-12,6.450000,6.580000,6.350000,6.550000,6.550000,407500
2017-05-15,6.550000,6.680000,6.500000,6.570000,6.570000,269100
2017-05-16,6.570000,6.600000,6.390000,6.460000,6.460000,181000
2017-05-17,6.320000,6.360000,6.260000,6.310000,6.310000,363100
2017-05-18,6.300000,6.340000,6.160000,6.160000,6.160000,309800
2017-05-19,6.210000,6.270000,6.180000,6.220000,6.220000,292600
2017-05-22,6.230000,6.230000,6.110000,6.140000,6.140000,441200
2017-05-23,6.160000,6.310000,6.140000,6.230000,6.230000,269000
2017-05-24,6.230000,6.300000,6.110000,6.120000,6.120000,164600
2017-05-25,6.150000,6.240000,6.100000,6.210000,6.210000,283100
2017-05-26,6.210000,6.280000,6.070000,6.120000,6.120000,256600
2017-05-30,6.130000,6.190000,6.050000,6.110000,6.110000,314100
2017-05-31,6.110000,6.170000,6.040000,6.120000,6.120000,234900
2017-06-01,6.150000,6.180000,6.030000,6.170000,6.170000,287800
2017-06-02,6.150000,6.300000,6.130000,6.180000,6.180000,295700
2017-06-05,6.200000,6.270000,6.140000,6.150000,6.150000,226100
2017-06-06,6.100000,6.170000,6.020000,6.140000,6.140000,151400
2017-06-07,6.180000,6.180000,6.050000,6.120000,6.120000,156600
2017-06-08,6.150000,6.500000,6.110000,6.340000,6.340000,163400
2017-06-09,6.400000,6.580000,6.350000,6.500000,6.500000,274200
2017-06-12,6.520000,6.660000,6.370000,6.460000,6.460000,153800
2017-06-13,6.480000,6.660000,6.410000,6.630000,6.630000,493800
2017-06-14,6.590000,6.680000,6.420000,6.660000,6.660000,496900
2017-06-15,6.580000,6.940000,6.470000,6.930000,6.930000,441200
2017-06-16,6.980000,7.290000,6.970000,7.190000,7.190000,517000
