Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,6.100000,6.400000,6.000000,6.300000,6.209510,26100
2017-01-04,6.350000,6.650000,6.350000,6.500000,6.406637,25300
2017-01-05,6.500000,6.500000,6.350000,6.350000,6.258792,8600
2017-01-06,6.300000,6.500000,6.300000,6.400000,6.308074,9800
2017-01-09,6.400000,6.500000,6.250000,6.250000,6.160228,8500
2017-01-10,6.300000,6.650000,6.300000,6.650000,6.554483,32400
2017-01-11,6.750000,6.750000,6.650000,6.650000,6.554483,7100
2017-01-12,6.650000,6.650000,6.350000,6.400000,6.308074,23500
2017-01-13,6.550000,6.700000,6.500000,6.700000,6.603765,15600
2017-01-17,6.700000,6.900000,6.500000,6.500000,6.406637,16100
2017-01-18,6.450000,6.500000,6.300000,6.400000,6.308074,10700
2017-01-19,6.400000,6.500000,6.150000,6.150000,6.061665,11400
2017-01-20,6.150000,6.600000,6.150000,6.450000,6.357355,22500
2017-01-23,6.450000,6.600000,6.450000,6.500000,6.406637,6800
2017-01-24,6.550000,6.700000,6.450000,6.650000,6.554483,8600
2017-01-25,6.700000,6.800000,6.650000,6.700000,6.603765,14200
2017-01-26,6.550000,6.550000,6.500000,6.500000,6.406637,8500
2017-01-27,6.550000,6.600000,6.550000,6.600000,6.505201,4600
2017-01-30,6.600000,6.650000,6.500000,6.500000,6.406637,10600
2017-01-31,6.550000,6.600000,6.500000,6.550000,6.455920,12300
2017-02-01,6.550000,6.650000,6.500000,6.500000,6.406637,20700
2017-02-02,6.550000,6.600000,6.450000,6.500000,6.406637,11600
2017-02-03,6.600000,6.600000,6.500000,6.600000,6.505201,17000
2017-02-06,6.800000,6.800000,6.450000,6.450000,6.357355,9600
2017-02-07,6.650000,6.650000,6.350000,6.400000,6.308074,7900
2017-02-08,6.400000,6.400000,6.300000,6.350000,6.258792,18900
2017-02-09,6.200000,6.390000,6.200000,6.350000,6.258792,22300
2017-02-10,6.250000,6.350000,6.100000,6.300000,6.209510,35200
2017-02-13,6.150000,6.550000,6.150000,6.300000,6.209510,20700
2017-02-14,6.300000,6.400000,6.250000,6.350000,6.258792,25800
2017-02-15,6.400000,6.450000,6.300000,6.400000,6.308074,13700
2017-02-16,6.400000,6.500000,6.400000,6.400000,6.308074,16200
2017-02-17,6.400000,6.470000,6.400000,6.450000,6.357355,26300
2017-02-21,6.470000,6.500000,6.450000,6.500000,6.406637,9600
2017-02-22,6.450000,6.650000,6.450000,6.650000,6.554483,3000
2017-02-23,6.600000,6.800000,6.600000,6.700000,6.603765,58400
2017-02-24,6.700000,6.800000,6.650000,6.750000,6.653047,38800
2017-02-27,6.700000,6.780000,6.550000,6.600000,6.505201,17400
2017-02-28,6.650000,6.650000,6.350000,6.350000,6.258792,38500
2017-03-01,6.500000,6.700000,6.500000,6.700000,6.603765,19700
2017-03-02,6.680000,6.750000,6.600000,6.650000,6.554483,10300
2017-03-03,6.640000,6.700000,6.600000,6.700000,6.603765,12500
2017-03-06,6.700000,6.700000,6.500000,6.550000,6.455920,11200
2017-03-07,6.500000,6.600000,6.450000,6.450000,6.357355,15100
2017-03-08,6.500000,6.550000,6.390000,6.400000,6.308074,24500
2017-03-09,6.500000,6.550000,6.300000,6.350000,6.258792,30900
2017-03-10,6.400000,6.550000,6.400000,6.450000,6.357355,19300
2017-03-13,6.450000,6.550000,6.310000,6.500000,6.406637,17000
2017-03-14,7.000000,7.000000,6.650000,6.700000,6.603765,18800
2017-03-15,6.750000,6.750000,6.650000,6.700000,6.603765,54700
2017-03-16,6.750000,6.750000,6.650000,6.700000,6.603765,59000
2017-03-17,6.550000,6.700000,6.450000,6.550000,6.455920,167400
2017-03-20,6.600000,6.700000,6.600000,6.650000,6.554483,29000
2017-03-21,6.750000,6.750000,6.500000,6.500000,6.406637,22100
2017-03-22,6.460000,6.650000,6.460000,6.550000,6.455920,98100
2017-03-23,6.640000,6.700000,6.640000,6.700000,6.634150,21900
2017-03-24,6.700000,6.700000,6.650000,6.650000,6.584641,22400
2017-03-27,6.750000,7.010000,6.750000,6.900000,6.832184,56500
2017-03-28,6.950000,7.310000,6.950000,7.100000,7.030219,72800
2017-03-29,7.100000,7.100000,6.970000,7.050000,6.980711,34900
2017-03-30,7.130000,7.450000,7.050000,7.300000,7.228253,62400
2017-03-31,7.350000,7.400000,7.200000,7.300000,7.228253,111200
2017-04-03,7.250000,7.390000,7.250000,7.250000,7.178744,28400
2017-04-04,7.250000,7.300000,7.150000,7.300000,7.228253,24800
2017-04-05,7.400000,7.600000,7.000000,7.000000,6.931201,51500
2017-04-06,7.050000,7.180000,6.800000,6.950000,6.881692,34800
2017-04-07,7.000000,7.100000,6.950000,6.950000,6.881692,6500
2017-04-10,7.050000,7.100000,6.950000,7.050000,6.980711,27000
2017-04-11,7.150000,7.160000,6.950000,6.950000,6.881692,18300
2017-04-12,6.950000,7.000000,6.800000,6.850000,6.782676,9300
2017-04-13,6.850000,7.050000,6.820000,6.850000,6.782676,31100
2017-04-17,6.800000,7.050000,6.800000,7.000000,6.931201,15600
2017-04-18,7.050000,7.200000,7.050000,7.100000,7.030219,31500
2017-04-19,7.100000,7.150000,6.900000,6.900000,6.832184,15900
2017-04-20,6.950000,7.100000,6.950000,7.050000,6.980711,19700
2017-04-21,7.000000,7.400000,7.000000,7.300000,7.228253,26400
2017-04-24,7.400000,7.500000,7.300000,7.350000,7.277761,10400
2017-04-25,7.400000,7.500000,7.400000,7.450000,7.376779,24400
2017-04-26,7.450000,7.500000,7.350000,7.400000,7.327271,33400
2017-04-27,7.400000,7.400000,6.900000,6.950000,6.881692,23200
