Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,8.990000,9.140000,8.660000,8.910000,8.810369,77100
2017-01-04,8.970000,9.170000,8.190000,9.120000,9.018023,79000
2017-01-05,9.070000,9.140000,8.800000,8.850000,8.751041,52400
2017-01-06,8.910000,8.920000,8.750000,8.840000,8.741153,43500
2017-01-09,8.790000,8.840000,8.510000,8.680000,8.582942,36600
2017-01-10,8.730000,8.940000,8.730000,8.870000,8.770818,101600
2017-01-11,8.950000,8.950000,8.700000,8.740000,8.642270,57000
2017-01-12,8.690000,8.730000,8.360000,8.470000,8.375291,49300
2017-01-13,8.490000,8.630000,8.380000,8.400000,8.306073,64500
2017-01-17,8.370000,8.450000,8.200000,8.210000,8.118198,58600
2017-01-18,8.280000,8.300000,8.190000,8.280000,8.187415,41200
2017-01-19,8.280000,8.300000,8.090000,8.110000,8.019316,79800
2017-01-20,8.090000,8.240000,8.040000,8.100000,8.009428,76000
2017-01-23,8.120000,8.200000,7.980000,8.130000,8.039092,123800
2017-01-24,8.180000,8.300000,8.070000,8.270000,8.177527,142100
2017-01-25,8.530000,8.980000,8.350000,8.900000,8.800483,158000
2017-01-26,8.810000,8.870000,8.690000,8.690000,8.592830,60100
2017-01-27,8.630000,8.760000,8.610000,8.650000,8.553277,44400
2017-01-30,8.610000,8.610000,8.260000,8.330000,8.236856,79200
2017-01-31,8.290000,8.550000,8.290000,8.510000,8.414844,116700
2017-02-01,8.680000,8.700000,8.470000,8.550000,8.454396,85100
2017-02-02,8.550000,8.580000,8.500000,8.550000,8.454396,70000
2017-02-03,8.670000,8.830000,8.610000,8.730000,8.632383,78400
2017-02-06,8.650000,8.800000,8.610000,8.730000,8.632383,55300
2017-02-07,8.750000,8.750000,8.640000,8.710000,8.612607,179500
2017-02-08,8.690000,8.690000,8.490000,8.600000,8.533228,117500
2017-02-09,8.610000,8.720000,8.580000,8.610000,8.543150,66400
2017-02-10,8.630000,8.690000,8.600000,8.660000,8.592762,37000
2017-02-13,8.740000,8.740000,8.630000,8.710000,8.642374,52100
2017-02-14,8.700000,8.790000,8.630000,8.690000,8.622528,92600
2017-02-15,8.670000,8.840000,8.660000,8.840000,8.771364,31000
2017-02-16,8.850000,8.950000,8.810000,8.830000,8.761442,53800
2017-02-17,8.830000,8.970000,8.760000,8.900000,8.830898,71600
2017-02-21,8.900000,8.990000,8.830000,8.970000,8.900355,47800
2017-02-22,8.960000,8.960000,8.820000,8.850000,8.781287,39600
2017-02-23,8.920000,8.950000,8.730000,8.770000,8.701908,42700
2017-02-24,8.650000,8.800000,8.650000,8.750000,8.682063,37000
2017-02-27,8.750000,8.890000,8.650000,8.720000,8.652296,54900
2017-02-28,8.690000,8.720000,8.600000,8.610000,8.543150,67300
2017-03-01,8.800000,8.840000,8.650000,8.820000,8.751520,78100
2017-03-02,8.790000,8.800000,8.680000,8.700000,8.632452,40300
2017-03-03,8.680000,8.830000,8.650000,8.710000,8.642374,67600
2017-03-06,8.690000,8.690000,8.600000,8.600000,8.533228,52000
2017-03-07,8.610000,8.660000,8.540000,8.560000,8.493539,100300
2017-03-08,8.650000,8.650000,8.540000,8.540000,8.473694,63500
2017-03-09,8.550000,8.610000,8.510000,8.520000,8.453849,48200
2017-03-10,8.600000,8.600000,8.430000,8.500000,8.434005,75600
2017-03-13,8.480000,8.630000,8.480000,8.550000,8.483616,62300
2017-03-14,8.600000,8.630000,8.450000,8.550000,8.483616,34100
2017-03-15,8.520000,8.600000,8.450000,8.520000,8.453849,86600
2017-03-16,8.580000,8.660000,8.550000,8.640000,8.572918,55000
2017-03-17,8.510000,8.800000,8.510000,8.650000,8.582839,158900
2017-03-20,8.600000,8.790000,8.560000,8.560000,8.493539,39100
2017-03-21,8.630000,8.630000,8.310000,8.390000,8.324859,121300
2017-03-22,8.320000,8.490000,8.190000,8.230000,8.166101,75600
2017-03-23,8.240000,8.470000,8.210000,8.280000,8.215712,50000
2017-03-24,8.350000,8.350000,8.200000,8.220000,8.156178,44400
2017-03-27,8.150000,8.260000,8.150000,8.210000,8.146255,62900
2017-03-28,8.200000,8.410000,8.200000,8.400000,8.334780,40700
2017-03-29,8.350000,8.400000,8.270000,8.370000,8.305013,56200
2017-03-30,8.370000,8.540000,8.370000,8.490000,8.424081,133000
2017-03-31,8.480000,8.520000,8.300000,8.340000,8.275247,438300
2017-04-03,8.370000,8.400000,8.250000,8.260000,8.195868,65100
2017-04-04,8.390000,8.390000,8.180000,8.230000,8.166101,93300
2017-04-05,8.240000,8.340000,8.240000,8.280000,8.215712,162800
2017-04-06,8.240000,8.320000,8.120000,8.190000,8.126410,142300
2017-04-07,8.180000,8.260000,8.150000,8.220000,8.156178,35600
2017-04-10,8.180000,8.290000,8.120000,8.160000,8.096643,26200
2017-04-11,8.120000,8.260000,8.060000,8.250000,8.185945,43100
2017-04-12,8.180000,8.290000,8.060000,8.190000,8.126410,42400
2017-04-13,8.130000,8.200000,8.050000,8.060000,7.997421,69700
2017-04-17,8.080000,8.320000,8.070000,8.300000,8.235558,68100
2017-04-18,8.210000,8.330000,8.100000,8.210000,8.146255,41800
