Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,48.849998,49.470001,48.529999,49.290001,48.359203,100200
2017-01-04,49.340000,49.930000,49.270000,49.599998,48.663345,68200
2017-01-05,49.650002,49.790001,48.380001,48.439999,47.525249,55500
2017-01-06,48.680000,48.910000,48.310001,48.470001,47.554688,33900
2017-01-09,48.240002,48.240002,47.290001,47.410000,46.514706,105500
2017-01-10,47.279999,48.200001,47.049999,48.080002,47.172054,77400
2017-01-11,48.090000,48.560001,48.070000,48.439999,47.525249,47100
2017-01-12,48.240002,48.540001,46.650002,47.450001,46.553951,49900
2017-01-13,47.599998,48.689999,47.330002,47.490002,46.593197,46800
2017-01-17,47.139999,47.459999,46.689999,46.820000,45.935844,62500
2017-01-18,46.980000,47.200001,46.450001,46.790001,45.906414,79500
2017-01-19,46.880001,47.099998,46.040001,46.320000,45.445286,55300
2017-01-20,46.360001,46.889999,46.299999,46.869999,45.984898,47100
2017-01-23,46.750000,46.869999,46.160000,46.240002,45.366795,34600
2017-01-24,46.150002,47.110001,46.150002,46.950001,46.063393,49700
2017-01-25,47.400002,48.020000,47.320000,47.730000,46.828659,50600
2017-01-26,47.849998,47.849998,47.360001,47.470001,46.573570,64500
2017-01-27,47.310001,47.439999,46.669998,47.090000,46.200748,33200
2017-01-30,46.730000,47.259998,46.220001,46.459999,45.582645,73200
2017-01-31,46.480000,47.410000,46.270000,47.200001,46.308670,80600
2017-02-01,47.119999,47.750000,46.029999,46.450001,45.572834,114900
2017-02-02,46.470001,46.799999,45.720001,46.400002,45.523777,34800
2017-02-03,46.790001,47.099998,46.410000,46.959999,46.073200,63300
2017-02-06,47.000000,47.000000,46.349998,46.549999,45.670944,72600
2017-02-07,46.509998,46.790001,46.139999,46.209999,45.337364,57200
2017-02-08,46.080002,46.160000,45.380001,45.990002,45.121521,48100
2017-02-09,45.930000,46.500000,45.669998,46.040001,45.170574,76700
2017-02-10,46.340000,46.689999,46.049999,46.529999,45.651321,80800
