Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,55.240002,55.279999,54.660000,55.230000,54.045433,428900
2017-01-04,55.599998,56.250000,55.520000,55.730000,54.534714,518400
2017-01-05,55.689999,56.009998,55.430000,55.779999,54.583633,548900
2017-01-06,55.860001,56.400002,55.610001,56.360001,55.151199,537500
2017-01-09,56.340000,56.340000,55.529999,55.720001,54.524925,446700
2017-01-10,55.959999,56.520000,55.639999,56.259998,55.053341,498300
2017-01-11,56.270000,56.849998,56.070000,56.759998,55.542614,595900
2017-01-12,56.650002,57.020000,56.240002,56.790001,55.571976,609800
2017-01-13,57.009998,57.259998,56.419998,56.619999,55.405617,367400
2017-01-17,56.779999,57.080002,56.439999,56.880001,55.660046,523800
2017-01-18,57.090000,57.480000,56.750000,57.419998,56.188461,447600
2017-01-19,57.480000,57.689999,56.919998,57.099998,55.875324,437300
2017-01-20,57.330002,57.560001,57.110001,57.169998,55.943825,478100
2017-01-23,56.900002,57.310001,56.720001,56.840000,55.620903,398100
2017-01-24,57.009998,57.310001,56.990002,57.130001,55.904682,295000
2017-01-25,57.450001,57.610001,57.230000,57.279999,56.051464,329300
2017-01-26,57.310001,57.610001,57.040001,57.259998,56.031895,424500
2017-01-27,57.279999,57.299999,56.759998,56.919998,55.699184,324500
2017-01-30,56.630001,56.840000,56.110001,56.509998,55.297981,435900
2017-01-31,56.610001,57.000000,56.099998,57.000000,55.777470,743300
2017-02-01,57.230000,57.779999,56.959999,57.619999,56.384174,1040200
2017-02-02,57.439999,58.759998,57.279999,58.660000,57.401867,680200
2017-02-03,57.619999,58.340000,57.230000,57.730000,56.491814,950600
2017-02-06,57.200001,57.560001,56.549999,56.740002,55.523048,808200
2017-02-07,56.919998,57.369999,56.910000,57.119999,55.894894,471300
2017-02-08,57.060001,57.200001,56.860001,56.980000,55.757900,214600
2017-02-09,56.980000,57.279999,56.830002,57.150002,55.924252,232500
2017-02-10,57.389999,57.529999,57.139999,57.150002,55.924252,512900
2017-02-13,57.090000,57.570000,57.090000,57.430000,56.198246,861400
2017-02-14,57.299999,57.599998,57.090000,57.369999,56.139534,591300
2017-02-15,57.619999,58.169998,57.369999,58.169998,56.922375,296000
2017-02-16,58.169998,58.639999,58.040001,58.570000,57.313797,315500
2017-02-17,58.490002,58.490002,57.970001,58.330002,57.078945,281500
2017-02-21,58.340000,58.470001,57.750000,57.869999,56.628807,436700
2017-02-22,57.919998,58.110001,57.660000,57.740002,56.501602,416500
2017-02-23,57.939999,58.119999,57.450001,57.540001,56.305889,763600
2017-02-24,57.150002,57.630001,57.150002,57.310001,56.080826,505700
2017-02-27,57.290001,57.540001,57.150002,57.490002,56.256962,514800
2017-02-28,57.450001,57.750000,57.220001,57.660000,56.423313,543000
2017-03-01,58.150002,58.450001,57.980000,58.410000,57.157227,298800
2017-03-02,58.240002,58.340000,57.709999,57.759998,56.521172,275300
2017-03-03,57.619999,57.849998,57.340000,57.700001,56.462460,711400
2017-03-06,57.529999,57.599998,57.320000,57.500000,56.266747,701200
2017-03-07,57.320000,57.639999,57.299999,57.580002,56.345032,489700
2017-03-08,57.599998,57.970001,57.470001,57.570000,56.335243,493800
2017-03-09,57.580002,57.770000,57.180000,57.400002,56.168896,458300
2017-03-10,57.599998,57.669998,57.230000,57.470001,56.237392,252300
2017-03-13,57.049999,57.330002,56.660000,56.900002,56.050228,323300
2017-03-14,56.970001,57.290001,56.849998,56.919998,56.069927,326000
2017-03-15,56.840000,57.070000,56.520000,56.799999,55.951717,426400
2017-03-16,56.830002,56.939999,56.529999,56.720001,55.872913,315100
2017-03-17,56.860001,56.860001,56.330002,56.669998,55.823658,262700
2017-03-20,56.509998,56.520000,56.230000,56.279999,55.439484,198100
2017-03-21,56.480000,56.590000,55.880001,56.180000,55.340981,520100
2017-03-22,56.070000,56.419998,55.910000,56.369999,55.528141,427500
2017-03-23,56.380001,56.740002,56.270000,56.320000,55.478889,283500
2017-03-24,56.320000,56.650002,56.119999,56.130001,55.291729,344700
2017-03-27,55.619999,56.040001,54.790001,55.680000,54.848450,321500
2017-03-28,55.590000,56.689999,55.560001,56.459999,55.616795,377900
2017-03-29,56.299999,56.549999,56.099998,56.200001,55.360680,279300
2017-03-30,56.189999,56.590000,55.900002,56.529999,55.685749,160500
2017-03-31,56.540001,56.759998,56.299999,56.389999,55.547840,368000
2017-04-03,56.439999,56.880001,56.130001,56.259998,55.419781,306500
2017-04-04,56.200001,56.950001,56.200001,56.869999,56.020676,353600
2017-04-05,57.049999,57.049999,56.189999,56.299999,55.459187,494000
2017-04-06,56.320000,56.320000,55.810001,56.060001,55.222775,329800
2017-04-07,55.970001,56.250000,55.660000,55.750000,54.917400,328600
2017-04-10,55.799999,56.160000,55.799999,56.060001,55.222775,180200
2017-04-11,55.980000,56.220001,55.700001,55.840000,55.006058,215400
2017-04-12,55.790001,55.810001,55.459999,55.630001,54.799194,259000
2017-04-13,55.480000,55.480000,55.000000,55.060001,54.237705,233200
2017-04-17,54.959999,55.570000,54.820000,55.520000,54.690838,359400
2017-04-18,55.360001,55.570000,55.180000,55.410000,54.582478,348400
2017-04-19,55.529999,55.689999,54.889999,55.610001,54.779495,405800
2017-04-20,55.709999,55.849998,55.250000,55.770000,54.937103,211500
2017-04-21,55.580002,55.830002,55.490002,55.590000,54.759792,206400
2017-04-24,56.099998,56.360001,55.790001,56.259998,55.419781,402000
2017-04-25,56.459999,56.880001,56.340000,56.790001,55.941868,298700
2017-04-26,56.820000,57.400002,56.730000,56.980000,56.129032,252100
2017-04-27,56.410000,56.410000,55.009998,55.090000,54.267258,803400
2017-04-28,55.049999,55.500000,54.939999,55.279999,54.454418,604700
2017-05-01,55.240002,55.500000,54.900002,55.450001,54.621880,575500
2017-05-02,55.500000,55.660000,55.000000,55.180000,54.355911,317600
2017-05-03,55.119999,55.290001,54.799999,55.139999,54.316509,261500
2017-05-04,55.250000,55.500000,55.110001,55.439999,54.612026,273100
2017-05-05,55.500000,55.500000,54.650002,54.759998,53.942184,323900
2017-05-08,54.889999,55.090000,54.189999,54.410000,53.597416,310200
2017-05-09,54.410000,54.660000,53.799999,53.930000,53.124580,362900
2017-05-10,53.900002,54.119999,53.689999,53.840000,53.035927,279700
2017-05-11,53.570000,53.689999,53.119999,53.290001,52.494141,504000
2017-05-12,53.169998,53.509998,52.860001,52.970001,52.178921,561000
2017-05-15,52.970001,53.259998,52.740002,53.099998,52.306976,578900
2017-05-16,53.240002,53.369999,52.840000,53.000000,52.208473,777800
2017-05-17,52.400002,52.900002,52.169998,52.299999,51.518925,659800
2017-05-18,52.209999,52.549999,51.980000,52.240002,51.459824,476500
