Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,56.500000,56.849998,55.299999,55.750000,54.550117,71500
2017-01-04,55.700001,56.349998,55.349998,55.950001,54.745819,66300
2017-01-05,55.849998,56.299999,54.500000,54.750000,53.571640,45700
2017-01-06,54.849998,55.250000,54.250000,54.650002,53.473797,32200
2017-01-09,54.250000,54.250000,52.900002,53.250000,52.103924,53400
2017-01-10,53.150002,54.150002,53.150002,53.849998,52.691010,84300
2017-01-11,53.599998,53.849998,52.950001,53.549999,52.397469,80700
2017-01-12,53.400002,53.400002,51.700001,52.450001,51.321148,38600
2017-01-13,52.849998,53.799999,52.049999,53.150002,52.006077,62000
2017-01-17,52.849998,52.849998,51.450001,51.500000,50.391590,48500
2017-01-18,51.849998,52.299999,51.400002,52.099998,50.978676,45500
2017-01-19,52.099998,52.099998,51.400002,51.849998,50.734055,27500
2017-01-20,52.200001,53.000000,52.150002,52.349998,51.223293,35300
2017-01-23,52.250000,53.000000,52.150002,52.750000,51.614689,32000
2017-01-24,52.849998,53.599998,52.150002,53.450001,52.299618,32600
2017-01-25,54.000000,54.549999,53.599998,54.150002,52.984558,41400
2017-01-26,56.450001,58.299999,51.099998,57.799999,56.555996,73800
2017-01-27,58.250000,58.250000,56.200001,56.500000,55.283974,46400
2017-01-30,56.150002,56.900002,54.650002,54.650002,53.473797,45000
2017-01-31,54.450001,54.900002,53.549999,54.500000,53.327023,57500
2017-02-01,55.250000,55.750000,53.779999,53.900002,52.739937,46800
2017-02-02,53.950001,53.950001,52.450001,52.849998,51.712532,44100
2017-02-03,53.450001,54.200001,53.200001,54.099998,52.935631,36800
2017-02-06,54.000000,54.000000,52.700001,52.799999,51.663609,31500
2017-02-07,53.000000,53.700001,52.549999,52.900002,51.761463,25700
2017-02-08,52.750000,52.750000,51.799999,52.400002,51.272221,39800
2017-02-09,52.750000,53.349998,52.299999,52.900002,51.761463,24800
2017-02-10,53.500000,53.950001,53.000000,53.950001,52.788860,31500
2017-02-13,54.000000,55.450001,54.000000,54.950001,53.767338,57100
2017-02-14,54.750000,55.950001,54.750000,55.450001,54.256577,93900
2017-02-15,55.750000,56.000000,55.000000,55.349998,54.158726,33900
2017-02-16,55.299999,55.599998,54.750000,55.500000,54.305500,23100
2017-02-17,55.250000,55.599998,54.950001,55.599998,54.403343,29000
2017-02-21,55.750000,55.900002,55.259998,55.650002,54.452271,19900
2017-02-22,55.549999,56.349998,55.049999,55.849998,54.647968,52900
2017-02-23,56.400002,56.450001,55.200001,55.849998,54.647968,61900
2017-02-24,55.349998,55.599998,54.650002,55.000000,53.816261,51100
2017-02-27,54.950001,55.049999,54.599998,54.849998,53.669487,30100
2017-02-28,54.750000,54.799999,53.599998,54.200001,53.033482,52500
2017-03-01,55.000000,55.299999,54.529999,54.849998,53.669487,73100
2017-03-02,55.099998,55.099998,53.450001,53.500000,52.348545,34500
2017-03-03,53.750000,54.200001,53.150002,53.950001,52.788860,33400
2017-03-06,53.750000,54.430000,53.450001,54.049999,52.886707,25600
2017-03-07,54.000000,54.450001,53.900002,54.000000,52.837784,18500
2017-03-08,54.400002,55.000000,53.349998,53.349998,52.201775,26900
2017-03-09,53.400002,54.049999,52.799999,52.900002,51.761463,23500
2017-03-10,53.549999,53.549999,52.049999,52.799999,51.663609,36000
2017-03-13,52.799999,53.450001,52.250000,52.799999,51.663609,24000
2017-03-14,52.650002,53.099998,51.799999,52.599998,51.467915,23100
2017-03-15,52.750000,53.000000,52.250000,52.549999,51.418987,32300
2017-03-16,52.799999,53.250000,52.549999,53.150002,52.006077,38400
2017-03-17,53.150002,53.849998,52.450001,53.150002,52.006077,123800
2017-03-20,53.099998,53.650002,52.799999,52.900002,51.761463,24700
2017-03-21,53.400002,53.400002,49.900002,50.000000,48.923874,55600
2017-03-22,50.200001,50.200001,48.299999,49.299999,48.238937,38800
2017-03-23,49.400002,50.349998,49.349998,49.500000,48.434635,46100
2017-03-24,49.750000,50.250000,49.400002,49.849998,48.777103,39300
2017-03-27,48.849998,49.599998,48.400002,49.450001,48.385712,46700
2017-03-28,49.450001,50.299999,48.900002,50.099998,49.021721,26700
2017-03-29,50.049999,50.150002,49.349998,49.750000,48.679253,30000
2017-03-30,49.599998,50.599998,49.049999,50.349998,49.645542,51400
2017-03-31,50.400002,50.400002,49.200001,49.299999,48.610233,65000
2017-04-03,49.500000,49.849998,48.799999,49.400002,48.708836,35200
2017-04-04,49.049999,49.950001,49.049999,49.599998,48.906036,46400
2017-04-05,49.599998,50.349998,48.650002,48.799999,48.117229,63800
2017-04-06,48.799999,49.299999,48.299999,49.250000,48.560932,49700
2017-04-07,49.150002,49.599998,48.599998,49.099998,48.413033,53300
2017-04-10,49.349998,49.599998,48.299999,48.799999,48.117229,22700
