Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,11.390000,11.900000,11.260000,11.890000,11.575877,2534700
2017-01-04,11.810000,12.330000,11.770000,12.240000,11.916631,2326300
2017-01-05,12.200000,12.250000,11.800000,11.830000,11.517463,2818400
2017-01-06,11.910000,11.920000,11.580000,11.590000,11.283803,1385400
2017-01-09,11.510000,11.580000,11.150000,11.160000,10.865163,1474000
2017-01-10,11.270000,11.540000,11.180000,11.270000,10.972258,1698200
2017-01-11,11.340000,11.530000,11.140000,11.390000,11.089087,1552500
2017-01-12,11.300000,11.370000,10.970000,11.270000,10.972258,1629600
2017-01-13,11.340000,11.670000,11.340000,11.380000,11.079350,1538800
2017-01-17,11.440000,11.470000,10.770000,10.800000,10.514674,1774100
2017-01-18,10.820000,10.880000,10.580000,10.840000,10.553617,1421200
2017-01-19,10.880000,11.040000,10.630000,10.730000,10.446523,1685000
2017-01-20,10.770000,10.830000,10.590000,10.640000,10.358901,1530700
2017-01-23,10.560000,10.670000,10.210000,10.280000,10.008411,2538700
2017-01-24,10.380000,10.690000,10.280000,10.580000,10.300486,1815000
2017-01-25,10.770000,10.870000,10.600000,10.830000,10.543881,2780500
2017-01-26,10.830000,10.910000,10.400000,10.450000,10.173921,1458800
2017-01-27,10.430000,10.500000,10.220000,10.240000,9.969468,1464200
2017-01-30,10.110000,10.470000,9.950000,10.390000,10.115506,2163800
2017-01-31,10.300000,10.350000,10.070000,10.300000,10.027884,2067400
2017-02-01,10.400000,10.560000,10.050000,10.230000,9.959732,2235000
2017-02-02,10.090000,10.320000,9.980000,10.210000,9.940262,3350900
2017-02-03,10.050000,10.100000,8.920000,8.950000,8.713549,9153500
2017-02-06,9.110000,9.170000,8.580000,8.670000,8.440948,7060600
2017-02-07,8.670000,9.010000,8.450000,9.000000,8.762228,7971900
2017-02-08,8.870000,8.940000,8.530000,8.710000,8.479890,4082600
2017-02-09,8.750000,8.870000,8.630000,8.660000,8.431211,3821300
2017-02-10,8.740000,8.850000,8.630000,8.750000,8.518834,2217900
2017-02-13,8.760000,8.850000,8.600000,8.630000,8.479531,2035100
2017-02-14,8.630000,8.800000,8.580000,8.760000,8.607264,2282400
2017-02-15,8.900000,9.020000,8.820000,8.920000,8.764474,2450500
2017-02-16,8.880000,8.950000,8.770000,8.800000,8.646566,1422900
2017-02-17,8.810000,9.070000,8.680000,9.050000,8.892208,2428800
2017-02-21,9.240000,9.240000,9.030000,9.170000,9.010116,2928000
2017-02-22,9.150000,9.220000,9.100000,9.180000,9.019941,3393400
2017-02-23,9.100000,9.200000,8.970000,9.180000,9.019941,2060900
2017-02-24,9.000000,9.140000,8.950000,9.050000,8.892208,1721000
2017-02-27,9.050000,9.320000,9.030000,9.320000,9.157499,2604000
2017-02-28,9.200000,9.300000,8.980000,9.110000,8.951161,2272600
2017-03-01,9.340000,9.710000,9.310000,9.490000,9.324535,3046700
2017-03-02,9.430000,9.570000,9.320000,9.530000,9.363838,3186100
2017-03-03,9.540000,9.550000,9.180000,9.220000,9.059243,2314900
2017-03-06,9.100000,9.170000,8.980000,9.160000,9.000290,1393200
2017-03-07,9.120000,9.260000,9.080000,9.230000,9.069068,2066800
2017-03-08,9.250000,9.410000,9.250000,9.340000,9.177152,1983100
2017-03-09,9.320000,9.340000,9.030000,9.190000,9.029766,1825200
2017-03-10,9.250000,9.370000,8.970000,8.980000,8.823428,2297800
2017-03-13,8.990000,9.130000,8.980000,9.020000,8.862731,1456100
2017-03-14,8.910000,9.110000,8.880000,9.090000,8.931511,1432000
2017-03-15,9.140000,9.310000,9.050000,9.160000,9.000290,2506400
2017-03-16,9.160000,9.520000,9.130000,9.370000,9.206628,2739100
2017-03-17,9.320000,9.450000,9.020000,9.040000,8.882382,2430700
2017-03-20,8.990000,9.040000,8.820000,8.960000,8.803777,1262600
2017-03-21,9.030000,9.030000,8.570000,8.650000,8.499182,1999500
2017-03-22,8.660000,8.740000,8.480000,8.650000,8.499182,1340500
2017-03-23,8.620000,8.770000,8.530000,8.560000,8.410751,1051600
2017-03-24,8.600000,8.710000,8.470000,8.590000,8.440228,1051000
2017-03-27,8.400000,8.610000,8.300000,8.560000,8.410751,1830800
2017-03-28,8.560000,8.870000,8.500000,8.780000,8.626915,19338000
2017-03-29,8.820000,8.950000,8.730000,8.760000,8.607264,1748800
2017-03-30,8.830000,8.990000,8.740000,8.920000,8.764474,1810900
2017-03-31,8.880000,9.150000,8.870000,9.080000,8.921684,1918400
