Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,1.600000,1.600000,1.450000,1.550000,1.550000,915200
2017-01-04,1.450000,1.500000,1.450000,1.500000,1.500000,476400
2017-01-05,1.450000,1.550000,1.450000,1.500000,1.500000,651400
2017-01-06,1.450000,1.500000,1.450000,1.500000,1.500000,533600
2017-01-09,1.500000,1.500000,1.400000,1.450000,1.450000,953800
2017-01-10,1.450000,1.500000,1.400000,1.500000,1.500000,173800
2017-01-11,1.450000,1.500000,1.400000,1.450000,1.450000,394500
2017-01-12,1.450000,1.500000,1.400000,1.450000,1.450000,570500
2017-01-13,1.450000,1.500000,1.450000,1.500000,1.500000,477800
2017-01-17,1.450000,1.500000,1.400000,1.450000,1.450000,746900
2017-01-18,1.450000,1.500000,1.400000,1.450000,1.450000,365000
2017-01-19,1.500000,1.500000,1.400000,1.400000,1.400000,250200
2017-01-20,1.400000,1.500000,1.380000,1.450000,1.450000,634000
2017-01-23,1.450000,1.500000,1.450000,1.450000,1.450000,324200
2017-01-24,1.450000,1.450000,1.350000,1.450000,1.450000,166900
2017-01-25,1.450000,1.500000,1.400000,1.500000,1.500000,302100
2017-01-26,1.500000,1.500000,1.450000,1.450000,1.450000,318600
2017-01-27,1.450000,1.500000,1.400000,1.400000,1.400000,314200
2017-01-30,1.400000,1.450000,1.400000,1.400000,1.400000,208000
2017-01-31,1.400000,1.600000,1.350000,1.550000,1.550000,764900
2017-02-01,1.550000,1.550000,1.450000,1.450000,1.450000,210400
2017-02-02,1.450000,1.530000,1.450000,1.500000,1.500000,867300
2017-02-03,1.500000,1.500000,1.450000,1.450000,1.450000,311800
2017-02-06,1.450000,1.500000,1.400000,1.430000,1.430000,308200
2017-02-07,1.400000,1.450000,1.400000,1.400000,1.400000,200200
2017-02-08,1.450000,1.450000,1.350000,1.400000,1.400000,650100
2017-02-09,1.400000,1.430000,1.350000,1.400000,1.400000,322000
2017-02-10,1.400000,1.450000,1.350000,1.400000,1.400000,340500
2017-02-13,1.350000,1.400000,1.300000,1.350000,1.350000,1116700
2017-02-14,1.300000,1.350000,1.300000,1.300000,1.300000,403100
2017-02-15,1.300000,1.350000,1.300000,1.350000,1.350000,163400
2017-02-16,1.300000,1.350000,1.300000,1.300000,1.300000,367500
2017-02-17,1.350000,1.350000,1.300000,1.330000,1.330000,380700
2017-02-21,1.350000,1.350000,1.300000,1.350000,1.350000,340800
2017-02-22,1.350000,1.350000,1.300000,1.300000,1.300000,382200
2017-02-23,1.300000,1.350000,1.300000,1.300000,1.300000,607700
2017-02-24,1.300000,1.350000,1.270000,1.330000,1.330000,478800
2017-02-27,1.300000,1.350000,1.300000,1.350000,1.350000,287600
2017-02-28,1.300000,1.350000,1.300000,1.350000,1.350000,633300
2017-03-01,1.350000,1.350000,1.250000,1.300000,1.300000,1012900
2017-03-02,1.300000,1.300000,1.250000,1.250000,1.250000,330100
2017-03-03,1.250000,1.300000,1.250000,1.300000,1.300000,342500
2017-03-06,1.300000,1.300000,1.200000,1.250000,1.250000,1956000
2017-03-07,1.250000,1.250000,1.200000,1.200000,1.200000,478000
2017-03-08,1.200000,1.250000,1.200000,1.200000,1.200000,320300
2017-03-09,1.200000,1.250000,1.050000,1.180000,1.180000,2224300
2017-03-10,1.200000,1.200000,1.050000,1.100000,1.100000,1173000
2017-03-13,1.100000,1.200000,1.080000,1.150000,1.150000,673000
2017-03-14,1.150000,1.150000,1.100000,1.100000,1.100000,325600
2017-03-15,1.150000,1.250000,1.100000,1.250000,1.250000,1714900
2017-03-16,1.250000,1.400000,1.200000,1.400000,1.400000,826100
2017-03-17,1.350000,1.500000,1.350000,1.400000,1.400000,2051400
2017-03-20,1.400000,1.450000,1.350000,1.400000,1.400000,904700
2017-03-21,1.400000,1.450000,1.250000,1.350000,1.350000,2430300
2017-03-22,1.350000,1.350000,1.300000,1.300000,1.300000,675200
2017-03-23,1.300000,1.350000,1.300000,1.350000,1.350000,343800
2017-03-24,1.350000,1.350000,1.250000,1.300000,1.300000,573300
2017-03-27,1.250000,1.350000,1.250000,1.330000,1.330000,598500
2017-03-28,1.300000,1.350000,1.300000,1.300000,1.300000,256700
2017-03-29,1.300000,1.350000,1.300000,1.330000,1.330000,251500
2017-03-30,1.300000,1.430000,1.300000,1.400000,1.400000,534600
2017-03-31,1.350000,1.450000,1.350000,1.450000,1.450000,1242600
2017-04-03,1.450000,1.450000,1.400000,1.430000,1.430000,312800
2017-04-04,1.450000,1.450000,1.400000,1.450000,1.450000,263900
2017-04-05,1.450000,1.500000,1.400000,1.480000,1.480000,794600
2017-04-06,1.500000,1.600000,1.400000,1.500000,1.500000,1048900
2017-04-07,1.450000,1.550000,1.450000,1.550000,1.550000,378200
2017-04-10,1.550000,1.580000,1.500000,1.550000,1.550000,982100
2017-04-11,1.500000,1.550000,1.500000,1.530000,1.530000,347300
2017-04-12,1.500000,1.550000,1.500000,1.530000,1.530000,200200
2017-04-13,1.500000,1.600000,1.500000,1.500000,1.500000,698400
2017-04-17,1.550000,1.550000,1.450000,1.500000,1.500000,333000
2017-04-18,1.500000,1.550000,1.450000,1.550000,1.550000,367500
2017-04-19,1.550000,1.550000,1.500000,1.500000,1.500000,351900
2017-04-20,1.500000,1.550000,1.500000,1.550000,1.550000,309400
2017-04-21,1.500000,1.550000,1.500000,1.550000,1.550000,439000
2017-04-24,1.500000,1.550000,1.500000,1.530000,1.530000,230200
2017-04-25,1.500000,1.550000,1.500000,1.500000,1.500000,352700
2017-04-26,1.500000,1.550000,1.450000,1.500000,1.500000,677300
2017-04-27,1.500000,1.530000,1.400000,1.480000,1.480000,662800
2017-04-28,1.450000,1.500000,1.450000,1.500000,1.500000,445300
2017-05-01,1.450000,1.500000,1.450000,1.480000,1.480000,210900
2017-05-02,1.450000,1.450000,1.300000,1.400000,1.400000,460400
2017-05-03,1.400000,1.400000,1.350000,1.380000,1.380000,194300
2017-05-04,1.350000,1.350000,1.250000,1.300000,1.300000,531100
2017-05-05,1.250000,1.350000,1.250000,1.300000,1.300000,379900
2017-05-08,1.300000,1.350000,1.250000,1.250000,1.250000,207100
2017-05-09,1.250000,1.330000,1.250000,1.300000,1.300000,208300
2017-05-10,1.250000,1.350000,1.250000,1.300000,1.300000,196500
2017-05-11,1.300000,1.350000,1.250000,1.250000,1.250000,286400
2017-05-12,1.250000,1.300000,1.250000,1.250000,1.250000,402400
2017-05-15,1.250000,1.350000,1.250000,1.270000,1.270000,219700
2017-05-16,1.300000,1.300000,1.250000,1.300000,1.300000,191600
2017-05-17,1.250000,1.300000,1.150000,1.250000,1.250000,1036400
2017-05-18,1.200000,1.250000,1.200000,1.230000,1.230000,93900
2017-05-19,1.200000,1.250000,1.150000,1.200000,1.200000,596900
2017-05-22,1.200000,1.230000,1.150000,1.180000,1.180000,481500
2017-05-23,1.200000,1.200000,1.150000,1.200000,1.200000,418200
2017-05-24,1.200000,1.250000,1.200000,1.250000,1.250000,227700
2017-05-25,1.250000,1.250000,1.200000,1.200000,1.200000,320100
2017-05-26,1.150000,1.200000,1.100000,1.100000,1.100000,508500
2017-05-30,1.100000,1.200000,1.100000,1.150000,1.150000,299400
2017-05-31,1.150000,1.200000,1.100000,1.100000,1.100000,590500
2017-06-01,1.150000,1.250000,1.150000,1.200000,1.200000,448900
2017-06-02,1.250000,1.250000,1.150000,1.250000,1.250000,412000
2017-06-05,1.200000,1.230000,1.150000,1.150000,1.150000,187100
2017-06-06,1.150000,1.200000,1.100000,1.150000,1.150000,331900
2017-06-07,1.150000,1.180000,1.100000,1.100000,1.100000,320300
2017-06-08,1.100000,1.150000,1.100000,1.150000,1.150000,384900
2017-06-09,1.150000,1.150000,1.100000,1.150000,1.150000,258000
2017-06-12,1.150000,1.200000,1.100000,1.150000,1.150000,304700
2017-06-13,1.150000,1.200000,1.150000,1.180000,1.180000,285600
2017-06-14,1.150000,1.200000,1.150000,1.150000,1.150000,227500
2017-06-15,1.150000,1.200000,1.150000,1.150000,1.150000,198500
2017-06-16,1.100000,1.200000,1.100000,1.200000,1.200000,929900
2017-06-19,1.200000,1.250000,1.150000,1.200000,1.200000,463000
2017-06-20,1.150000,1.300000,1.150000,1.250000,1.250000,798000
2017-06-21,1.250000,1.380000,1.250000,1.250000,1.250000,633400
2017-06-22,1.250000,1.350000,1.250000,1.270000,1.270000,453200
2017-06-23,1.300000,1.340000,1.250000,1.300000,1.300000,7123900
2017-06-26,1.300000,1.350000,1.300000,1.350000,1.350000,344900
2017-06-27,1.350000,1.350000,1.200000,1.250000,1.250000,377800
2017-06-28,1.250000,1.300000,1.250000,1.300000,1.300000,287400
2017-06-29,1.300000,1.300000,1.200000,1.200000,1.200000,294800
2017-06-30,1.200000,1.250000,1.200000,1.250000,1.250000,210800
2017-07-03,1.250000,1.270000,1.200000,1.250000,1.250000,153800
2017-07-05,1.200000,1.250000,1.200000,1.200000,1.200000,329600
2017-07-06,1.200000,1.250000,1.200000,1.200000,1.200000,206200
2017-07-07,1.200000,1.250000,1.150000,1.250000,1.250000,405400
2017-07-10,1.200000,1.250000,1.150000,1.150000,1.150000,510300
2017-07-11,1.150000,1.200000,1.150000,1.150000,1.150000,380300
2017-07-12,1.150000,1.200000,1.100000,1.200000,1.200000,357500
2017-07-13,1.150000,1.200000,1.100000,1.150000,1.150000,338700
2017-07-14,1.150000,1.200000,1.100000,1.150000,1.150000,327600
2017-07-17,1.150000,1.200000,1.100000,1.200000,1.200000,249900
2017-07-18,1.200000,1.250000,1.150000,1.200000,1.200000,370900
2017-07-19,1.200000,1.250000,1.180000,1.250000,1.250000,214900
2017-07-20,1.250000,1.250000,1.200000,1.250000,1.250000,232500
2017-07-21,1.250000,1.350000,1.200000,1.300000,1.300000,671400
2017-07-24,1.300000,1.350000,1.250000,1.250000,1.250000,212000
2017-07-25,1.300000,1.350000,1.250000,1.250000,1.250000,320700
