Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,28.549999,28.549999,27.709999,27.870001,27.870001,70900
2017-01-04,27.870001,28.250000,27.870001,28.070000,28.070000,71100
2017-01-05,28.110001,29.469999,27.820000,28.540001,28.540001,119600
2017-01-06,28.809999,28.920000,28.170000,28.480000,28.480000,47300
2017-01-09,28.400000,28.400000,27.990000,28.219999,28.219999,40800
2017-01-10,28.250000,29.000000,27.969999,28.809999,28.809999,67200
2017-01-11,28.820000,29.219999,28.600000,28.959999,28.959999,21100
2017-01-12,28.730000,28.730000,27.559999,27.879999,27.879999,16600
2017-01-13,27.879999,29.250000,27.879999,28.430000,28.430000,53000
2017-01-17,28.330000,28.330000,26.959999,27.000000,27.000000,26000
2017-01-18,27.219999,27.230000,26.809999,26.910000,26.910000,23200
2017-01-19,26.910000,26.990000,26.250000,26.510000,26.510000,23700
2017-01-20,26.639999,27.059999,26.490000,26.620001,26.620001,22700
2017-01-23,26.540001,26.540001,25.950001,26.090000,26.090000,24000
2017-01-24,26.320000,27.360001,26.000000,27.040001,27.040001,32900
2017-01-25,27.040001,27.690001,27.040001,27.520000,27.520000,19300
2017-01-26,27.719999,27.840000,27.190001,27.260000,27.260000,19100
2017-01-27,27.400000,27.400000,27.030001,27.120001,27.120001,8500
2017-01-30,27.020000,27.020000,26.200001,26.379999,26.379999,23600
2017-01-31,26.340000,26.559999,25.940001,26.040001,26.040001,36500
2017-02-01,26.299999,26.969999,26.299999,26.700001,26.700001,27100
2017-02-02,26.860001,26.980000,26.500000,26.850000,26.850000,32800
2017-02-03,27.000000,27.780001,27.000000,27.780001,27.780001,20300
2017-02-06,27.410000,27.660000,27.350000,27.600000,27.600000,19000
2017-02-07,27.629999,27.760000,27.530001,27.709999,27.709999,20400
2017-02-08,27.709999,27.990000,27.580000,27.750000,27.750000,47600
2017-02-09,27.790001,27.959999,27.510000,27.540001,27.540001,9400
2017-02-10,27.629999,27.840000,27.400000,27.809999,27.809999,16900
2017-02-13,27.840000,28.000000,27.410000,27.730000,27.730000,21300
2017-02-14,27.580000,27.940001,27.040001,27.799999,27.799999,29400
2017-02-15,27.799999,27.969999,27.639999,27.860001,27.860001,12300
2017-02-16,27.990000,28.000000,27.799999,27.950001,27.950001,25100
2017-02-17,27.980000,28.000000,27.830000,27.840000,27.840000,46200
2017-02-21,27.990000,28.200001,27.990000,28.200001,28.200001,22600
2017-02-22,28.000000,28.480000,28.000000,28.480000,28.480000,22600
2017-02-23,28.250000,28.459999,27.740000,27.990000,27.990000,18300
2017-02-24,27.799999,27.940001,26.900000,27.010000,27.010000,33200
2017-02-27,26.900000,27.570000,26.280001,27.150000,27.150000,49600
2017-02-28,26.110001,27.250000,26.110001,26.629999,26.629999,35400
2017-03-01,26.950001,27.580000,26.950001,27.200001,27.200001,27900
2017-03-02,27.129999,27.129999,26.500000,26.900000,26.900000,23100
2017-03-03,26.270000,27.030001,26.270000,26.889999,26.889999,41900
2017-03-06,26.629999,26.959999,26.309999,26.490000,26.490000,23500
2017-03-07,26.500000,26.500000,26.200001,26.200001,26.200001,11500
2017-03-08,26.400000,26.400000,25.610001,25.650000,25.650000,26100
