Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,1.450000,1.530000,1.400000,1.470000,1.470000,24600
2017-01-04,1.460000,1.530000,1.400000,1.430000,1.430000,40800
2017-01-05,1.430000,1.500000,1.390000,1.480000,1.480000,46300
2017-01-06,1.470000,1.590000,1.460000,1.560000,1.560000,100700
2017-01-09,1.550000,1.650000,1.530000,1.620000,1.620000,52900
2017-01-10,1.600000,1.720000,1.600000,1.660000,1.660000,81700
2017-01-11,1.710000,1.970000,1.680000,1.750000,1.750000,414300
2017-01-12,1.730000,1.810000,1.660000,1.760000,1.760000,83400
2017-01-13,1.810000,1.810000,1.710000,1.710000,1.710000,21700
2017-01-17,1.800000,1.800000,1.530000,1.550000,1.550000,19600
2017-01-18,1.550000,1.610000,1.520000,1.570000,1.570000,37900
2017-01-19,1.540000,1.640000,1.500000,1.500000,1.500000,13500
2017-01-20,1.600000,1.640000,1.500000,1.560000,1.560000,8300
2017-01-23,1.550000,1.590000,1.510000,1.510000,1.510000,15300
2017-01-24,1.510000,1.570000,1.500000,1.510000,1.510000,10500
2017-01-25,1.550000,1.590000,1.550000,1.570000,1.570000,4400
2017-01-26,1.580000,1.680000,1.560000,1.600000,1.600000,26500
2017-01-27,1.580000,1.720000,1.580000,1.680000,1.680000,23900
2017-01-30,1.710000,1.720000,1.640000,1.640000,1.640000,9400
2017-01-31,1.650000,1.720000,1.560000,1.720000,1.720000,18900
2017-02-01,1.730000,1.750000,1.700000,1.740000,1.740000,9800
2017-02-02,1.740000,1.740000,1.710000,1.740000,1.740000,5100
2017-02-03,1.770000,3.320000,1.690000,2.480000,2.480000,2338500
2017-02-06,2.550000,2.550000,2.050000,2.160000,2.160000,333600
2017-02-07,2.150000,2.300000,1.970000,2.050000,2.050000,139300
2017-02-08,2.060000,2.180000,1.960000,1.970000,1.970000,60300
2017-02-09,1.980000,2.090000,1.880000,1.960000,1.960000,27200
2017-02-10,2.010000,2.080000,1.970000,2.020000,2.020000,38400
2017-02-13,2.060000,2.160000,2.020000,2.050000,2.050000,137200
2017-02-14,2.400000,5.180000,2.350000,4.320000,4.320000,25902500
2017-02-15,3.750000,4.180000,3.330000,3.370000,3.370000,2716600
2017-02-16,3.370000,3.500000,3.020000,3.180000,3.180000,496300
2017-02-17,3.120000,3.430000,3.070000,3.340000,3.340000,356000
2017-02-21,3.350000,3.380000,2.940000,2.950000,2.950000,319200
2017-02-22,2.870000,2.910000,2.490000,2.630000,2.630000,411700
2017-02-23,2.650000,3.050000,2.490000,2.800000,2.800000,308000
2017-02-24,2.700000,3.000000,2.600000,3.000000,3.000000,340400
2017-02-27,3.050000,3.200000,2.810000,2.930000,2.930000,141400
2017-02-28,2.890000,2.910000,2.660000,2.710000,2.710000,69800
2017-03-01,2.780000,2.950000,2.700000,2.850000,2.850000,145800
2017-03-02,2.850000,2.880000,2.620000,2.700000,2.700000,115300
2017-03-03,2.670000,2.700000,2.620000,2.690000,2.690000,32700
2017-03-06,2.620000,2.660000,2.390000,2.410000,2.410000,102800
2017-03-07,2.390000,2.470000,2.330000,2.390000,2.390000,70700
2017-03-08,2.410000,2.460000,2.220000,2.300000,2.300000,71000
2017-03-09,2.300000,2.430000,2.270000,2.430000,2.430000,50600
2017-03-10,2.430000,2.430000,2.270000,2.270000,2.270000,15600
2017-03-13,2.260000,2.570000,2.240000,2.480000,2.480000,100900
2017-03-14,2.420000,2.600000,2.220000,2.230000,2.230000,85500
2017-03-15,2.240000,2.470000,2.160000,2.410000,2.410000,135200
2017-03-16,2.400000,2.440000,2.220000,2.300000,2.300000,45600
2017-03-17,2.270000,2.380000,2.260000,2.280000,2.280000,49700
2017-03-20,2.300000,2.410000,2.210000,2.240000,2.240000,66000
2017-03-21,2.240000,2.290000,2.010000,2.010000,2.010000,99300
2017-03-22,2.020000,2.180000,2.020000,2.100000,2.100000,68200
2017-03-23,2.180000,2.380000,2.110000,2.260000,2.260000,74200
2017-03-24,3.630000,4.190000,2.830000,2.920000,2.920000,12692700
2017-03-27,2.910000,3.000000,2.430000,2.530000,2.530000,1575300
2017-03-28,2.410000,2.580000,2.280000,2.520000,2.520000,625700
2017-03-29,2.470000,2.500000,2.380000,2.450000,2.450000,195900
2017-03-30,2.420000,2.600000,2.310000,2.530000,2.530000,342900
2017-03-31,2.470000,2.700000,2.400000,2.700000,2.700000,341000
2017-04-03,2.750000,2.770000,2.450000,2.570000,2.570000,203900
2017-04-04,2.500000,2.540000,2.400000,2.400000,2.400000,84400
2017-04-05,2.420000,2.480000,2.310000,2.340000,2.340000,78800
2017-04-06,2.300000,2.350000,2.240000,2.280000,2.280000,93200
2017-04-07,2.280000,2.400000,2.250000,2.330000,2.330000,97900
2017-04-10,2.320000,2.500000,2.320000,2.400000,2.400000,116300
2017-04-11,2.340000,2.480000,2.330000,2.380000,2.380000,30900
2017-04-12,2.380000,2.440000,2.370000,2.370000,2.370000,19800
2017-04-13,2.360000,2.370000,2.290000,2.340000,2.340000,13300
2017-04-17,2.330000,2.450000,2.330000,2.390000,2.390000,14800
2017-04-18,2.350000,2.420000,2.310000,2.320000,2.320000,21900
2017-04-19,2.310000,2.390000,2.280000,2.300000,2.300000,130100
2017-04-20,2.500000,2.980000,2.380000,2.410000,2.410000,1194000
2017-04-21,2.380000,2.410000,2.200000,2.320000,2.320000,275700
2017-04-24,2.400000,2.430000,2.300000,2.430000,2.430000,100800
2017-04-25,2.440000,2.440000,2.260000,2.370000,2.370000,61500
2017-04-26,2.390000,2.450000,2.290000,2.340000,2.340000,56600
2017-04-27,2.360000,2.380000,2.280000,2.380000,2.380000,58500
2017-04-28,2.370000,2.480000,2.340000,2.370000,2.370000,97200
2017-05-01,2.360000,2.400000,2.300000,2.340000,2.340000,50700
2017-05-02,2.300000,2.350000,2.250000,2.270000,2.270000,71700
2017-05-03,2.240000,2.280000,2.110000,2.230000,2.230000,75200
